activity_ix,activity,n_outputs,n_parsed,mean_score,median_score,min_score,max_score
0,Summit Mount Baldy,20,20,72.5,72.0,65,78
1,Hike Sandstone Peak in the Santa Monicas,20,20,63.85,78.0,0,78
2,Pickup basketball at the Venice Beach courts,20,20,60.0,72.0,35,78
3,Visit LACMA,20,20,75.45,78.0,72,78
4,LAFC game at BMO Stadium,20,20,60.6,65.0,35,75
5,Rams game at SoFi Stadium,20,20,58.6,62.5,35,72
6,Korean BBQ feast in K-town,20,20,70.25,72.0,50,80
7,Whale watching out of Long Beach,20,20,71.9,72.0,60,78
8,Joshua Tree day trip,20,20,77.45,78.0,72,85
9,Big Bear day trip,20,20,70.3,72.0,60,72
10,Drive PCH up to Malibu,20,20,76.35,78.0,72,78
11,Bowling at Lucky Strike Hollywood,20,20,59.8,62.0,35,65
12,Brewery hop through the Arts District,20,20,59.1,60.0,50,65
13,Rose Bowl Flea Market in Pasadena,20,20,69.05,72.0,55,72
14,Drive-in movie at the Vineland,20,20,64.3,65.0,50,72
15,Comedy show at the Comedy Store,20,20,68.35,70.0,55,78
16,UCB improv show in Hollywood,20,20,70.3,72.0,65,78
17,Tide pooling at Abalone Cove in Palos Verdes,20,20,78.5,78.0,72,85
18,Visit the La Brea Tar Pits,20,20,78.05,78.0,72,85
19,Sunset drive up Mulholland,20,20,76.5,78.0,72,78
20,Sunset at El Matador Beach,20,20,79.2,78.0,72,85
21,Snorkel at Leo Carrillo State Beach,20,20,72.6,72.0,60,80
22,Pier fishing at the Santa Monica Pier,20,20,57.5,62.0,35,65
23,Hike Bridge to Nowhere in the San Gabriels,20,20,72.05,72.0,50,78
24,Topanga State Park hike,20,20,74.3,73.5,70,78
25,Trail run through Eaton Canyon,20,20,73.6,75.0,65,78
26,Sturtevant Falls hike in Sierra Madre,20,20,75.75,78.0,72,78
27,Hike Temescal Canyon,20,20,73.15,72.0,70,78
28,Clippers game at the Intuit Dome,20,20,54.95,61.0,0,65
29,Angels game at Angel Stadium,20,20,59.85,65.0,40,70
30,UCLA basketball at Pauley Pavilion,20,20,63.3,67.5,40,72
31,Mini-golf in Old Pasadena,20,20,66.2,65.0,60,72
32,Sawtelle ramen crawl on the Westside,20,20,74.5,75.0,62,78
33,Thai Town dinner crawl,20,20,77.25,78.0,72,85
34,Olvera Street tacos and walking tour,20,20,75.1,78.0,65,78
35,Petersen Automotive Museum on Wilshire,20,20,69.85,72.0,60,75
36,California Science Center to see the Endeavour,20,20,83.9,85.0,78,88
37,The Huntington gardens in San Marino,20,20,80.75,85.0,70,85
38,Griffith Observatory at night,20,20,82.3,85.0,78,85
39,Day trip up to Santa Barbara,20,20,75.25,78.0,65,78
40,Bottomless brunch in West Hollywood,20,20,41.35,35.0,35,55
41,Wine tasting in Malibu,20,20,63.45,63.5,55,70
42,Bar crawl on Abbot Kinney in Venice,20,20,40.5,35.0,35,65
43,Cannabis tasting at a licensed West Hollywood consumption lounge,20,20,39.5,35.0,35,60
44,Poker night at the Bicycle Casino in Bell Gardens,20,20,53.85,55.0,35,72
45,Day at Hollywood Park Casino,20,20,28.75,27.5,25,35
46,Betting on horses at Santa Anita,20,20,35.0,35.0,35,35
47,Paintball day in Sun Valley,20,20,58.7,62.0,35,65
48,Airsoft battle at Tac City in Fullerton,20,20,63.5,65.0,35,72
49,Off-road OHV day in Hungry Valley,20,20,53.0,55.0,35,65
50,Race car experience at Willow Springs,20,20,74.55,72.0,72,78
51,Cliff jumping at Malibu's coves,20,20,48.45,55.0,25,72
52,Sport fishing for tuna out of San Pedro,20,20,49.2,55.0,35,62
53,Spearfishing trip at Catalina,20,20,59.7,61.0,35,65
54,MMA pay-per-view watch party with cigars and whiskey,20,20,39.0,35.0,35,55
55,Hollywood club crawl on Sunset Strip,20,20,28.5,25.0,20,50
56,Cigar-and-whiskey afternoon at a Beverly Hills lounge,20,20,37.5,35.0,35,55
57,Bottle service at a Hollywood nightclub,20,20,19.0,17.5,15,30
58,Sunday service at a Calvary Chapel megachurch,20,20,32.0,35.0,25,40
59,Tour the Reagan Presidential Library,20,20,66.0,70.0,55,72
60,Tour the Nixon Presidential Library,20,20,67.7,69.0,55,78
61,Skydiving over Perris,20,20,66.25,65.0,50,85
62,Lambo rental for a Mulholland canyon run,20,20,59.85,60.0,35,72
63,Drive down to Tijuana for tacos and clubbing,20,20,45.5,40.0,35,65
64,Tour Forest Lawn for celebrity graves,20,20,54.4,57.5,35,68
65,Manson-murders true-crime walking tour of Beverly Hills,20,20,35.25,35.0,35,40
66,Boxing sparring class at a Wild Card-style gym,20,20,63.55,65.0,55,72
67,Day-drinking on a Marina del Rey booze cruise,20,20,39.0,35.0,35,55
68,Craps night at the Hustler Casino in Gardena,20,20,36.25,35.0,35,60
69,Pole-dancing fitness class for the bachelor party,20,20,49.35,42.5,35,65
70,Hunting deer in the San Gabriel Mountains,20,20,25.0,25.0,15,35
71,Hunting a at a ranch near Tejon,20,20,24.25,25.0,15,30
72,Coyote hunting in the Antelope Valley,20,20,20.5,20.0,15,25
73,Dove hunting opening day in the Imperial Valley,20,20,26.0,25.0,15,35
74,Bear hunting in the Los Padres National Forest,20,20,17.25,17.5,5,25
75,Wild pig hunt at a ranch near Paso Robles,20,20,26.5,25.0,15,35
76,Tactical rifle class with AR-15s at Burro Canyon,20,20,56.95,60.0,40,65
77,Indoor pistol range day at the LA Gun Club,20,20,54.2,55.0,35,65
78,Trap and skeet shooting at Triple B Clays,20,20,41.25,40.0,0,65
79,Concealed-carry training day in the high desert,20,20,58.75,60.0,55,68
80,Visit a gun show at the Pomona Fairplex,20,20,40.25,37.5,30,55
81,Falconry hunting outing in the Antelope Valley,20,20,65.5,72.0,35,78
82,Slaughterhouse tour and butchery class in Vernon,20,20,39.0,35.0,35,55
83,Industry Hills professional rodeo,20,20,32.5,35.0,25,40
84,Pro Bull Riding event at the Honda Center,20,20,35.0,35.0,35,35
85,Attending a Trump rally in Huntington Beach,20,20,32.75,30.0,15,50
86,Attending a pro-Palestine protest at UCLA,20,20,35.0,30.0,30,50
87,Attending a pro-Israel rally in Beverly Hills,20,20,38.75,35.0,30,50
88,Joining an anti-abortion march at the Federal Building,20,20,37.5,32.5,15,50
89,Joining a Defund-the-Police march in DTLA,20,20,35.25,35.0,15,50
90,Joining a Pro-Police rally outside LAPD headquarters,20,20,37.5,32.5,25,50
91,Sitting in on a Scientology orientation in Hollywood,20,20,43.05,35.0,35,62
92,Pro-life sidewalk counseling outside a Planned Parenthood,20,20,25.25,20.0,15,50
93,Latin Mass at the LA Cathedral followed by cigars,20,20,51.6,60.0,35,65
94,Day at the Museum of Death in Hollywood,20,20,56.6,62.0,35,68
95,Strip club crawl in the City of Industry,20,20,21.25,20.0,15,35
96,Adult-film studio tour in the San Fernando Valley,20,20,32.5,35.0,25,35
97,Charreada at Pico Rivera Sports Arena,20,20,60.15,60.0,35,72
98,Bullfight-watching day trip down to Tijuana,20,20,11.15,10.0,5,15
99,BKFC pay-per-view watch party with cigars and steaks,20,20,43.0,35.0,35,55
