activity_ix,activity,n_appearances,n_decisive_appearances,n_picked,selection_rate,selection_rate_incl_refusals
0,Summit Mount Baldy,193,171,109,0.6374269005847953,0.5647668393782384
1,Hike Sandstone Peak in the Santa Monicas,190,175,107,0.6114285714285714,0.5631578947368421
2,Pickup basketball at the Venice Beach courts,201,185,119,0.6432432432432432,0.5920398009950248
3,Visit LACMA,220,201,60,0.29850746268656714,0.2727272727272727
4,LAFC game at BMO Stadium,195,184,104,0.5652173913043478,0.5333333333333333
5,Rams game at SoFi Stadium,224,210,117,0.5571428571428572,0.5223214285714286
6,Korean BBQ feast in K-town,192,179,98,0.547486033519553,0.5104166666666666
7,Whale watching out of Long Beach,183,172,108,0.627906976744186,0.5901639344262295
8,Joshua Tree day trip,193,173,117,0.6763005780346821,0.6062176165803109
9,Big Bear day trip,187,173,81,0.4682080924855491,0.43315508021390375
10,Drive PCH up to Malibu,201,184,116,0.6304347826086957,0.5771144278606966
11,Bowling at Lucky Strike Hollywood,199,182,87,0.47802197802197804,0.4371859296482412
12,Brewery hop through the Arts District,218,200,102,0.51,0.46788990825688076
13,Rose Bowl Flea Market in Pasadena,216,205,124,0.6048780487804878,0.5740740740740741
14,Drive-in movie at the Vineland,202,175,86,0.49142857142857144,0.42574257425742573
15,Comedy show at the Comedy Store,204,192,103,0.5364583333333334,0.5049019607843137
16,UCB improv show in Hollywood,207,188,67,0.35638297872340424,0.32367149758454106
17,Tide pooling at Abalone Cove in Palos Verdes,194,180,137,0.7611111111111111,0.7061855670103093
18,Visit the La Brea Tar Pits,212,188,101,0.5372340425531915,0.47641509433962265
19,Sunset drive up Mulholland,209,193,118,0.6113989637305699,0.5645933014354066
20,Sunset at El Matador Beach,200,187,143,0.7647058823529411,0.715
21,Snorkel at Leo Carrillo State Beach,200,185,108,0.5837837837837838,0.54
22,Pier fishing at the Santa Monica Pier,217,196,89,0.45408163265306123,0.41013824884792627
23,Hike Bridge to Nowhere in the San Gabriels,204,184,124,0.6739130434782609,0.6078431372549019
24,Topanga State Park hike,214,195,127,0.6512820512820513,0.5934579439252337
25,Trail run through Eaton Canyon,204,160,92,0.575,0.45098039215686275
26,Sturtevant Falls hike in Sierra Madre,199,183,120,0.6557377049180327,0.6030150753768844
27,Hike Temescal Canyon,190,163,78,0.4785276073619632,0.4105263157894737
28,Clippers game at the Intuit Dome,183,172,92,0.5348837209302325,0.5027322404371585
29,Angels game at Angel Stadium,211,190,69,0.3631578947368421,0.32701421800947866
30,UCLA basketball at Pauley Pavilion,213,189,95,0.5026455026455027,0.4460093896713615
