activity_ix,activity,n_appearances,n_decisive_appearances,n_picked,selection_rate,selection_rate_incl_refusals
0,Summit Mount Baldy,193,192,102,0.53125,0.5284974093264249
1,Hike Sandstone Peak in the Santa Monicas,190,190,107,0.5631578947368421,0.5631578947368421
2,Pickup basketball at the Venice Beach courts,201,199,122,0.6130653266331658,0.6069651741293532
3,Visit LACMA,220,217,94,0.43317972350230416,0.42727272727272725
4,LAFC game at BMO Stadium,195,195,108,0.5538461538461539,0.5538461538461539
5,Rams game at SoFi Stadium,224,219,118,0.5388127853881278,0.5267857142857143
6,Korean BBQ feast in K-town,192,189,93,0.49206349206349204,0.484375
7,Whale watching out of Long Beach,183,181,104,0.574585635359116,0.5683060109289617
8,Joshua Tree day trip,193,188,97,0.5159574468085106,0.5025906735751295
9,Big Bear day trip,187,186,72,0.3870967741935484,0.3850267379679144
10,Drive PCH up to Malibu,201,199,116,0.5829145728643216,0.5771144278606966
11,Bowling at Lucky Strike Hollywood,199,198,104,0.5252525252525253,0.5226130653266332
12,Brewery hop through the Arts District,218,216,122,0.5648148148148148,0.5596330275229358
13,Rose Bowl Flea Market in Pasadena,216,216,103,0.47685185185185186,0.47685185185185186
14,Drive-in movie at the Vineland,202,199,112,0.5628140703517588,0.5544554455445545
15,Comedy show at the Comedy Store,204,203,127,0.625615763546798,0.6225490196078431
16,UCB improv show in Hollywood,207,204,103,0.5049019607843137,0.4975845410628019
17,Tide pooling at Abalone Cove in Palos Verdes,194,192,119,0.6197916666666666,0.6134020618556701
18,Visit the La Brea Tar Pits,212,210,93,0.44285714285714284,0.4386792452830189
19,Sunset drive up Mulholland,209,205,107,0.5219512195121951,0.5119617224880383
20,Sunset at El Matador Beach,200,198,132,0.6666666666666666,0.66
21,Snorkel at Leo Carrillo State Beach,200,196,103,0.5255102040816326,0.515
22,Pier fishing at the Santa Monica Pier,217,213,109,0.5117370892018779,0.5023041474654378
23,Hike Bridge to Nowhere in the San Gabriels,204,204,122,0.5980392156862745,0.5980392156862745
24,Topanga State Park hike,214,212,115,0.5424528301886793,0.5373831775700935
25,Trail run through Eaton Canyon,204,202,92,0.45544554455445546,0.45098039215686275
26,Sturtevant Falls hike in Sierra Madre,199,198,120,0.6060606060606061,0.6030150753768844
27,Hike Temescal Canyon,190,188,94,0.5,0.49473684210526314
28,Clippers game at the Intuit Dome,183,183,98,0.5355191256830601,0.5355191256830601
29,Angels game at Angel Stadium,211,209,98,0.4688995215311005,0.46445497630331756
30,UCLA basketball at Pauley Pavilion,213,209,131,0.6267942583732058,0.6150234741784038
31,Mini-golf in Old Pasadena,209,207,82,0.3961352657004831,0.3923444976076555
32,Sawtelle ramen crawl on the Westside,189,185,102,0.5513513513513514,0.5396825396825397
33,Thai Town dinner crawl,205,204,117,0.5735294117647058,0.5707317073170731
34,Olvera Street tacos and walking tour,197,195,112,0.5743589743589743,0.5685279187817259
35,Petersen Automotive Museum on Wilshire,217,213,91,0.4272300469483568,0.41935483870967744
36,California Science Center to see the Endeavour,157,154,86,0.5584415584415584,0.5477707006369427
37,The Huntington gardens in San Marino,210,205,104,0.5073170731707317,0.49523809523809526
38,Griffith Observatory at night,177,173,106,0.6127167630057804,0.5988700564971752
