activity_ix,activity,n_outputs,n_parsed,mean_score,median_score,min_score,max_score
0,Summit Mount Baldy,20,20,71.25,72.0,65,78
1,Hike Sandstone Peak in the Santa Monicas,20,20,74.8,72.5,70,80
2,Pickup basketball at the Venice Beach courts,20,20,55.3,58.0,35,78
3,Visit LACMA,20,20,78.0,78.0,72,82
4,LAFC game at BMO Stadium,20,20,67.75,68.0,60,73
5,Rams game at SoFi Stadium,20,20,54.95,60.0,35,65
6,Korean BBQ feast in K-town,20,20,74.45,76.5,60,82
7,Whale watching out of Long Beach,20,20,77.15,78.0,70,82
8,Joshua Tree day trip,20,20,78.0,78.0,72,82
9,Big Bear day trip,20,20,69.25,72.0,60,75
10,Drive PCH up to Malibu,20,20,77.75,78.0,68,85
11,Bowling at Lucky Strike Hollywood,20,20,56.35,60.0,40,70
12,Brewery hop through the Arts District,20,20,54.7,56.5,40,65
13,Rose Bowl Flea Market in Pasadena,20,20,71.2,72.0,62,78
14,Drive-in movie at the Vineland,20,20,65.3,69.0,0,75
15,Comedy show at the Comedy Store,20,20,71.75,72.0,62,78
16,UCB improv show in Hollywood,20,20,73.55,73.5,55,78
17,Tide pooling at Abalone Cove in Palos Verdes,20,20,79.15,79.0,72,85
18,Visit the La Brea Tar Pits,20,20,80.8,81.0,78,85
19,Sunset drive up Mulholland,20,20,75.8,76.5,70,78
20,Sunset at El Matador Beach,20,20,81.85,81.0,75,88
21,Snorkel at Leo Carrillo State Beach,20,20,67.1,72.0,32,78
22,Pier fishing at the Santa Monica Pier,20,20,55.75,60.0,35,65
23,Hike Bridge to Nowhere in the San Gabriels,20,20,75.15,75.0,70,80
24,Topanga State Park hike,20,20,74.85,76.5,65,78
25,Trail run through Eaton Canyon,20,20,64.8,72.0,0,80
26,Sturtevant Falls hike in Sierra Madre,20,20,76.5,75.5,70,82
27,Hike Temescal Canyon,20,20,71.5,72.0,65,78
28,Clippers game at the Intuit Dome,20,20,60.65,65.0,42,70
29,Angels game at Angel Stadium,20,20,62.8,66.5,50,72
30,UCLA basketball at Pauley Pavilion,20,20,62.0,65.0,35,75
31,Mini-golf in Old Pasadena,20,20,66.8,68.0,60,72
32,Sawtelle ramen crawl on the Westside,20,20,71.95,72.0,60,80
33,Thai Town dinner crawl,20,20,77.65,78.0,72,82
34,Olvera Street tacos and walking tour,20,20,76.95,78.0,73,80
35,Petersen Automotive Museum on Wilshire,20,20,70.65,72.0,65,74
36,California Science Center to see the Endeavour,20,20,86.45,85.0,85,90
37,The Huntington gardens in San Marino,20,20,84.4,85.0,80,88
38,Griffith Observatory at night,20,20,85.9,85.0,85,88
39,Day trip up to Santa Barbara,20,20,72.5,72.0,70,78
40,Bottomless brunch in West Hollywood,20,20,39.8,38.0,30,60
41,Wine tasting in Malibu,20,20,55.3,57.5,35,65
42,Bar crawl on Abbot Kinney in Venice,20,20,40.65,38.0,30,55
43,Cannabis tasting at a licensed West Hollywood consumption lounge,20,20,38.3,36.5,20,60
44,Poker night at the Bicycle Casino in Bell Gardens,20,20,57.2,60.0,40,70
45,Day at Hollywood Park Casino,20,20,27.85,26.5,20,40
46,Betting on horses at Santa Anita,20,20,35.6,35.0,22,58
47,Paintball day in Sun Valley,20,20,51.4,50.0,35,65
48,Airsoft battle at Tac City in Fullerton,20,20,46.2,45.0,32,72
49,Off-road OHV day in Hungry Valley,20,20,41.9,40.0,35,55
50,Race car experience at Willow Springs,20,20,66.95,70.0,50,82
51,Cliff jumping at Malibu's coves,20,20,42.6,39.0,30,62
52,Sport fishing for tuna out of San Pedro,20,20,40.4,39.0,35,58
53,Spearfishing trip at Catalina,20,20,46.9,45.0,30,70
54,MMA pay-per-view watch party with cigars and whiskey,20,20,36.45,35.0,25,62
55,Hollywood club crawl on Sunset Strip,20,20,28.55,25.0,20,45
56,Cigar-and-whiskey afternoon at a Beverly Hills lounge,20,20,34.8,35.0,25,50
57,Bottle service at a Hollywood nightclub,20,20,21.3,20.0,15,35
58,Sunday service at a Calvary Chapel megachurch,20,20,39.05,40.0,30,50
59,Tour the Reagan Presidential Library,20,20,68.7,70.0,60,75
60,Tour the Nixon Presidential Library,20,20,70.55,71.0,62,78
61,Skydiving over Perris,20,20,65.3,67.5,35,73
62,Lambo rental for a Mulholland canyon run,20,20,45.5,43.5,30,62
63,Drive down to Tijuana for tacos and clubbing,20,20,44.2,42.0,25,70
64,Tour Forest Lawn for celebrity graves,20,20,55.5,60.0,40,62
