activity_ix,activity,n_appearances,n_decisive_appearances,n_picked,selection_rate,selection_rate_incl_refusals
0,Summit Mount Baldy,193,192,97,0.5052083333333334,0.5025906735751295
1,Hike Sandstone Peak in the Santa Monicas,190,190,116,0.6105263157894737,0.6105263157894737
2,Pickup basketball at the Venice Beach courts,201,201,94,0.46766169154228854,0.46766169154228854
3,Visit LACMA,220,220,122,0.5545454545454546,0.5545454545454546
4,LAFC game at BMO Stadium,195,195,100,0.5128205128205128,0.5128205128205128
5,Rams game at SoFi Stadium,224,224,117,0.5223214285714286,0.5223214285714286
6,Korean BBQ feast in K-town,192,191,80,0.418848167539267,0.4166666666666667
7,Whale watching out of Long Beach,183,182,93,0.510989010989011,0.5081967213114754
8,Joshua Tree day trip,193,192,93,0.484375,0.48186528497409326
9,Big Bear day trip,187,185,75,0.40540540540540543,0.40106951871657753
10,Drive PCH up to Malibu,201,201,90,0.44776119402985076,0.44776119402985076
11,Bowling at Lucky Strike Hollywood,199,199,114,0.5728643216080402,0.5728643216080402
12,Brewery hop through the Arts District,218,216,106,0.49074074074074076,0.48623853211009177
13,Rose Bowl Flea Market in Pasadena,216,216,104,0.48148148148148145,0.48148148148148145
14,Drive-in movie at the Vineland,202,201,101,0.5024875621890548,0.5
15,Comedy show at the Comedy Store,204,204,97,0.47549019607843135,0.47549019607843135
16,UCB improv show in Hollywood,207,207,97,0.46859903381642515,0.46859903381642515
17,Tide pooling at Abalone Cove in Palos Verdes,194,193,89,0.46113989637305697,0.4587628865979381
18,Visit the La Brea Tar Pits,212,211,112,0.5308056872037915,0.5283018867924528
19,Sunset drive up Mulholland,209,208,102,0.49038461538461536,0.4880382775119617
20,Sunset at El Matador Beach,200,199,108,0.542713567839196,0.54
21,Snorkel at Leo Carrillo State Beach,200,198,94,0.47474747474747475,0.47
22,Pier fishing at the Santa Monica Pier,217,214,107,0.5,0.4930875576036866
23,Hike Bridge to Nowhere in the San Gabriels,204,202,106,0.5247524752475248,0.5196078431372549
24,Topanga State Park hike,214,211,106,0.5023696682464455,0.4953271028037383
25,Trail run through Eaton Canyon,204,204,99,0.4852941176470588,0.4852941176470588
26,Sturtevant Falls hike in Sierra Madre,199,197,95,0.48223350253807107,0.47738693467336685
27,Hike Temescal Canyon,190,188,96,0.5106382978723404,0.5052631578947369
28,Clippers game at the Intuit Dome,183,183,90,0.4918032786885246,0.4918032786885246
29,Angels game at Angel Stadium,211,209,98,0.4688995215311005,0.46445497630331756
30,UCLA basketball at Pauley Pavilion,213,213,107,0.5023474178403756,0.5023474178403756
31,Mini-golf in Old Pasadena,209,209,103,0.49282296650717705,0.49282296650717705
32,Sawtelle ramen crawl on the Westside,189,188,102,0.5425531914893617,0.5396825396825397
33,Thai Town dinner crawl,205,205,101,0.4926829268292683,0.4926829268292683
34,Olvera Street tacos and walking tour,197,196,117,0.5969387755102041,0.5939086294416244
35,Petersen Automotive Museum on Wilshire,217,214,105,0.49065420560747663,0.4838709677419355
36,California Science Center to see the Endeavour,157,154,78,0.5064935064935064,0.4968152866242038
37,The Huntington gardens in San Marino,210,207,90,0.43478260869565216,0.42857142857142855
38,Griffith Observatory at night,177,176,93,0.5284090909090909,0.5254237288135594
39,Day trip up to Santa Barbara,207,206,106,0.5145631067961165,0.5120772946859904
40,Bottomless brunch in West Hollywood,192,192,90,0.46875,0.46875
41,Wine tasting in Malibu,200,200,110,0.55,0.55
42,Bar crawl on Abbot Kinney in Venice,218,214,102,0.4766355140186916,0.46788990825688076
43,Cannabis tasting at a licensed West Hollywood consumption lounge,213,213,115,0.539906103286385,0.539906103286385
44,Poker night at the Bicycle Casino in Bell Gardens,187,186,98,0.5268817204301075,0.5240641711229946
45,Day at Hollywood Park Casino,220,220,121,0.55,0.55
