activity_ix,activity,n_appearances,n_decisive_appearances,n_picked,selection_rate,selection_rate_incl_refusals
0,Summit Mount Baldy,193,193,130,0.6735751295336787,0.6735751295336787
1,Hike Sandstone Peak in the Santa Monicas,190,188,106,0.5638297872340425,0.5578947368421052
2,Pickup basketball at the Venice Beach courts,201,197,103,0.5228426395939086,0.5124378109452736
3,Visit LACMA,220,213,33,0.15492957746478872,0.15
4,LAFC game at BMO Stadium,195,192,128,0.6666666666666666,0.6564102564102564
5,Rams game at SoFi Stadium,224,222,112,0.5045045045045045,0.5
6,Korean BBQ feast in K-town,192,189,80,0.42328042328042326,0.4166666666666667
7,Whale watching out of Long Beach,183,179,112,0.6256983240223464,0.6120218579234973
8,Joshua Tree day trip,193,189,122,0.6455026455026455,0.6321243523316062
9,Big Bear day trip,187,183,72,0.39344262295081966,0.3850267379679144
10,Drive PCH up to Malibu,201,198,101,0.51010101010101,0.5024875621890548
11,Bowling at Lucky Strike Hollywood,199,197,56,0.28426395939086296,0.2814070351758794
12,Brewery hop through the Arts District,218,215,76,0.35348837209302325,0.3486238532110092
13,Rose Bowl Flea Market in Pasadena,216,215,90,0.4186046511627907,0.4166666666666667
14,Drive-in movie at the Vineland,202,199,81,0.40703517587939697,0.400990099009901
15,Comedy show at the Comedy Store,204,201,67,0.3333333333333333,0.3284313725490196
16,UCB improv show in Hollywood,207,206,54,0.2621359223300971,0.2608695652173913
17,Tide pooling at Abalone Cove in Palos Verdes,194,192,140,0.7291666666666666,0.7216494845360825
18,Visit the La Brea Tar Pits,212,207,73,0.3526570048309179,0.3443396226415094
19,Sunset drive up Mulholland,209,202,87,0.4306930693069307,0.41626794258373206
20,Sunset at El Matador Beach,200,195,125,0.6410256410256411,0.625
21,Snorkel at Leo Carrillo State Beach,200,195,113,0.5794871794871795,0.565
22,Pier fishing at the Santa Monica Pier,217,211,81,0.38388625592417064,0.37327188940092165
23,Hike Bridge to Nowhere in the San Gabriels,204,197,142,0.7208121827411168,0.696078431372549
24,Topanga State Park hike,214,210,104,0.49523809523809526,0.48598130841121495
25,Trail run through Eaton Canyon,204,175,56,0.32,0.27450980392156865
26,Sturtevant Falls hike in Sierra Madre,199,198,106,0.5353535353535354,0.5326633165829145
27,Hike Temescal Canyon,190,182,49,0.2692307692307692,0.2578947368421053
28,Clippers game at the Intuit Dome,183,182,83,0.45604395604395603,0.453551912568306
29,Angels game at Angel Stadium,211,207,66,0.3188405797101449,0.3127962085308057
30,UCLA basketball at Pauley Pavilion,213,209,87,0.41626794258373206,0.4084507042253521
31,Mini-golf in Old Pasadena,209,204,50,0.24509803921568626,0.23923444976076555
32,Sawtelle ramen crawl on the Westside,189,183,96,0.5245901639344263,0.5079365079365079
33,Thai Town dinner crawl,205,201,86,0.42786069651741293,0.4195121951219512
34,Olvera Street tacos and walking tour,197,190,76,0.4,0.38578680203045684
35,Petersen Automotive Museum on Wilshire,217,210,85,0.40476190476190477,0.391705069124424
36,California Science Center to see the Endeavour,157,153,81,0.5294117647058824,0.5159235668789809
37,The Huntington gardens in San Marino,210,203,96,0.4729064039408867,0.45714285714285713
38,Griffith Observatory at night,177,172,91,0.5290697674418605,0.5141242937853108
39,Day trip up to Santa Barbara,207,204,93,0.45588235294117646,0.4492753623188406
40,Bottomless brunch in West Hollywood,192,189,50,0.26455026455026454,0.2604166666666667
