activity_ix,activity,n_appearances,n_decisive_appearances,n_picked,selection_rate,selection_rate_incl_refusals
0,Summit Mount Baldy,193,193,95,0.49222797927461137,0.49222797927461137
1,Hike Sandstone Peak in the Santa Monicas,190,189,85,0.4497354497354497,0.4473684210526316
2,Pickup basketball at the Venice Beach courts,201,199,95,0.47738693467336685,0.472636815920398
3,Visit LACMA,220,219,101,0.4611872146118721,0.4590909090909091
4,LAFC game at BMO Stadium,195,194,104,0.5360824742268041,0.5333333333333333
5,Rams game at SoFi Stadium,224,223,98,0.43946188340807174,0.4375
6,Korean BBQ feast in K-town,192,190,108,0.5684210526315789,0.5625
7,Whale watching out of Long Beach,183,181,82,0.4530386740331492,0.44808743169398907
8,Joshua Tree day trip,193,192,101,0.5260416666666666,0.5233160621761658
9,Big Bear day trip,187,186,93,0.5,0.49732620320855614
10,Drive PCH up to Malibu,201,201,110,0.5472636815920398,0.5472636815920398
11,Bowling at Lucky Strike Hollywood,199,198,104,0.5252525252525253,0.5226130653266332
12,Brewery hop through the Arts District,218,217,107,0.4930875576036866,0.4908256880733945
13,Rose Bowl Flea Market in Pasadena,216,216,111,0.5138888888888888,0.5138888888888888
14,Drive-in movie at the Vineland,202,202,99,0.4900990099009901,0.4900990099009901
15,Comedy show at the Comedy Store,204,201,110,0.5472636815920398,0.5392156862745098
16,UCB improv show in Hollywood,207,207,108,0.5217391304347826,0.5217391304347826
17,Tide pooling at Abalone Cove in Palos Verdes,194,192,89,0.4635416666666667,0.4587628865979381
18,Visit the La Brea Tar Pits,212,210,98,0.4666666666666667,0.46226415094339623
19,Sunset drive up Mulholland,209,206,93,0.45145631067961167,0.4449760765550239
20,Sunset at El Matador Beach,200,200,102,0.51,0.51
21,Snorkel at Leo Carrillo State Beach,200,197,106,0.5380710659898477,0.53
22,Pier fishing at the Santa Monica Pier,217,216,102,0.4722222222222222,0.4700460829493088
23,Hike Bridge to Nowhere in the San Gabriels,204,203,95,0.46798029556650245,0.46568627450980393
24,Topanga State Park hike,214,212,101,0.47641509433962265,0.4719626168224299
25,Trail run through Eaton Canyon,204,202,101,0.5,0.4950980392156863
26,Sturtevant Falls hike in Sierra Madre,199,198,99,0.5,0.49748743718592964
27,Hike Temescal Canyon,190,186,90,0.4838709677419355,0.47368421052631576
28,Clippers game at the Intuit Dome,183,183,86,0.46994535519125685,0.46994535519125685
29,Angels game at Angel Stadium,211,211,108,0.5118483412322274,0.5118483412322274
30,UCLA basketball at Pauley Pavilion,213,212,121,0.5707547169811321,0.568075117370892
31,Mini-golf in Old Pasadena,209,206,111,0.5388349514563107,0.5311004784688995
32,Sawtelle ramen crawl on the Westside,189,187,86,0.45989304812834225,0.455026455026455
33,Thai Town dinner crawl,205,205,107,0.5219512195121951,0.5219512195121951
34,Olvera Street tacos and walking tour,197,194,104,0.5360824742268041,0.5279187817258884
35,Petersen Automotive Museum on Wilshire,217,215,104,0.48372093023255813,0.4792626728110599
36,California Science Center to see the Endeavour,157,154,72,0.4675324675324675,0.4585987261146497
37,The Huntington gardens in San Marino,210,206,106,0.5145631067961165,0.5047619047619047
38,Griffith Observatory at night,177,175,87,0.49714285714285716,0.4915254237288136
39,Day trip up to Santa Barbara,207,206,94,0.4563106796116505,0.45410628019323673
40,Bottomless brunch in West Hollywood,192,191,102,0.5340314136125655,0.53125
41,Wine tasting in Malibu,200,199,81,0.40703517587939697,0.405
42,Bar crawl on Abbot Kinney in Venice,218,216,103,0.47685185185185186,0.4724770642201835
43,Cannabis tasting at a licensed West Hollywood consumption lounge,213,211,107,0.5071090047393365,0.5023474178403756
44,Poker night at the Bicycle Casino in Bell Gardens,187,185,95,0.5135135135135135,0.5080213903743316
45,Day at Hollywood Park Casino,220,219,99,0.4520547945205479,0.45
46,Betting on horses at Santa Anita,202,202,105,0.5198019801980198,0.5198019801980198
47,Paintball day in Sun Valley,181,180,97,0.5388888888888889,0.5359116022099447
48,Airsoft battle at Tac City in Fullerton,204,204,104,0.5098039215686274,0.5098039215686274
49,Off-road OHV day in Hungry Valley,216,216,105,0.4861111111111111,0.4861111111111111
50,Race car experience at Willow Springs,194,194,101,0.520618556701031,0.520618556701031
51,Cliff jumping at Malibu's coves,197,196,91,0.4642857142857143,0.4619289340101523
52,Sport fishing for tuna out of San Pedro,208,207,104,0.5024154589371981,0.5
53,Spearfishing trip at Catalina,195,195,95,0.48717948717948717,0.48717948717948717
54,MMA pay-per-view watch party with cigars and whiskey,182,182,82,0.45054945054945056,0.45054945054945056
55,Hollywood club crawl on Sunset Strip,180,179,85,0.4748603351955307,0.4722222222222222
56,Cigar-and-whiskey afternoon at a Beverly Hills lounge,195,193,96,0.49740932642487046,0.49230769230769234
57,Bottle service at a Hollywood nightclub,198,196,96,0.4897959183673469,0.48484848484848486
58,Sunday service at a Calvary Chapel megachurch,200,200,87,0.435,0.435
59,Tour the Reagan Presidential Library,190,188,87,0.4627659574468085,0.45789473684210524
60,Tour the Nixon Presidential Library,190,188,95,0.5053191489361702,0.5
61,Skydiving over Perris,179,178,83,0.46629213483146065,0.46368715083798884
62,Lambo rental for a Mulholland canyon run,158,157,78,0.4968152866242038,0.4936708860759494
63,Drive down to Tijuana for tacos and clubbing,210,210,99,0.4714285714285714,0.4714285714285714
64,Tour Forest Lawn for celebrity graves,211,209,97,0.46411483253588515,0.4597156398104265
65,Manson-murders true-crime walking tour of Beverly Hills,188,187,96,0.5133689839572193,0.5106382978723404
66,Boxing sparring class at a Wild Card-style gym,206,205,116,0.5658536585365853,0.5631067961165048
67,Day-drinking on a Marina del Rey booze cruise,186,184,106,0.5760869565217391,0.5698924731182796
68,Craps night at the Hustler Casino in Gardena,201,201,104,0.5174129353233831,0.5174129353233831
69,Pole-dancing fitness class for the bachelor party,191,191,99,0.518324607329843,0.518324607329843
70,Hunting deer in the San Gabriel Mountains,206,167,87,0.5209580838323353,0.4223300970873786
71,Hunting a at a ranch near Tejon,207,207,115,0.5555555555555556,0.5555555555555556
