activity_ix,activity,n_appearances,n_decisive_appearances,n_picked,selection_rate,selection_rate_incl_refusals
0,Summit Mount Baldy,193,192,101,0.5260416666666666,0.5233160621761658
1,Hike Sandstone Peak in the Santa Monicas,190,188,111,0.5904255319148937,0.5842105263157895
2,Pickup basketball at the Venice Beach courts,201,200,114,0.57,0.5671641791044776
3,Visit LACMA,220,218,103,0.4724770642201835,0.4681818181818182
4,LAFC game at BMO Stadium,195,195,112,0.5743589743589743,0.5743589743589743
5,Rams game at SoFi Stadium,224,223,119,0.5336322869955157,0.53125
6,Korean BBQ feast in K-town,192,189,103,0.544973544973545,0.5364583333333334
7,Whale watching out of Long Beach,183,183,107,0.5846994535519126,0.5846994535519126
8,Joshua Tree day trip,193,188,108,0.574468085106383,0.5595854922279793
9,Big Bear day trip,187,184,82,0.44565217391304346,0.4385026737967914
10,Drive PCH up to Malibu,201,200,125,0.625,0.6218905472636815
11,Bowling at Lucky Strike Hollywood,199,198,111,0.5606060606060606,0.5577889447236181
12,Brewery hop through the Arts District,218,217,117,0.5391705069124424,0.536697247706422
13,Rose Bowl Flea Market in Pasadena,216,215,110,0.5116279069767442,0.5092592592592593
14,Drive-in movie at the Vineland,202,201,119,0.5920398009950248,0.5891089108910891
15,Comedy show at the Comedy Store,204,202,118,0.5841584158415841,0.5784313725490197
16,UCB improv show in Hollywood,207,206,109,0.529126213592233,0.5265700483091788
17,Tide pooling at Abalone Cove in Palos Verdes,194,191,108,0.5654450261780105,0.5567010309278351
18,Visit the La Brea Tar Pits,212,210,103,0.49047619047619045,0.4858490566037736
19,Sunset drive up Mulholland,209,206,93,0.45145631067961167,0.4449760765550239
20,Sunset at El Matador Beach,200,199,108,0.542713567839196,0.54
21,Snorkel at Leo Carrillo State Beach,200,199,93,0.46733668341708545,0.465
22,Pier fishing at the Santa Monica Pier,217,213,116,0.5446009389671361,0.5345622119815668
23,Hike Bridge to Nowhere in the San Gabriels,204,204,112,0.5490196078431373,0.5490196078431373
24,Topanga State Park hike,214,211,111,0.5260663507109005,0.5186915887850467
25,Trail run through Eaton Canyon,204,203,103,0.5073891625615764,0.5049019607843137
26,Sturtevant Falls hike in Sierra Madre,199,198,110,0.5555555555555556,0.5527638190954773
27,Hike Temescal Canyon,190,186,87,0.46774193548387094,0.45789473684210524
28,Clippers game at the Intuit Dome,183,183,81,0.4426229508196721,0.4426229508196721
29,Angels game at Angel Stadium,211,210,102,0.4857142857142857,0.4834123222748815
30,UCLA basketball at Pauley Pavilion,213,209,120,0.5741626794258373,0.5633802816901409
31,Mini-golf in Old Pasadena,209,207,106,0.5120772946859904,0.507177033492823
32,Sawtelle ramen crawl on the Westside,189,186,106,0.5698924731182796,0.5608465608465608
33,Thai Town dinner crawl,205,204,117,0.5735294117647058,0.5707317073170731
34,Olvera Street tacos and walking tour,197,194,117,0.6030927835051546,0.5939086294416244
35,Petersen Automotive Museum on Wilshire,217,215,113,0.5255813953488372,0.5207373271889401
36,California Science Center to see the Endeavour,157,154,80,0.5194805194805194,0.5095541401273885
37,The Huntington gardens in San Marino,210,202,108,0.5346534653465347,0.5142857142857142
38,Griffith Observatory at night,177,176,99,0.5625,0.559322033898305
39,Day trip up to Santa Barbara,207,205,77,0.375609756097561,0.3719806763285024
40,Bottomless brunch in West Hollywood,192,188,92,0.48936170212765956,0.4791666666666667
41,Wine tasting in Malibu,200,198,100,0.5050505050505051,0.5
42,Bar crawl on Abbot Kinney in Venice,218,211,100,0.47393364928909953,0.45871559633027525
43,Cannabis tasting at a licensed West Hollywood consumption lounge,213,212,107,0.5047169811320755,0.5023474178403756
44,Poker night at the Bicycle Casino in Bell Gardens,187,186,87,0.46774193548387094,0.46524064171123
45,Day at Hollywood Park Casino,220,218,73,0.3348623853211009,0.33181818181818185
46,Betting on horses at Santa Anita,202,201,105,0.5223880597014925,0.5198019801980198
47,Paintball day in Sun Valley,181,180,109,0.6055555555555555,0.6022099447513812
48,Airsoft battle at Tac City in Fullerton,204,203,113,0.5566502463054187,0.553921568627451
49,Off-road OHV day in Hungry Valley,216,216,104,0.48148148148148145,0.48148148148148145
50,Race car experience at Willow Springs,194,194,119,0.6134020618556701,0.6134020618556701
51,Cliff jumping at Malibu's coves,197,195,93,0.47692307692307695,0.4720812182741117
52,Sport fishing for tuna out of San Pedro,208,206,123,0.5970873786407767,0.5913461538461539
53,Spearfishing trip at Catalina,195,195,115,0.5897435897435898,0.5897435897435898
54,MMA pay-per-view watch party with cigars and whiskey,182,181,82,0.4530386740331492,0.45054945054945056
55,Hollywood club crawl on Sunset Strip,180,178,74,0.4157303370786517,0.4111111111111111
56,Cigar-and-whiskey afternoon at a Beverly Hills lounge,195,194,99,0.5103092783505154,0.5076923076923077
