activity_ix,activity,n_appearances,n_decisive_appearances,n_picked,selection_rate,selection_rate_incl_refusals
0,Summit Mount Baldy,115,115,67,0.5826086956521739,0.5826086956521739
1,Hike Sandstone Peak in the Santa Monicas,82,82,34,0.4146341463414634,0.4146341463414634
2,Pickup basketball at the Venice Beach courts,100,100,51,0.51,0.51
3,Visit LACMA,99,99,50,0.5050505050505051,0.5050505050505051
4,LAFC game at BMO Stadium,100,100,50,0.5,0.5
5,Rams game at SoFi Stadium,117,116,61,0.5258620689655172,0.5213675213675214
6,Korean BBQ feast in K-town,80,80,44,0.55,0.55
7,Whale watching out of Long Beach,84,84,45,0.5357142857142857,0.5357142857142857
8,Joshua Tree day trip,105,104,44,0.4230769230769231,0.41904761904761906
9,Big Bear day trip,86,86,45,0.5232558139534884,0.5232558139534884
10,Drive PCH up to Malibu,105,105,56,0.5333333333333333,0.5333333333333333
11,Bowling at Lucky Strike Hollywood,100,99,47,0.47474747474747475,0.47
12,Brewery hop through the Arts District,120,119,54,0.453781512605042,0.45
13,Rose Bowl Flea Market in Pasadena,111,111,57,0.5135135135135135,0.5135135135135135
14,Drive-in movie at the Vineland,97,96,55,0.5729166666666666,0.5670103092783505
15,Comedy show at the Comedy Store,91,91,40,0.43956043956043955,0.43956043956043955
16,UCB improv show in Hollywood,106,105,49,0.4666666666666667,0.46226415094339623
17,Tide pooling at Abalone Cove in Palos Verdes,100,100,41,0.41,0.41
18,Visit the La Brea Tar Pits,105,104,60,0.5769230769230769,0.5714285714285714
19,Sunset drive up Mulholland,109,109,55,0.5045871559633027,0.5045871559633027
20,Sunset at El Matador Beach,96,96,48,0.5,0.5
21,Snorkel at Leo Carrillo State Beach,103,102,44,0.43137254901960786,0.42718446601941745
22,Pier fishing at the Santa Monica Pier,114,114,59,0.5175438596491229,0.5175438596491229
23,Hike Bridge to Nowhere in the San Gabriels,95,94,42,0.44680851063829785,0.4421052631578947
24,Topanga State Park hike,108,108,48,0.4444444444444444,0.4444444444444444
25,Trail run through Eaton Canyon,115,115,57,0.4956521739130435,0.4956521739130435
26,Sturtevant Falls hike in Sierra Madre,107,107,65,0.6074766355140186,0.6074766355140186
27,Hike Temescal Canyon,89,89,47,0.5280898876404494,0.5280898876404494
28,Clippers game at the Intuit Dome,94,93,47,0.5053763440860215,0.5
29,Angels game at Angel Stadium,107,107,52,0.48598130841121495,0.48598130841121495
30,UCLA basketball at Pauley Pavilion,103,103,49,0.47572815533980584,0.47572815533980584
31,Mini-golf in Old Pasadena,110,107,54,0.5046728971962616,0.4909090909090909
32,Sawtelle ramen crawl on the Westside,101,100,55,0.55,0.5445544554455446
33,Thai Town dinner crawl,107,107,61,0.5700934579439252,0.5700934579439252
34,Olvera Street tacos and walking tour,95,94,46,0.48936170212765956,0.4842105263157895
35,Petersen Automotive Museum on Wilshire,94,93,36,0.3870967741935484,0.3829787234042553
36,California Science Center to see the Endeavour,78,77,39,0.5064935064935064,0.5
37,The Huntington gardens in San Marino,105,105,48,0.45714285714285713,0.45714285714285713
38,Griffith Observatory at night,88,88,45,0.5113636363636364,0.5113636363636364
39,Day trip up to Santa Barbara,111,111,59,0.5315315315315315,0.5315315315315315
40,Bottomless brunch in West Hollywood,97,97,38,0.3917525773195876,0.3917525773195876
41,Wine tasting in Malibu,100,100,50,0.5,0.5
42,Bar crawl on Abbot Kinney in Venice,118,117,58,0.49572649572649574,0.4915254237288136
43,Cannabis tasting at a licensed West Hollywood consumption lounge,109,108,54,0.5,0.4954128440366973
44,Poker night at the Bicycle Casino in Bell Gardens,97,97,49,0.5051546391752577,0.5051546391752577
