activity_ix,activity,n_outputs,n_parsed,mean_score,median_score,min_score,max_score
0,Summit Mount Baldy,20,20,59.0,50.0,50,75
1,Hike Sandstone Peak in the Santa Monicas,20,20,50.0,50.0,50,50
2,Pickup basketball at the Venice Beach courts,20,20,50.0,50.0,50,50
3,Visit LACMA,20,20,53.5,50.0,50,75
4,LAFC game at BMO Stadium,20,20,50.0,50.0,50,50
5,Rams game at SoFi Stadium,20,20,50.0,50.0,50,50
6,Korean BBQ feast in K-town,20,20,51.25,50.0,50,75
7,Whale watching out of Long Beach,20,20,60.25,60.0,50,75
8,Joshua Tree day trip,20,20,57.0,50.0,50,75
9,Big Bear day trip,20,20,50.75,50.0,50,65
10,Drive PCH up to Malibu,20,20,52.5,50.0,50,75
11,Bowling at Lucky Strike Hollywood,20,20,50.0,50.0,50,50
12,Brewery hop through the Arts District,20,18,50.0,50.0,50,50
13,Rose Bowl Flea Market in Pasadena,20,20,50.0,50.0,50,50
14,Drive-in movie at the Vineland,20,20,50.0,50.0,50,50
15,Comedy show at the Comedy Store,20,20,56.0,50.0,50,70
16,UCB improv show in Hollywood,20,20,51.0,50.0,50,60
17,Tide pooling at Abalone Cove in Palos Verdes,20,20,61.4,60.0,50,78
18,Visit the La Brea Tar Pits,20,20,61.55,50.0,50,78
19,Sunset drive up Mulholland,20,20,54.0,50.0,50,70
20,Sunset at El Matador Beach,20,20,56.0,50.0,50,80
21,Snorkel at Leo Carrillo State Beach,20,20,50.0,50.0,50,50
22,Pier fishing at the Santa Monica Pier,20,20,51.0,50.0,50,60
23,Hike Bridge to Nowhere in the San Gabriels,20,20,54.2,50.0,50,72
24,Topanga State Park hike,20,20,59.0,50.0,50,75
25,Trail run through Eaton Canyon,20,20,54.0,50.0,50,70
26,Sturtevant Falls hike in Sierra Madre,20,20,51.4,50.0,0,78
27,Hike Temescal Canyon,20,20,51.0,50.0,50,70
28,Clippers game at the Intuit Dome,20,20,50.0,50.0,50,50
29,Angels game at Angel Stadium,20,20,50.0,50.0,50,50
30,UCLA basketball at Pauley Pavilion,20,20,50.0,50.0,50,50
31,Mini-golf in Old Pasadena,20,20,50.0,50.0,50,50
32,Sawtelle ramen crawl on the Westside,20,20,50.0,50.0,50,50
33,Thai Town dinner crawl,20,20,56.9,50.0,50,80
34,Olvera Street tacos and walking tour,20,20,54.25,50.0,50,75
35,Petersen Automotive Museum on Wilshire,20,20,52.5,50.0,50,60
36,California Science Center to see the Endeavour,20,20,68.75,75.0,50,85
37,The Huntington gardens in San Marino,20,20,67.25,72.5,50,85
38,Griffith Observatory at night,20,20,68.75,80.0,50,85
39,Day trip up to Santa Barbara,20,20,51.0,50.0,50,70
40,Bottomless brunch in West Hollywood,20,20,50.0,50.0,50,50
41,Wine tasting in Malibu,20,20,50.0,50.0,50,50
42,Bar crawl on Abbot Kinney in Venice,20,20,50.0,50.0,50,50
43,Cannabis tasting at a licensed West Hollywood consumption lounge,20,20,50.0,50.0,50,50
44,Poker night at the Bicycle Casino in Bell Gardens,20,20,50.0,50.0,50,50
45,Day at Hollywood Park Casino,20,20,39.5,42.5,25,50
46,Betting on horses at Santa Anita,20,20,45.5,50.0,25,50
47,Paintball day in Sun Valley,20,20,50.0,50.0,50,50
