activity_ix,activity,n_appearances,n_decisive_appearances,n_picked,selection_rate,selection_rate_incl_refusals
0,Summit Mount Baldy,193,192,95,0.4947916666666667,0.49222797927461137
1,Hike Sandstone Peak in the Santa Monicas,190,189,95,0.5026455026455027,0.5
2,Pickup basketball at the Venice Beach courts,201,200,108,0.54,0.5373134328358209
3,Visit LACMA,220,219,109,0.4977168949771689,0.4954545454545455
4,LAFC game at BMO Stadium,195,195,100,0.5128205128205128,0.5128205128205128
5,Rams game at SoFi Stadium,224,223,99,0.4439461883408072,0.4419642857142857
6,Korean BBQ feast in K-town,192,192,90,0.46875,0.46875
7,Whale watching out of Long Beach,183,183,93,0.5081967213114754,0.5081967213114754
8,Joshua Tree day trip,193,190,98,0.5157894736842106,0.5077720207253886
9,Big Bear day trip,187,185,98,0.5297297297297298,0.5240641711229946
10,Drive PCH up to Malibu,201,199,99,0.49748743718592964,0.4925373134328358
11,Bowling at Lucky Strike Hollywood,199,199,92,0.4623115577889447,0.4623115577889447
12,Brewery hop through the Arts District,218,216,110,0.5092592592592593,0.5045871559633027
13,Rose Bowl Flea Market in Pasadena,216,216,114,0.5277777777777778,0.5277777777777778
14,Drive-in movie at the Vineland,202,201,89,0.4427860696517413,0.4405940594059406
15,Comedy show at the Comedy Store,204,204,102,0.5,0.5
16,UCB improv show in Hollywood,207,206,119,0.5776699029126213,0.5748792270531401
17,Tide pooling at Abalone Cove in Palos Verdes,194,192,104,0.5416666666666666,0.5360824742268041
18,Visit the La Brea Tar Pits,212,211,119,0.5639810426540285,0.5613207547169812
19,Sunset drive up Mulholland,209,208,114,0.5480769230769231,0.5454545454545454
20,Sunset at El Matador Beach,200,200,99,0.495,0.495
21,Snorkel at Leo Carrillo State Beach,200,200,107,0.535,0.535
22,Pier fishing at the Santa Monica Pier,217,215,116,0.5395348837209303,0.5345622119815668
23,Hike Bridge to Nowhere in the San Gabriels,204,203,98,0.4827586206896552,0.4803921568627451
24,Topanga State Park hike,214,214,120,0.5607476635514018,0.5607476635514018
25,Trail run through Eaton Canyon,204,202,112,0.5544554455445545,0.5490196078431373
26,Sturtevant Falls hike in Sierra Madre,199,199,95,0.47738693467336685,0.47738693467336685
27,Hike Temescal Canyon,190,188,102,0.5425531914893617,0.5368421052631579
28,Clippers game at the Intuit Dome,183,182,95,0.521978021978022,0.5191256830601093
29,Angels game at Angel Stadium,211,211,101,0.4786729857819905,0.4786729857819905
30,UCLA basketball at Pauley Pavilion,213,211,103,0.4881516587677725,0.4835680751173709
31,Mini-golf in Old Pasadena,209,205,99,0.48292682926829267,0.47368421052631576
32,Sawtelle ramen crawl on the Westside,189,188,98,0.5212765957446809,0.5185185185185185
33,Thai Town dinner crawl,205,204,101,0.4950980392156863,0.4926829268292683
34,Olvera Street tacos and walking tour,197,196,96,0.4897959183673469,0.4873096446700508
35,Petersen Automotive Museum on Wilshire,217,217,99,0.45622119815668205,0.45622119815668205
36,California Science Center to see the Endeavour,157,157,78,0.4968152866242038,0.4968152866242038
37,The Huntington gardens in San Marino,210,207,115,0.5555555555555556,0.5476190476190477
38,Griffith Observatory at night,177,176,103,0.5852272727272727,0.5819209039548022
39,Day trip up to Santa Barbara,207,206,92,0.44660194174757284,0.4444444444444444
40,Bottomless brunch in West Hollywood,192,191,90,0.4712041884816754,0.46875
41,Wine tasting in Malibu,200,200,113,0.565,0.565
42,Bar crawl on Abbot Kinney in Venice,218,215,104,0.48372093023255813,0.47706422018348627
43,Cannabis tasting at a licensed West Hollywood consumption lounge,213,213,109,0.5117370892018779,0.5117370892018779
44,Poker night at the Bicycle Casino in Bell Gardens,187,185,86,0.4648648648648649,0.45989304812834225
45,Day at Hollywood Park Casino,220,220,111,0.5045454545454545,0.5045454545454545
46,Betting on horses at Santa Anita,202,201,104,0.5174129353233831,0.5148514851485149
47,Paintball day in Sun Valley,181,181,97,0.5359116022099447,0.5359116022099447
48,Airsoft battle at Tac City in Fullerton,204,203,98,0.4827586206896552,0.4803921568627451
49,Off-road OHV day in Hungry Valley,216,216,110,0.5092592592592593,0.5092592592592593
50,Race car experience at Willow Springs,194,194,92,0.4742268041237113,0.4742268041237113
