activity_ix,activity,n_appearances,n_decisive_appearances,n_picked,selection_rate,selection_rate_incl_refusals
0,Summit Mount Baldy,193,183,119,0.6502732240437158,0.616580310880829
1,Hike Sandstone Peak in the Santa Monicas,190,178,128,0.7191011235955056,0.6736842105263158
2,Pickup basketball at the Venice Beach courts,201,180,125,0.6944444444444444,0.6218905472636815
3,Visit LACMA,220,201,74,0.3681592039800995,0.33636363636363636
4,LAFC game at BMO Stadium,195,177,114,0.6440677966101694,0.5846153846153846
5,Rams game at SoFi Stadium,224,206,148,0.7184466019417476,0.6607142857142857
6,Korean BBQ feast in K-town,192,179,105,0.5865921787709497,0.546875
7,Whale watching out of Long Beach,183,165,132,0.8,0.7213114754098361
8,Joshua Tree day trip,193,181,127,0.7016574585635359,0.6580310880829016
9,Big Bear day trip,187,177,100,0.5649717514124294,0.5347593582887701
10,Drive PCH up to Malibu,201,183,130,0.7103825136612022,0.6467661691542289
11,Bowling at Lucky Strike Hollywood,199,185,88,0.4756756756756757,0.44221105527638194
12,Brewery hop through the Arts District,218,205,111,0.5414634146341464,0.5091743119266054
13,Rose Bowl Flea Market in Pasadena,216,198,116,0.5858585858585859,0.5370370370370371
14,Drive-in movie at the Vineland,202,183,87,0.47540983606557374,0.4306930693069307
15,Comedy show at the Comedy Store,204,187,97,0.5187165775401069,0.47549019607843135
16,UCB improv show in Hollywood,207,191,92,0.4816753926701571,0.4444444444444444
17,Tide pooling at Abalone Cove in Palos Verdes,194,184,153,0.8315217391304348,0.788659793814433
18,Visit the La Brea Tar Pits,212,195,130,0.6666666666666666,0.6132075471698113
19,Sunset drive up Mulholland,209,187,105,0.5614973262032086,0.5023923444976076
20,Sunset at El Matador Beach,200,185,142,0.7675675675675676,0.71
21,Snorkel at Leo Carrillo State Beach,200,185,113,0.6108108108108108,0.565
22,Pier fishing at the Santa Monica Pier,217,202,117,0.5792079207920792,0.5391705069124424
23,Hike Bridge to Nowhere in the San Gabriels,204,189,147,0.7777777777777778,0.7205882352941176
24,Topanga State Park hike,214,190,135,0.7105263157894737,0.6308411214953271
25,Trail run through Eaton Canyon,204,182,88,0.4835164835164835,0.43137254901960786
26,Sturtevant Falls hike in Sierra Madre,199,184,137,0.7445652173913043,0.6884422110552764
27,Hike Temescal Canyon,190,170,98,0.5764705882352941,0.5157894736842106
28,Clippers game at the Intuit Dome,183,170,107,0.6294117647058823,0.5846994535519126
29,Angels game at Angel Stadium,211,194,95,0.4896907216494845,0.45023696682464454
30,UCLA basketball at Pauley Pavilion,213,196,108,0.5510204081632653,0.5070422535211268
