activity_ix,activity,n_appearances,n_decisive_appearances,n_picked,selection_rate,selection_rate_incl_refusals
0,Summit Mount Baldy,193,191,101,0.5287958115183246,0.5233160621761658
1,Hike Sandstone Peak in the Santa Monicas,190,187,107,0.5721925133689839,0.5631578947368421
2,Pickup basketball at the Venice Beach courts,201,200,106,0.53,0.527363184079602
3,Visit LACMA,220,217,94,0.43317972350230416,0.42727272727272725
4,LAFC game at BMO Stadium,195,194,120,0.6185567010309279,0.6153846153846154
5,Rams game at SoFi Stadium,224,221,139,0.6289592760180995,0.6205357142857143
6,Korean BBQ feast in K-town,192,190,115,0.6052631578947368,0.5989583333333334
7,Whale watching out of Long Beach,183,183,101,0.5519125683060109,0.5519125683060109
8,Joshua Tree day trip,193,187,101,0.5401069518716578,0.5233160621761658
9,Big Bear day trip,187,184,86,0.4673913043478261,0.45989304812834225
10,Drive PCH up to Malibu,201,198,129,0.6515151515151515,0.6417910447761194
11,Bowling at Lucky Strike Hollywood,199,197,115,0.583756345177665,0.5778894472361809
12,Brewery hop through the Arts District,218,214,111,0.5186915887850467,0.5091743119266054
13,Rose Bowl Flea Market in Pasadena,216,215,123,0.5720930232558139,0.5694444444444444
14,Drive-in movie at the Vineland,202,202,101,0.5,0.5
15,Comedy show at the Comedy Store,204,202,112,0.5544554455445545,0.5490196078431373
16,UCB improv show in Hollywood,207,205,108,0.526829268292683,0.5217391304347826
17,Tide pooling at Abalone Cove in Palos Verdes,194,191,110,0.5759162303664922,0.5670103092783505
18,Visit the La Brea Tar Pits,212,207,103,0.4975845410628019,0.4858490566037736
19,Sunset drive up Mulholland,209,208,105,0.5048076923076923,0.5023923444976076
20,Sunset at El Matador Beach,200,198,112,0.5656565656565656,0.56
21,Snorkel at Leo Carrillo State Beach,200,198,96,0.48484848484848486,0.48
22,Pier fishing at the Santa Monica Pier,217,215,124,0.5767441860465117,0.5714285714285714
23,Hike Bridge to Nowhere in the San Gabriels,204,201,135,0.6716417910447762,0.6617647058823529
24,Topanga State Park hike,214,212,123,0.5801886792452831,0.5747663551401869
25,Trail run through Eaton Canyon,204,200,90,0.45,0.4411764705882353
26,Sturtevant Falls hike in Sierra Madre,199,195,105,0.5384615384615384,0.5276381909547738
27,Hike Temescal Canyon,190,186,101,0.543010752688172,0.531578947368421
28,Clippers game at the Intuit Dome,183,183,100,0.546448087431694,0.546448087431694
29,Angels game at Angel Stadium,211,209,111,0.5311004784688995,0.5260663507109005
30,UCLA basketball at Pauley Pavilion,213,208,131,0.6298076923076923,0.6150234741784038
31,Mini-golf in Old Pasadena,209,202,100,0.49504950495049505,0.4784688995215311
32,Sawtelle ramen crawl on the Westside,189,185,87,0.4702702702702703,0.4603174603174603
33,Thai Town dinner crawl,205,202,109,0.5396039603960396,0.5317073170731708
34,Olvera Street tacos and walking tour,197,188,100,0.5319148936170213,0.5076142131979695
35,Petersen Automotive Museum on Wilshire,217,213,112,0.5258215962441315,0.5161290322580645
36,California Science Center to see the Endeavour,157,155,90,0.5806451612903226,0.5732484076433121
37,The Huntington gardens in San Marino,210,203,118,0.5812807881773399,0.5619047619047619
38,Griffith Observatory at night,177,176,112,0.6363636363636364,0.632768361581921
39,Day trip up to Santa Barbara,207,204,96,0.47058823529411764,0.463768115942029
40,Bottomless brunch in West Hollywood,192,187,95,0.5080213903743316,0.4947916666666667
41,Wine tasting in Malibu,200,200,119,0.595,0.595
42,Bar crawl on Abbot Kinney in Venice,218,210,104,0.49523809523809526,0.47706422018348627
43,Cannabis tasting at a licensed West Hollywood consumption lounge,213,212,112,0.5283018867924528,0.5258215962441315
44,Poker night at the Bicycle Casino in Bell Gardens,187,185,89,0.4810810810810811,0.47593582887700536
45,Day at Hollywood Park Casino,220,217,84,0.3870967741935484,0.38181818181818183
46,Betting on horses at Santa Anita,202,199,97,0.48743718592964824,0.4801980198019802
47,Paintball day in Sun Valley,181,180,93,0.5166666666666667,0.5138121546961326
48,Airsoft battle at Tac City in Fullerton,204,202,122,0.6039603960396039,0.5980392156862745
49,Off-road OHV day in Hungry Valley,216,215,118,0.5488372093023256,0.5462962962962963
50,Race car experience at Willow Springs,194,191,113,0.5916230366492147,0.5824742268041238
51,Cliff jumping at Malibu's coves,197,192,64,0.3333333333333333,0.3248730964467005
52,Sport fishing for tuna out of San Pedro,208,206,122,0.5922330097087378,0.5865384615384616
53,Spearfishing trip at Catalina,195,195,102,0.5230769230769231,0.5230769230769231
54,MMA pay-per-view watch party with cigars and whiskey,182,180,97,0.5388888888888889,0.532967032967033
55,Hollywood club crawl on Sunset Strip,180,179,83,0.46368715083798884,0.46111111111111114
56,Cigar-and-whiskey afternoon at a Beverly Hills lounge,195,192,89,0.4635416666666667,0.4564102564102564
57,Bottle service at a Hollywood nightclub,198,196,73,0.37244897959183676,0.3686868686868687
58,Sunday service at a Calvary Chapel megachurch,200,199,80,0.4020100502512563,0.4
59,Tour the Reagan Presidential Library,190,188,96,0.5106382978723404,0.5052631578947369
60,Tour the Nixon Presidential Library,190,183,84,0.45901639344262296,0.4421052631578947
61,Skydiving over Perris,179,176,107,0.6079545454545454,0.5977653631284916
62,Lambo rental for a Mulholland canyon run,158,158,78,0.4936708860759494,0.4936708860759494
63,Drive down to Tijuana for tacos and clubbing,210,207,91,0.4396135265700483,0.43333333333333335
64,Tour Forest Lawn for celebrity graves,211,209,91,0.4354066985645933,0.4312796208530806
65,Manson-murders true-crime walking tour of Beverly Hills,188,185,67,0.3621621621621622,0.35638297872340424
66,Boxing sparring class at a Wild Card-style gym,206,205,123,0.6,0.5970873786407767
67,Day-drinking on a Marina del Rey booze cruise,186,182,107,0.5879120879120879,0.5752688172043011
68,Craps night at the Hustler Casino in Gardena,201,199,90,0.45226130653266333,0.44776119402985076
69,Pole-dancing fitness class for the bachelor party,191,190,104,0.5473684210526316,0.5445026178010471
70,Hunting deer in the San Gabriel Mountains,206,158,56,0.35443037974683544,0.27184466019417475
71,Hunting a at a ranch near Tejon,207,207,99,0.4782608695652174,0.4782608695652174
72,Coyote hunting in the Antelope Valley,203,195,64,0.3282051282051282,0.31527093596059114
73,Dove hunting opening day in the Imperial Valley,236,235,107,0.4553191489361702,0.4533898305084746
74,Bear hunting in the Los Padres National Forest,202,133,49,0.3684210526315789,0.24257425742574257
75,Wild pig hunt at a ranch near Paso Robles,180,179,88,0.49162011173184356,0.4888888888888889
76,Tactical rifle class with AR-15s at Burro Canyon,220,219,111,0.5068493150684932,0.5045454545454545
77,Indoor pistol range day at the LA Gun Club,202,202,90,0.44554455445544555,0.44554455445544555
78,Trap and skeet shooting at Triple B Clays,228,224,123,0.5491071428571429,0.5394736842105263
79,Concealed-carry training day in the high desert,215,214,107,0.5,0.49767441860465117
80,Visit a gun show at the Pomona Fairplex,209,209,76,0.36363636363636365,0.36363636363636365
81,Falconry hunting outing in the Antelope Valley,201,201,107,0.5323383084577115,0.5323383084577115
82,Slaughterhouse tour and butchery class in Vernon,198,196,85,0.4336734693877551,0.4292929292929293
83,Industry Hills professional rodeo,201,200,102,0.51,0.5074626865671642
84,Pro Bull Riding event at the Honda Center,195,193,96,0.49740932642487046,0.49230769230769234
85,Attending a Trump rally in Huntington Beach,191,190,62,0.3263157894736842,0.32460732984293195
86,Attending a pro-Palestine protest at UCLA,187,185,82,0.44324324324324327,0.4385026737967914
87,Attending a pro-Israel rally in Beverly Hills,196,194,83,0.42783505154639173,0.42346938775510207
88,Joining an anti-abortion march at the Federal Building,186,173,64,0.3699421965317919,0.34408602150537637
89,Joining a Defund-the-Police march in DTLA,202,200,85,0.425,0.4207920792079208
90,Joining a Pro-Police rally outside LAPD headquarters,214,213,86,0.40375586854460094,0.40186915887850466
91,Sitting in on a Scientology orientation in Hollywood,206,204,60,0.29411764705882354,0.2912621359223301
92,Pro-life sidewalk counseling outside a Planned Parenthood,184,158,61,0.3860759493670886,0.33152173913043476
93,Latin Mass at the LA Cathedral followed by cigars,230,230,110,0.4782608695652174,0.4782608695652174
94,Day at the Museum of Death in Hollywood,196,196,95,0.4846938775510204,0.4846938775510204
95,Strip club crawl in the City of Industry,188,187,71,0.37967914438502676,0.3776595744680851
96,Adult-film studio tour in the San Fernando Valley,173,172,65,0.37790697674418605,0.37572254335260113
97,Charreada at Pico Rivera Sports Arena,195,194,111,0.5721649484536082,0.5692307692307692
98,Bullfight-watching day trip down to Tijuana,205,184,60,0.32608695652173914,0.2926829268292683
99,BKFC pay-per-view watch party with cigars and steaks,209,208,111,0.5336538461538461,0.5311004784688995
