activity_ix,activity,n_outputs,n_parsed,mean_score,median_score,min_score,max_score
0,Summit Mount Baldy,20,20,57.25,50.0,50,80
1,Hike Sandstone Peak in the Santa Monicas,20,20,56.5,50.0,50,85
2,Pickup basketball at the Venice Beach courts,20,20,51.25,50.0,50,75
3,Visit LACMA,20,20,52.5,50.0,50,75
4,LAFC game at BMO Stadium,20,20,50.0,50.0,50,50
5,Rams game at SoFi Stadium,20,20,50.0,50.0,50,50
6,Korean BBQ feast in K-town,20,20,50.0,50.0,50,50
7,Whale watching out of Long Beach,20,20,58.25,50.0,50,85
8,Joshua Tree day trip,20,20,55.15,50.0,50,78
9,Big Bear day trip,20,20,50.0,50.0,50,50
10,Drive PCH up to Malibu,20,19,50.0,50.0,50,50
11,Bowling at Lucky Strike Hollywood,20,20,50.75,50.0,50,65
12,Brewery hop through the Arts District,20,20,50.5,50.0,50,60
13,Rose Bowl Flea Market in Pasadena,20,20,50.0,50.0,50,50
14,Drive-in movie at the Vineland,20,20,50.0,50.0,50,50
15,Comedy show at the Comedy Store,20,20,53.25,50.0,50,70
16,UCB improv show in Hollywood,20,19,50.78947368421053,50.0,50,65
17,Tide pooling at Abalone Cove in Palos Verdes,20,20,57.4,50.0,50,80
18,Visit the La Brea Tar Pits,20,20,59.9,50.0,50,80
19,Sunset drive up Mulholland,20,20,53.0,50.0,50,70
20,Sunset at El Matador Beach,20,20,60.25,50.0,50,80
21,Snorkel at Leo Carrillo State Beach,20,20,51.0,50.0,50,60
22,Pier fishing at the Santa Monica Pier,20,20,51.0,50.0,50,60
23,Hike Bridge to Nowhere in the San Gabriels,20,20,56.35,50.0,50,75
24,Topanga State Park hike,20,20,59.25,50.0,50,75
25,Trail run through Eaton Canyon,20,20,54.0,50.0,50,70
26,Sturtevant Falls hike in Sierra Madre,20,20,55.9,50.0,50,78
27,Hike Temescal Canyon,20,20,58.0,50.0,50,80
28,Clippers game at the Intuit Dome,20,19,50.78947368421053,50.0,50,65
29,Angels game at Angel Stadium,20,20,52.25,50.0,50,65
30,UCLA basketball at Pauley Pavilion,20,20,50.0,50.0,50,50
31,Mini-golf in Old Pasadena,20,18,50.55555555555556,50.0,50,60
32,Sawtelle ramen crawl on the Westside,20,20,53.9,50.0,50,78
