activity_ix,activity,n_appearances,n_decisive_appearances,n_picked,selection_rate,selection_rate_incl_refusals
0,Summit Mount Baldy,193,193,87,0.45077720207253885,0.45077720207253885
1,Hike Sandstone Peak in the Santa Monicas,190,188,102,0.5425531914893617,0.5368421052631579
2,Pickup basketball at the Venice Beach courts,201,201,100,0.4975124378109453,0.4975124378109453
3,Visit LACMA,220,218,119,0.5458715596330275,0.5409090909090909
4,LAFC game at BMO Stadium,195,195,103,0.5282051282051282,0.5282051282051282
5,Rams game at SoFi Stadium,224,224,118,0.5267857142857143,0.5267857142857143
6,Korean BBQ feast in K-town,192,192,95,0.4947916666666667,0.4947916666666667
7,Whale watching out of Long Beach,183,182,97,0.532967032967033,0.5300546448087432
8,Joshua Tree day trip,193,192,107,0.5572916666666666,0.5544041450777202
9,Big Bear day trip,187,186,98,0.5268817204301075,0.5240641711229946
10,Drive PCH up to Malibu,201,201,99,0.4925373134328358,0.4925373134328358
11,Bowling at Lucky Strike Hollywood,199,199,99,0.49748743718592964,0.49748743718592964
12,Brewery hop through the Arts District,218,215,98,0.4558139534883721,0.44954128440366975
13,Rose Bowl Flea Market in Pasadena,216,216,113,0.5231481481481481,0.5231481481481481
14,Drive-in movie at the Vineland,202,200,99,0.495,0.4900990099009901
15,Comedy show at the Comedy Store,204,204,93,0.45588235294117646,0.45588235294117646
16,UCB improv show in Hollywood,207,207,96,0.463768115942029,0.463768115942029
17,Tide pooling at Abalone Cove in Palos Verdes,194,194,97,0.5,0.5
18,Visit the La Brea Tar Pits,212,212,117,0.5518867924528302,0.5518867924528302
19,Sunset drive up Mulholland,209,208,97,0.46634615384615385,0.46411483253588515
20,Sunset at El Matador Beach,200,200,89,0.445,0.445
21,Snorkel at Leo Carrillo State Beach,200,198,88,0.4444444444444444,0.44
22,Pier fishing at the Santa Monica Pier,217,217,112,0.5161290322580645,0.5161290322580645
23,Hike Bridge to Nowhere in the San Gabriels,204,202,104,0.5148514851485149,0.5098039215686274
24,Topanga State Park hike,214,213,104,0.48826291079812206,0.48598130841121495
25,Trail run through Eaton Canyon,204,203,113,0.5566502463054187,0.553921568627451
26,Sturtevant Falls hike in Sierra Madre,199,198,82,0.41414141414141414,0.4120603015075377
27,Hike Temescal Canyon,190,187,95,0.5080213903743316,0.5
28,Clippers game at the Intuit Dome,183,183,90,0.4918032786885246,0.4918032786885246
29,Angels game at Angel Stadium,211,211,115,0.5450236966824644,0.5450236966824644
30,UCLA basketball at Pauley Pavilion,213,212,107,0.5047169811320755,0.5023474178403756
31,Mini-golf in Old Pasadena,209,207,110,0.5314009661835749,0.5263157894736842
32,Sawtelle ramen crawl on the Westside,189,188,91,0.48404255319148937,0.48148148148148145
33,Thai Town dinner crawl,205,205,107,0.5219512195121951,0.5219512195121951
34,Olvera Street tacos and walking tour,197,196,84,0.42857142857142855,0.4263959390862944
35,Petersen Automotive Museum on Wilshire,217,216,116,0.5370370370370371,0.5345622119815668
36,California Science Center to see the Endeavour,157,155,77,0.4967741935483871,0.49044585987261147
37,The Huntington gardens in San Marino,210,209,115,0.5502392344497608,0.5476190476190477
38,Griffith Observatory at night,177,177,91,0.5141242937853108,0.5141242937853108
39,Day trip up to Santa Barbara,207,207,92,0.4444444444444444,0.4444444444444444
40,Bottomless brunch in West Hollywood,192,191,98,0.5130890052356021,0.5104166666666666
41,Wine tasting in Malibu,200,199,96,0.4824120603015075,0.48
42,Bar crawl on Abbot Kinney in Venice,218,215,113,0.5255813953488372,0.518348623853211
43,Cannabis tasting at a licensed West Hollywood consumption lounge,213,212,98,0.46226415094339623,0.460093896713615
