activity_ix,activity,n_appearances,n_decisive_appearances,n_picked,selection_rate,selection_rate_incl_refusals
0,Summit Mount Baldy,193,184,119,0.6467391304347826,0.616580310880829
1,Hike Sandstone Peak in the Santa Monicas,190,169,124,0.7337278106508875,0.6526315789473685
2,Pickup basketball at the Venice Beach courts,201,178,122,0.6853932584269663,0.6069651741293532
3,Visit LACMA,220,201,61,0.3034825870646766,0.2772727272727273
4,LAFC game at BMO Stadium,195,179,125,0.6983240223463687,0.6410256410256411
5,Rams game at SoFi Stadium,224,209,135,0.645933014354067,0.6026785714285714
6,Korean BBQ feast in K-town,192,173,95,0.5491329479768786,0.4947916666666667
7,Whale watching out of Long Beach,183,168,130,0.7738095238095238,0.7103825136612022
8,Joshua Tree day trip,193,178,128,0.7191011235955056,0.6632124352331606
9,Big Bear day trip,187,173,94,0.5433526011560693,0.5026737967914439
10,Drive PCH up to Malibu,201,186,119,0.6397849462365591,0.5920398009950248
11,Bowling at Lucky Strike Hollywood,199,181,96,0.5303867403314917,0.4824120603015075
12,Brewery hop through the Arts District,218,193,97,0.5025906735751295,0.44495412844036697
13,Rose Bowl Flea Market in Pasadena,216,194,118,0.6082474226804123,0.5462962962962963
14,Drive-in movie at the Vineland,202,179,78,0.43575418994413406,0.38613861386138615
15,Comedy show at the Comedy Store,204,188,105,0.5585106382978723,0.5147058823529411
16,UCB improv show in Hollywood,207,188,80,0.425531914893617,0.3864734299516908
17,Tide pooling at Abalone Cove in Palos Verdes,194,185,151,0.8162162162162162,0.7783505154639175
18,Visit the La Brea Tar Pits,212,196,112,0.5714285714285714,0.5283018867924528
19,Sunset drive up Mulholland,209,186,103,0.553763440860215,0.49282296650717705
20,Sunset at El Matador Beach,200,180,144,0.8,0.72
21,Snorkel at Leo Carrillo State Beach,200,178,104,0.5842696629213483,0.52
22,Pier fishing at the Santa Monica Pier,217,195,99,0.5076923076923077,0.45622119815668205
23,Hike Bridge to Nowhere in the San Gabriels,204,189,144,0.7619047619047619,0.7058823529411765
24,Topanga State Park hike,214,192,125,0.6510416666666666,0.5841121495327103
25,Trail run through Eaton Canyon,204,187,77,0.4117647058823529,0.37745098039215685
26,Sturtevant Falls hike in Sierra Madre,199,190,147,0.7736842105263158,0.7386934673366834
