activity_ix,activity,n_appearances,n_decisive_appearances,n_picked,selection_rate,selection_rate_incl_refusals
0,Summit Mount Baldy,193,190,92,0.4842105263157895,0.47668393782383417
1,Hike Sandstone Peak in the Santa Monicas,190,188,104,0.5531914893617021,0.5473684210526316
2,Pickup basketball at the Venice Beach courts,201,201,109,0.5422885572139303,0.5422885572139303
3,Visit LACMA,220,216,108,0.5,0.4909090909090909
4,LAFC game at BMO Stadium,195,195,113,0.5794871794871795,0.5794871794871795
5,Rams game at SoFi Stadium,224,222,112,0.5045045045045045,0.5
6,Korean BBQ feast in K-town,192,190,95,0.5,0.4947916666666667
7,Whale watching out of Long Beach,183,180,93,0.5166666666666667,0.5081967213114754
8,Joshua Tree day trip,193,190,101,0.531578947368421,0.5233160621761658
9,Big Bear day trip,187,187,87,0.46524064171123,0.46524064171123
10,Drive PCH up to Malibu,201,199,114,0.5728643216080402,0.5671641791044776
11,Bowling at Lucky Strike Hollywood,199,196,106,0.5408163265306123,0.5326633165829145
12,Brewery hop through the Arts District,218,216,103,0.47685185185185186,0.4724770642201835
13,Rose Bowl Flea Market in Pasadena,216,216,106,0.49074074074074076,0.49074074074074076
14,Drive-in movie at the Vineland,202,199,107,0.5376884422110553,0.5297029702970297
15,Comedy show at the Comedy Store,204,201,98,0.48756218905472637,0.4803921568627451
16,UCB improv show in Hollywood,207,204,98,0.4803921568627451,0.47342995169082125
17,Tide pooling at Abalone Cove in Palos Verdes,194,193,109,0.5647668393782384,0.5618556701030928
18,Visit the La Brea Tar Pits,212,207,96,0.463768115942029,0.4528301886792453
19,Sunset drive up Mulholland,209,204,103,0.5049019607843137,0.49282296650717705
20,Sunset at El Matador Beach,200,199,111,0.5577889447236181,0.555
21,Snorkel at Leo Carrillo State Beach,200,197,93,0.4720812182741117,0.465
22,Pier fishing at the Santa Monica Pier,217,214,104,0.48598130841121495,0.4792626728110599
23,Hike Bridge to Nowhere in the San Gabriels,204,203,92,0.45320197044334976,0.45098039215686275
24,Topanga State Park hike,214,212,98,0.46226415094339623,0.45794392523364486
25,Trail run through Eaton Canyon,204,199,98,0.49246231155778897,0.4803921568627451
26,Sturtevant Falls hike in Sierra Madre,199,196,104,0.5306122448979592,0.5226130653266332
27,Hike Temescal Canyon,190,186,93,0.5,0.48947368421052634
28,Clippers game at the Intuit Dome,183,183,92,0.5027322404371585,0.5027322404371585
29,Angels game at Angel Stadium,211,209,106,0.507177033492823,0.5023696682464455
