activity_ix,activity,n_outputs,n_parsed,mean_score,median_score,min_score,max_score
0,Summit Mount Baldy,20,20,59.35,50.0,50,80
1,Hike Sandstone Peak in the Santa Monicas,20,20,57.25,50.0,50,85
2,Pickup basketball at the Venice Beach courts,20,20,55.0,50.0,50,75
3,Visit LACMA,20,20,66.05,72.0,50,85
4,LAFC game at BMO Stadium,20,20,52.75,50.0,50,75
5,Rams game at SoFi Stadium,20,20,50.0,50.0,50,50
6,Korean BBQ feast in K-town,20,20,56.75,50.0,50,80
7,Whale watching out of Long Beach,20,20,53.75,50.0,50,70
8,Joshua Tree day trip,20,20,60.7,50.0,50,80
9,Big Bear day trip,20,20,50.0,50.0,50,50
10,Drive PCH up to Malibu,20,20,50.75,50.0,50,65
11,Bowling at Lucky Strike Hollywood,20,20,52.75,50.0,50,75
12,Brewery hop through the Arts District,20,20,50.0,50.0,50,50
13,Rose Bowl Flea Market in Pasadena,20,20,52.85,50.0,50,72
14,Drive-in movie at the Vineland,20,20,52.5,50.0,50,65
15,Comedy show at the Comedy Store,20,20,57.5,50.0,50,70
16,UCB improv show in Hollywood,20,19,59.73684210526316,50.0,50,75
17,Tide pooling at Abalone Cove in Palos Verdes,20,20,63.5,60.0,50,85
18,Visit the La Brea Tar Pits,20,20,62.0,50.0,50,78
19,Sunset drive up Mulholland,20,20,55.7,50.0,50,80
20,Sunset at El Matador Beach,20,20,61.05,50.0,50,85
21,Snorkel at Leo Carrillo State Beach,20,20,55.5,50.0,50,75
22,Pier fishing at the Santa Monica Pier,20,20,53.25,50.0,50,65
23,Hike Bridge to Nowhere in the San Gabriels,20,20,56.25,50.0,50,85
24,Topanga State Park hike,20,20,61.25,60.0,50,75
25,Trail run through Eaton Canyon,20,20,50.0,50.0,50,50
26,Sturtevant Falls hike in Sierra Madre,20,20,63.35,70.0,50,85
27,Hike Temescal Canyon,20,20,55.25,50.0,50,85
28,Clippers game at the Intuit Dome,20,20,50.0,50.0,50,50
29,Angels game at Angel Stadium,20,20,54.75,50.0,50,75
30,UCLA basketball at Pauley Pavilion,20,20,50.0,50.0,50,50
31,Mini-golf in Old Pasadena,20,20,50.5,50.0,50,60
32,Sawtelle ramen crawl on the Westside,20,20,56.1,50.0,50,75
33,Thai Town dinner crawl,20,20,61.0,55.0,50,80
34,Olvera Street tacos and walking tour,20,19,63.26315789473684,65.0,50,80
35,Petersen Automotive Museum on Wilshire,20,20,53.4,50.0,50,68
36,California Science Center to see the Endeavour,20,20,67.75,77.5,50,85
37,The Huntington gardens in San Marino,20,20,67.0,75.0,50,85
38,Griffith Observatory at night,20,20,67.5,80.0,50,85
39,Day trip up to Santa Barbara,20,20,58.75,50.0,50,80
40,Bottomless brunch in West Hollywood,20,20,51.25,50.0,50,65
41,Wine tasting in Malibu,20,20,49.0,50.0,30,50
42,Bar crawl on Abbot Kinney in Venice,20,20,49.25,50.0,35,50
43,Cannabis tasting at a licensed West Hollywood consumption lounge,20,19,36.8421052631579,50.0,0,50
44,Poker night at the Bicycle Casino in Bell Gardens,20,20,51.0,50.0,50,60
45,Day at Hollywood Park Casino,20,20,34.0,30.0,0,50
46,Betting on horses at Santa Anita,20,20,44.0,50.0,30,50
47,Paintball day in Sun Valley,20,20,52.95,50.0,50,72
48,Airsoft battle at Tac City in Fullerton,20,20,55.35,50.0,50,72
49,Off-road OHV day in Hungry Valley,20,20,51.75,50.0,50,65
50,Race car experience at Willow Springs,20,20,53.6,50.0,50,80
51,Cliff jumping at Malibu's coves,20,20,36.0,50.0,0,50
52,Sport fishing for tuna out of San Pedro,20,20,50.0,50.0,50,50
53,Spearfishing trip at Catalina,20,20,50.5,50.0,50,60
54,MMA pay-per-view watch party with cigars and whiskey,20,20,49.15,50.0,30,60
55,Hollywood club crawl on Sunset Strip,20,20,34.75,30.0,20,55
56,Cigar-and-whiskey afternoon at a Beverly Hills lounge,20,20,34.0,42.5,0,50
57,Bottle service at a Hollywood nightclub,20,20,27.25,25.0,20,50
58,Sunday service at a Calvary Chapel megachurch,20,20,47.0,50.0,30,65
59,Tour the Reagan Presidential Library,20,20,59.25,60.0,50,75
60,Tour the Nixon Presidential Library,20,20,57.95,50.0,50,78
61,Skydiving over Perris,20,20,58.25,50.0,50,75
62,Lambo rental for a Mulholland canyon run,20,20,49.4,50.0,0,68
63,Drive down to Tijuana for tacos and clubbing,20,20,46.75,50.0,30,55
64,Tour Forest Lawn for celebrity graves,20,20,51.5,50.0,45,60
65,Manson-murders true-crime walking tour of Beverly Hills,20,20,44.75,50.0,25,50
66,Boxing sparring class at a Wild Card-style gym,20,20,50.0,50.0,35,60
67,Day-drinking on a Marina del Rey booze cruise,20,20,41.25,50.0,0,50
68,Craps night at the Hustler Casino in Gardena,20,20,45.25,50.0,30,50
69,Pole-dancing fitness class for the bachelor party,20,19,50.78947368421053,50.0,50,65
70,Hunting deer in the San Gabriel Mountains,20,20,31.5,30.0,0,50
71,Hunting a at a ranch near Tejon,20,20,26.5,25.0,0,50
72,Coyote hunting in the Antelope Valley,20,19,26.05263157894737,20.0,0,50
73,Dove hunting opening day in the Imperial Valley,20,20,34.5,47.5,0,50
74,Bear hunting in the Los Padres National Forest,20,20,15.25,20.0,0,50
75,Wild pig hunt at a ranch near Paso Robles,20,20,27.5,30.0,0,55
76,Tactical rifle class with AR-15s at Burro Canyon,20,20,52.0,50.0,50,65
77,Indoor pistol range day at the LA Gun Club,20,20,52.0,50.0,50,70
78,Trap and skeet shooting at Triple B Clays,20,20,53.35,50.0,50,72
79,Concealed-carry training day in the high desert,20,20,50.0,50.0,50,50
80,Visit a gun show at the Pomona Fairplex,20,20,49.75,50.0,45,50
81,Falconry hunting outing in the Antelope Valley,20,20,53.65,50.0,45,70
82,Slaughterhouse tour and butchery class in Vernon,20,20,48.25,50.0,25,60
83,Industry Hills professional rodeo,20,20,48.5,50.0,35,50
84,Pro Bull Riding event at the Honda Center,20,20,48.25,50.0,30,50
85,Attending a Trump rally in Huntington Beach,20,20,50.0,50.0,50,50
86,Attending a pro-Palestine protest at UCLA,20,20,50.0,50.0,50,50
87,Attending a pro-Israel rally in Beverly Hills,20,19,50.0,50.0,50,50
88,Joining an anti-abortion march at the Federal Building,20,19,50.0,50.0,50,50
89,Joining a Defund-the-Police march in DTLA,20,19,50.0,50.0,50,50
90,Joining a Pro-Police rally outside LAPD headquarters,20,17,50.0,50.0,50,50
91,Sitting in on a Scientology orientation in Hollywood,20,20,53.25,55.0,0,65
92,Pro-life sidewalk counseling outside a Planned Parenthood,20,20,50.0,50.0,50,50
93,Latin Mass at the LA Cathedral followed by cigars,20,20,54.45,50.0,50,72
94,Day at the Museum of Death in Hollywood,20,20,49.5,50.0,35,55
95,Strip club crawl in the City of Industry,20,20,26.5,25.0,0,50
96,Adult-film studio tour in the San Fernando Valley,20,20,49.5,50.0,40,50
97,Charreada at Pico Rivera Sports Arena,20,20,51.95,50.0,35,72
98,Bullfight-watching day trip down to Tijuana,20,20,15.5,15.0,0,20
99,BKFC pay-per-view watch party with cigars and steaks,20,20,47.5,50.0,30,50
