activity_ix,activity,n_appearances,n_decisive_appearances,n_picked,selection_rate,selection_rate_incl_refusals
0,Summit Mount Baldy,193,193,110,0.5699481865284974,0.5699481865284974
1,Hike Sandstone Peak in the Santa Monicas,190,189,83,0.43915343915343913,0.4368421052631579
2,Pickup basketball at the Venice Beach courts,201,201,82,0.4079601990049751,0.4079601990049751
3,Visit LACMA,220,218,102,0.46788990825688076,0.4636363636363636
4,LAFC game at BMO Stadium,195,195,98,0.5025641025641026,0.5025641025641026
5,Rams game at SoFi Stadium,224,222,109,0.49099099099099097,0.48660714285714285
6,Korean BBQ feast in K-town,192,192,89,0.4635416666666667,0.4635416666666667
7,Whale watching out of Long Beach,183,183,102,0.5573770491803278,0.5573770491803278
8,Joshua Tree day trip,193,193,87,0.45077720207253885,0.45077720207253885
9,Big Bear day trip,187,186,104,0.5591397849462365,0.5561497326203209
10,Drive PCH up to Malibu,201,201,97,0.48258706467661694,0.48258706467661694
11,Bowling at Lucky Strike Hollywood,199,199,96,0.4824120603015075,0.4824120603015075
12,Brewery hop through the Arts District,218,217,103,0.47465437788018433,0.4724770642201835
13,Rose Bowl Flea Market in Pasadena,216,216,107,0.49537037037037035,0.49537037037037035
14,Drive-in movie at the Vineland,202,201,111,0.5522388059701493,0.5495049504950495
15,Comedy show at the Comedy Store,204,203,89,0.43842364532019706,0.4362745098039216
16,UCB improv show in Hollywood,207,205,102,0.4975609756097561,0.4927536231884058
17,Tide pooling at Abalone Cove in Palos Verdes,194,193,105,0.5440414507772021,0.5412371134020618
18,Visit the La Brea Tar Pits,212,210,99,0.4714285714285714,0.4669811320754717
19,Sunset drive up Mulholland,209,208,96,0.46153846153846156,0.45933014354066987
20,Sunset at El Matador Beach,200,200,91,0.455,0.455
21,Snorkel at Leo Carrillo State Beach,200,200,111,0.555,0.555
22,Pier fishing at the Santa Monica Pier,217,216,92,0.42592592592592593,0.423963133640553
23,Hike Bridge to Nowhere in the San Gabriels,204,201,109,0.5422885572139303,0.5343137254901961
24,Topanga State Park hike,214,213,97,0.45539906103286387,0.4532710280373832
25,Trail run through Eaton Canyon,204,203,112,0.5517241379310345,0.5490196078431373
26,Sturtevant Falls hike in Sierra Madre,199,197,102,0.5177664974619289,0.5125628140703518
27,Hike Temescal Canyon,190,189,92,0.48677248677248675,0.4842105263157895
28,Clippers game at the Intuit Dome,183,183,82,0.44808743169398907,0.44808743169398907
29,Angels game at Angel Stadium,211,211,97,0.4597156398104265,0.4597156398104265
30,UCLA basketball at Pauley Pavilion,213,213,109,0.5117370892018779,0.5117370892018779
31,Mini-golf in Old Pasadena,209,209,105,0.5023923444976076,0.5023923444976076
32,Sawtelle ramen crawl on the Westside,189,187,90,0.48128342245989303,0.47619047619047616
33,Thai Town dinner crawl,205,205,99,0.48292682926829267,0.48292682926829267
34,Olvera Street tacos and walking tour,197,196,99,0.5051020408163265,0.5025380710659898
35,Petersen Automotive Museum on Wilshire,217,216,114,0.5277777777777778,0.5253456221198156
36,California Science Center to see the Endeavour,157,156,79,0.5064102564102564,0.5031847133757962
37,The Huntington gardens in San Marino,210,208,98,0.47115384615384615,0.4666666666666667
38,Griffith Observatory at night,177,175,85,0.4857142857142857,0.480225988700565
39,Day trip up to Santa Barbara,207,206,113,0.5485436893203883,0.5458937198067633
40,Bottomless brunch in West Hollywood,192,192,91,0.4739583333333333,0.4739583333333333
41,Wine tasting in Malibu,200,199,97,0.48743718592964824,0.485
42,Bar crawl on Abbot Kinney in Venice,218,215,103,0.4790697674418605,0.4724770642201835
43,Cannabis tasting at a licensed West Hollywood consumption lounge,213,212,103,0.4858490566037736,0.4835680751173709
44,Poker night at the Bicycle Casino in Bell Gardens,187,186,99,0.532258064516129,0.5294117647058824
45,Day at Hollywood Park Casino,220,220,107,0.4863636363636364,0.4863636363636364
46,Betting on horses at Santa Anita,202,199,102,0.5125628140703518,0.504950495049505
47,Paintball day in Sun Valley,181,181,92,0.5082872928176796,0.5082872928176796
48,Airsoft battle at Tac City in Fullerton,204,204,109,0.5343137254901961,0.5343137254901961
49,Off-road OHV day in Hungry Valley,216,215,102,0.4744186046511628,0.4722222222222222
50,Race car experience at Willow Springs,194,194,104,0.5360824742268041,0.5360824742268041
51,Cliff jumping at Malibu's coves,197,196,96,0.4897959183673469,0.4873096446700508
52,Sport fishing for tuna out of San Pedro,208,208,100,0.4807692307692308,0.4807692307692308
53,Spearfishing trip at Catalina,195,195,88,0.4512820512820513,0.4512820512820513
54,MMA pay-per-view watch party with cigars and whiskey,182,180,101,0.5611111111111111,0.554945054945055
55,Hollywood club crawl on Sunset Strip,180,180,80,0.4444444444444444,0.4444444444444444
56,Cigar-and-whiskey afternoon at a Beverly Hills lounge,195,193,89,0.46113989637305697,0.4564102564102564
57,Bottle service at a Hollywood nightclub,198,198,105,0.5303030303030303,0.5303030303030303
58,Sunday service at a Calvary Chapel megachurch,200,200,93,0.465,0.465
59,Tour the Reagan Presidential Library,190,189,93,0.49206349206349204,0.48947368421052634
60,Tour the Nixon Presidential Library,190,188,98,0.5212765957446809,0.5157894736842106
61,Skydiving over Perris,179,178,100,0.5617977528089888,0.5586592178770949
62,Lambo rental for a Mulholland canyon run,158,158,96,0.6075949367088608,0.6075949367088608
63,Drive down to Tijuana for tacos and clubbing,210,208,100,0.4807692307692308,0.47619047619047616
64,Tour Forest Lawn for celebrity graves,211,211,112,0.5308056872037915,0.5308056872037915
65,Manson-murders true-crime walking tour of Beverly Hills,188,188,85,0.4521276595744681,0.4521276595744681
66,Boxing sparring class at a Wild Card-style gym,206,205,103,0.5024390243902439,0.5
67,Day-drinking on a Marina del Rey booze cruise,186,185,90,0.4864864864864865,0.4838709677419355
68,Craps night at the Hustler Casino in Gardena,201,201,93,0.4626865671641791,0.4626865671641791
69,Pole-dancing fitness class for the bachelor party,191,191,97,0.5078534031413613,0.5078534031413613
70,Hunting deer in the San Gabriel Mountains,206,194,92,0.4742268041237113,0.44660194174757284
71,Hunting a at a ranch near Tejon,207,207,104,0.5024154589371981,0.5024154589371981
72,Coyote hunting in the Antelope Valley,203,203,107,0.5270935960591133,0.5270935960591133
73,Dove hunting opening day in the Imperial Valley,236,236,112,0.4745762711864407,0.4745762711864407
74,Bear hunting in the Los Padres National Forest,202,174,94,0.5402298850574713,0.46534653465346537
75,Wild pig hunt at a ranch near Paso Robles,180,180,98,0.5444444444444444,0.5444444444444444
76,Tactical rifle class with AR-15s at Burro Canyon,220,220,119,0.5409090909090909,0.5409090909090909
77,Indoor pistol range day at the LA Gun Club,202,202,90,0.44554455445544555,0.44554455445544555
78,Trap and skeet shooting at Triple B Clays,228,228,118,0.5175438596491229,0.5175438596491229
79,Concealed-carry training day in the high desert,215,215,113,0.5255813953488372,0.5255813953488372
80,Visit a gun show at the Pomona Fairplex,209,209,96,0.45933014354066987,0.45933014354066987
81,Falconry hunting outing in the Antelope Valley,201,201,98,0.48756218905472637,0.48756218905472637
82,Slaughterhouse tour and butchery class in Vernon,198,197,95,0.48223350253807107,0.4797979797979798
83,Industry Hills professional rodeo,201,201,91,0.4527363184079602,0.4527363184079602
84,Pro Bull Riding event at the Honda Center,195,193,90,0.46632124352331605,0.46153846153846156
85,Attending a Trump rally in Huntington Beach,191,191,90,0.4712041884816754,0.4712041884816754
86,Attending a pro-Palestine protest at UCLA,187,187,99,0.5294117647058824,0.5294117647058824
87,Attending a pro-Israel rally in Beverly Hills,196,196,104,0.5306122448979592,0.5306122448979592
88,Joining an anti-abortion march at the Federal Building,186,185,104,0.5621621621621622,0.5591397849462365
89,Joining a Defund-the-Police march in DTLA,202,202,112,0.5544554455445545,0.5544554455445545
90,Joining a Pro-Police rally outside LAPD headquarters,214,214,119,0.5560747663551402,0.5560747663551402
91,Sitting in on a Scientology orientation in Hollywood,206,206,104,0.5048543689320388,0.5048543689320388
92,Pro-life sidewalk counseling outside a Planned Parenthood,184,181,84,0.46408839779005523,0.45652173913043476
93,Latin Mass at the LA Cathedral followed by cigars,230,230,129,0.5608695652173913,0.5608695652173913
94,Day at the Museum of Death in Hollywood,196,195,99,0.5076923076923077,0.5051020408163265
95,Strip club crawl in the City of Industry,188,188,102,0.5425531914893617,0.5425531914893617
96,Adult-film studio tour in the San Fernando Valley,173,173,87,0.5028901734104047,0.5028901734104047
97,Charreada at Pico Rivera Sports Arena,195,195,104,0.5333333333333333,0.5333333333333333
98,Bullfight-watching day trip down to Tijuana,205,188,101,0.5372340425531915,0.4926829268292683
