activity_ix,activity,n_appearances,n_decisive_appearances,n_picked,selection_rate,selection_rate_incl_refusals
0,Summit Mount Baldy,193,178,137,0.7696629213483146,0.7098445595854922
1,Hike Sandstone Peak in the Santa Monicas,190,164,108,0.6585365853658537,0.5684210526315789
2,Pickup basketball at the Venice Beach courts,201,170,104,0.611764705882353,0.5174129353233831
3,Visit LACMA,220,197,47,0.23857868020304568,0.21363636363636362
4,LAFC game at BMO Stadium,195,176,117,0.6647727272727273,0.6
5,Rams game at SoFi Stadium,224,201,129,0.6417910447761194,0.5758928571428571
6,Korean BBQ feast in K-town,192,168,89,0.5297619047619048,0.4635416666666667
7,Whale watching out of Long Beach,183,160,126,0.7875,0.6885245901639344
8,Joshua Tree day trip,193,167,123,0.7365269461077845,0.6373056994818653
9,Big Bear day trip,187,160,82,0.5125,0.4385026737967914
10,Drive PCH up to Malibu,201,171,110,0.6432748538011696,0.5472636815920398
11,Bowling at Lucky Strike Hollywood,199,174,70,0.40229885057471265,0.35175879396984927
12,Brewery hop through the Arts District,218,190,91,0.4789473684210526,0.41743119266055045
13,Rose Bowl Flea Market in Pasadena,216,193,104,0.538860103626943,0.48148148148148145
14,Drive-in movie at the Vineland,202,175,68,0.38857142857142857,0.33663366336633666
15,Comedy show at the Comedy Store,204,179,92,0.5139664804469274,0.45098039215686275
16,UCB improv show in Hollywood,207,182,58,0.31868131868131866,0.28019323671497587
17,Tide pooling at Abalone Cove in Palos Verdes,194,183,138,0.7540983606557377,0.711340206185567
18,Visit the La Brea Tar Pits,212,190,100,0.5263157894736842,0.4716981132075472
19,Sunset drive up Mulholland,209,178,77,0.43258426966292135,0.3684210526315789
20,Sunset at El Matador Beach,200,180,140,0.7777777777777778,0.7
21,Snorkel at Leo Carrillo State Beach,200,176,102,0.5795454545454546,0.51
22,Pier fishing at the Santa Monica Pier,217,189,99,0.5238095238095238,0.45622119815668205
23,Hike Bridge to Nowhere in the San Gabriels,204,181,139,0.7679558011049724,0.6813725490196079
24,Topanga State Park hike,214,184,116,0.6304347826086957,0.5420560747663551
25,Trail run through Eaton Canyon,204,185,75,0.40540540540540543,0.36764705882352944
26,Sturtevant Falls hike in Sierra Madre,199,180,126,0.7,0.6331658291457286
27,Hike Temescal Canyon,190,170,82,0.4823529411764706,0.43157894736842106
28,Clippers game at the Intuit Dome,183,167,108,0.6467065868263473,0.5901639344262295
29,Angels game at Angel Stadium,211,195,98,0.5025641025641026,0.46445497630331756
30,UCLA basketball at Pauley Pavilion,213,192,110,0.5729166666666666,0.5164319248826291
31,Mini-golf in Old Pasadena,209,179,52,0.2905027932960894,0.24880382775119617
32,Sawtelle ramen crawl on the Westside,189,159,84,0.5283018867924528,0.4444444444444444
33,Thai Town dinner crawl,205,176,89,0.5056818181818182,0.43414634146341463
34,Olvera Street tacos and walking tour,197,174,95,0.5459770114942529,0.48223350253807107
35,Petersen Automotive Museum on Wilshire,217,179,69,0.3854748603351955,0.31797235023041476
36,California Science Center to see the Endeavour,157,133,103,0.7744360902255639,0.6560509554140127
37,The Huntington gardens in San Marino,210,177,121,0.6836158192090396,0.5761904761904761
38,Griffith Observatory at night,177,142,99,0.6971830985915493,0.559322033898305
