activity_ix,activity,n_outputs,n_parsed,mean_score,median_score,min_score,max_score
0,Summit Mount Baldy,20,20,73.55,81.0,50,90
1,Hike Sandstone Peak in the Santa Monicas,20,20,85.85,85.0,82,90
2,Pickup basketball at the Venice Beach courts,20,20,66.5,75.0,10,90
3,Visit LACMA,20,20,86.9,85.0,85,90
4,LAFC game at BMO Stadium,20,20,76.85,80.0,50,85
5,Rams game at SoFi Stadium,20,20,74.1,75.0,50,90
6,Korean BBQ feast in K-town,20,20,90.5,95.0,50,95
7,Whale watching out of Long Beach,20,20,85.5,85.0,85,90
8,Joshua Tree day trip,20,20,85.55,85.0,85,90
9,Big Bear day trip,20,20,83.0,85.0,50,90
10,Drive PCH up to Malibu,20,20,89.75,90.0,85,95
11,Bowling at Lucky Strike Hollywood,20,20,70.6,75.0,50,85
12,Brewery hop through the Arts District,20,20,73.2,80.0,50,85
13,Rose Bowl Flea Market in Pasadena,20,20,82.95,85.0,70,90
14,Drive-in movie at the Vineland,20,20,84.85,85.0,82,85
15,Comedy show at the Comedy Store,20,20,84.4,85.0,78,85
16,UCB improv show in Hollywood,20,20,84.45,85.0,80,85
17,Tide pooling at Abalone Cove in Palos Verdes,20,20,87.4,86.5,75,95
18,Visit the La Brea Tar Pits,20,20,86.75,85.0,82,90
19,Sunset drive up Mulholland,20,20,88.3,90.0,85,95
20,Sunset at El Matador Beach,20,20,89.85,93.5,50,95
21,Snorkel at Leo Carrillo State Beach,20,20,85.25,85.0,85,90
22,Pier fishing at the Santa Monica Pier,20,20,64.5,62.5,50,85
23,Hike Bridge to Nowhere in the San Gabriels,20,20,85.55,85.0,85,90
24,Topanga State Park hike,20,20,82.4,85.0,50,90
25,Trail run through Eaton Canyon,20,20,78.9,85.0,50,90
26,Sturtevant Falls hike in Sierra Madre,20,20,85.5,85.0,82,90
27,Hike Temescal Canyon,20,20,82.75,85.0,50,85
28,Clippers game at the Intuit Dome,20,20,76.35,83.5,50,85
29,Angels game at Angel Stadium,20,20,71.2,75.0,50,80
30,UCLA basketball at Pauley Pavilion,20,20,74.75,85.0,50,85
31,Mini-golf in Old Pasadena,20,20,79.0,80.0,50,85
32,Sawtelle ramen crawl on the Westside,20,20,92.2,92.0,90,95
33,Thai Town dinner crawl,20,20,87.95,88.0,85,92
34,Olvera Street tacos and walking tour,20,20,85.15,85.0,50,92
35,Petersen Automotive Museum on Wilshire,20,20,84.7,85.0,82,85
36,California Science Center to see the Endeavour,20,20,93.75,95.0,90,95
37,The Huntington gardens in San Marino,20,20,92.4,92.0,90,95
38,Griffith Observatory at night,20,20,88.85,95.0,50,95
39,Day trip up to Santa Barbara,20,20,86.9,85.0,85,90
40,Bottomless brunch in West Hollywood,20,20,54.5,50.0,15,85
41,Wine tasting in Malibu,20,20,75.25,85.0,50,85
42,Bar crawl on Abbot Kinney in Venice,20,20,50.75,50.0,10,75
43,Cannabis tasting at a licensed West Hollywood consumption lounge,20,20,43.5,50.0,0,70
44,Poker night at the Bicycle Casino in Bell Gardens,20,20,59.75,50.0,50,85
45,Day at Hollywood Park Casino,20,20,39.1,50.0,10,50
46,Betting on horses at Santa Anita,20,20,30.0,27.5,0,50
47,Paintball day in Sun Valley,20,20,68.6,75.0,40,85
48,Airsoft battle at Tac City in Fullerton,20,20,61.5,60.0,40,80
49,Off-road OHV day in Hungry Valley,20,20,64.0,70.0,40,85
50,Race car experience at Willow Springs,20,20,84.75,85.0,80,88
51,Cliff jumping at Malibu's coves,20,20,31.0,30.0,0,65
52,Sport fishing for tuna out of San Pedro,20,20,52.25,50.0,10,80
53,Spearfishing trip at Catalina,20,20,56.5,55.0,10,80
54,MMA pay-per-view watch party with cigars and whiskey,20,20,38.75,50.0,0,50
55,Hollywood club crawl on Sunset Strip,20,20,25.75,15.0,10,75
