activity_ix,activity,n_appearances,n_decisive_appearances,n_picked,selection_rate,selection_rate_incl_refusals
0,Summit Mount Baldy,193,193,97,0.5025906735751295,0.5025906735751295
1,Hike Sandstone Peak in the Santa Monicas,190,190,94,0.49473684210526314,0.49473684210526314
2,Pickup basketball at the Venice Beach courts,201,201,84,0.417910447761194,0.417910447761194
3,Visit LACMA,220,220,113,0.5136363636363637,0.5136363636363637
4,LAFC game at BMO Stadium,195,195,93,0.47692307692307695,0.47692307692307695
5,Rams game at SoFi Stadium,224,224,117,0.5223214285714286,0.5223214285714286
6,Korean BBQ feast in K-town,192,192,100,0.5208333333333334,0.5208333333333334
7,Whale watching out of Long Beach,183,183,95,0.5191256830601093,0.5191256830601093
8,Joshua Tree day trip,193,191,104,0.5445026178010471,0.538860103626943
9,Big Bear day trip,187,187,103,0.5508021390374331,0.5508021390374331
10,Drive PCH up to Malibu,201,201,111,0.5522388059701493,0.5522388059701493
11,Bowling at Lucky Strike Hollywood,199,199,104,0.5226130653266332,0.5226130653266332
12,Brewery hop through the Arts District,218,218,106,0.48623853211009177,0.48623853211009177
13,Rose Bowl Flea Market in Pasadena,216,216,103,0.47685185185185186,0.47685185185185186
14,Drive-in movie at the Vineland,202,202,112,0.5544554455445545,0.5544554455445545
15,Comedy show at the Comedy Store,204,204,103,0.5049019607843137,0.5049019607843137
16,UCB improv show in Hollywood,207,207,94,0.45410628019323673,0.45410628019323673
17,Tide pooling at Abalone Cove in Palos Verdes,194,194,108,0.5567010309278351,0.5567010309278351
18,Visit the La Brea Tar Pits,212,211,105,0.4976303317535545,0.49528301886792453
19,Sunset drive up Mulholland,209,209,94,0.44976076555023925,0.44976076555023925
20,Sunset at El Matador Beach,200,200,96,0.48,0.48
21,Snorkel at Leo Carrillo State Beach,200,200,107,0.535,0.535
22,Pier fishing at the Santa Monica Pier,217,217,102,0.4700460829493088,0.4700460829493088
23,Hike Bridge to Nowhere in the San Gabriels,204,204,106,0.5196078431372549,0.5196078431372549
24,Topanga State Park hike,214,214,106,0.4953271028037383,0.4953271028037383
25,Trail run through Eaton Canyon,204,204,95,0.46568627450980393,0.46568627450980393
26,Sturtevant Falls hike in Sierra Madre,199,198,91,0.4595959595959596,0.457286432160804
27,Hike Temescal Canyon,190,189,87,0.4603174603174603,0.45789473684210524
28,Clippers game at the Intuit Dome,183,183,83,0.453551912568306,0.453551912568306
29,Angels game at Angel Stadium,211,211,118,0.5592417061611374,0.5592417061611374
30,UCLA basketball at Pauley Pavilion,213,213,111,0.5211267605633803,0.5211267605633803
31,Mini-golf in Old Pasadena,209,209,92,0.44019138755980863,0.44019138755980863
32,Sawtelle ramen crawl on the Westside,189,189,96,0.5079365079365079,0.5079365079365079
33,Thai Town dinner crawl,205,205,98,0.47804878048780486,0.47804878048780486
34,Olvera Street tacos and walking tour,197,196,92,0.46938775510204084,0.467005076142132
35,Petersen Automotive Museum on Wilshire,217,216,106,0.49074074074074076,0.48847926267281105
36,California Science Center to see the Endeavour,157,157,69,0.4394904458598726,0.4394904458598726
37,The Huntington gardens in San Marino,210,209,100,0.4784688995215311,0.47619047619047616
38,Griffith Observatory at night,177,177,100,0.5649717514124294,0.5649717514124294
39,Day trip up to Santa Barbara,207,207,106,0.5120772946859904,0.5120772946859904
40,Bottomless brunch in West Hollywood,192,192,93,0.484375,0.484375
41,Wine tasting in Malibu,200,200,108,0.54,0.54
42,Bar crawl on Abbot Kinney in Venice,218,218,100,0.45871559633027525,0.45871559633027525
43,Cannabis tasting at a licensed West Hollywood consumption lounge,213,212,98,0.46226415094339623,0.460093896713615
44,Poker night at the Bicycle Casino in Bell Gardens,187,187,95,0.5080213903743316,0.5080213903743316
45,Day at Hollywood Park Casino,220,220,114,0.5181818181818182,0.5181818181818182
46,Betting on horses at Santa Anita,202,202,97,0.4801980198019802,0.4801980198019802
47,Paintball day in Sun Valley,181,181,94,0.5193370165745856,0.5193370165745856
48,Airsoft battle at Tac City in Fullerton,204,203,106,0.5221674876847291,0.5196078431372549
49,Off-road OHV day in Hungry Valley,216,216,106,0.49074074074074076,0.49074074074074076
50,Race car experience at Willow Springs,194,194,91,0.4690721649484536,0.4690721649484536
51,Cliff jumping at Malibu's coves,197,197,109,0.5532994923857868,0.5532994923857868
52,Sport fishing for tuna out of San Pedro,208,208,107,0.5144230769230769,0.5144230769230769
53,Spearfishing trip at Catalina,195,195,98,0.5025641025641026,0.5025641025641026
54,MMA pay-per-view watch party with cigars and whiskey,182,182,89,0.489010989010989,0.489010989010989
55,Hollywood club crawl on Sunset Strip,180,179,96,0.5363128491620112,0.5333333333333333
56,Cigar-and-whiskey afternoon at a Beverly Hills lounge,195,195,101,0.517948717948718,0.517948717948718
57,Bottle service at a Hollywood nightclub,198,198,101,0.51010101010101,0.51010101010101
