activity_ix,activity,n_appearances,n_decisive_appearances,n_picked,selection_rate,selection_rate_incl_refusals
0,Summit Mount Baldy,193,183,54,0.29508196721311475,0.27979274611398963
1,Hike Sandstone Peak in the Santa Monicas,190,186,123,0.6612903225806451,0.6473684210526316
2,Pickup basketball at the Venice Beach courts,201,196,133,0.6785714285714286,0.6616915422885572
3,Visit LACMA,220,215,94,0.4372093023255814,0.42727272727272725
4,LAFC game at BMO Stadium,195,191,158,0.8272251308900523,0.8102564102564103
5,Rams game at SoFi Stadium,224,218,156,0.7155963302752294,0.6964285714285714
6,Korean BBQ feast in K-town,192,187,162,0.8663101604278075,0.84375
7,Whale watching out of Long Beach,183,175,126,0.72,0.6885245901639344
8,Joshua Tree day trip,193,179,89,0.4972067039106145,0.46113989637305697
9,Big Bear day trip,187,176,73,0.4147727272727273,0.39037433155080214
10,Drive PCH up to Malibu,201,197,147,0.7461928934010152,0.7313432835820896
11,Bowling at Lucky Strike Hollywood,199,196,106,0.5408163265306123,0.5326633165829145
12,Brewery hop through the Arts District,218,210,158,0.7523809523809524,0.7247706422018348
13,Rose Bowl Flea Market in Pasadena,216,204,118,0.5784313725490197,0.5462962962962963
14,Drive-in movie at the Vineland,202,191,116,0.6073298429319371,0.5742574257425742
15,Comedy show at the Comedy Store,204,194,151,0.7783505154639175,0.7401960784313726
16,UCB improv show in Hollywood,207,203,134,0.6600985221674877,0.6473429951690821
17,Tide pooling at Abalone Cove in Palos Verdes,194,190,139,0.7315789473684211,0.7164948453608248
18,Visit the La Brea Tar Pits,212,207,133,0.642512077294686,0.6273584905660378
19,Sunset drive up Mulholland,209,200,136,0.68,0.6507177033492823
20,Sunset at El Matador Beach,200,194,146,0.7525773195876289,0.73
21,Snorkel at Leo Carrillo State Beach,200,194,117,0.6030927835051546,0.585
22,Pier fishing at the Santa Monica Pier,217,209,92,0.44019138755980863,0.423963133640553
23,Hike Bridge to Nowhere in the San Gabriels,204,195,119,0.6102564102564103,0.5833333333333334
24,Topanga State Park hike,214,208,125,0.6009615384615384,0.5841121495327103
25,Trail run through Eaton Canyon,204,199,105,0.5276381909547738,0.5147058823529411
26,Sturtevant Falls hike in Sierra Madre,199,79,14,0.17721518987341772,0.07035175879396985
27,Hike Temescal Canyon,190,181,130,0.7182320441988951,0.6842105263157895
28,Clippers game at the Intuit Dome,183,179,153,0.8547486033519553,0.8360655737704918
29,Angels game at Angel Stadium,211,204,113,0.553921568627451,0.5355450236966824
30,UCLA basketball at Pauley Pavilion,213,201,131,0.6517412935323383,0.6150234741784038
31,Mini-golf in Old Pasadena,209,203,121,0.5960591133004927,0.5789473684210527
32,Sawtelle ramen crawl on the Westside,189,183,158,0.8633879781420765,0.8359788359788359
33,Thai Town dinner crawl,205,201,184,0.9154228855721394,0.8975609756097561
34,Olvera Street tacos and walking tour,197,188,146,0.776595744680851,0.7411167512690355
35,Petersen Automotive Museum on Wilshire,217,208,129,0.6201923076923077,0.5944700460829493
36,California Science Center to see the Endeavour,157,94,43,0.4574468085106383,0.27388535031847133
37,The Huntington gardens in San Marino,210,203,140,0.6896551724137931,0.6666666666666666
38,Griffith Observatory at night,177,170,127,0.7470588235294118,0.7175141242937854
39,Day trip up to Santa Barbara,207,200,124,0.62,0.5990338164251208
40,Bottomless brunch in West Hollywood,192,187,125,0.6684491978609626,0.6510416666666666
41,Wine tasting in Malibu,200,196,129,0.6581632653061225,0.645
42,Bar crawl on Abbot Kinney in Venice,218,213,130,0.6103286384976526,0.5963302752293578
43,Cannabis tasting at a licensed West Hollywood consumption lounge,213,206,111,0.5388349514563107,0.5211267605633803
44,Poker night at the Bicycle Casino in Bell Gardens,187,179,99,0.553072625698324,0.5294117647058824
45,Day at Hollywood Park Casino,220,215,89,0.413953488372093,0.40454545454545454
46,Betting on horses at Santa Anita,202,196,111,0.5663265306122449,0.5495049504950495
47,Paintball day in Sun Valley,181,176,101,0.5738636363636364,0.5580110497237569
48,Airsoft battle at Tac City in Fullerton,204,196,134,0.6836734693877551,0.6568627450980392
49,Off-road OHV day in Hungry Valley,216,213,148,0.6948356807511737,0.6851851851851852
50,Race car experience at Willow Springs,194,189,156,0.8253968253968254,0.8041237113402062
51,Cliff jumping at Malibu's coves,197,171,26,0.15204678362573099,0.1319796954314721
52,Sport fishing for tuna out of San Pedro,208,198,130,0.6565656565656566,0.625
53,Spearfishing trip at Catalina,195,188,149,0.7925531914893617,0.764102564102564
54,MMA pay-per-view watch party with cigars and whiskey,182,178,80,0.449438202247191,0.43956043956043955
55,Hollywood club crawl on Sunset Strip,180,174,70,0.40229885057471265,0.3888888888888889
56,Cigar-and-whiskey afternoon at a Beverly Hills lounge,195,190,81,0.4263157894736842,0.4153846153846154
57,Bottle service at a Hollywood nightclub,198,192,55,0.2864583333333333,0.2777777777777778
58,Sunday service at a Calvary Chapel megachurch,200,198,43,0.21717171717171718,0.215
59,Tour the Reagan Presidential Library,190,186,43,0.23118279569892472,0.22631578947368422
60,Tour the Nixon Presidential Library,190,187,46,0.24598930481283424,0.24210526315789474
61,Skydiving over Perris,179,172,120,0.6976744186046512,0.6703910614525139
62,Lambo rental for a Mulholland canyon run,158,151,89,0.5894039735099338,0.5632911392405063
63,Drive down to Tijuana for tacos and clubbing,210,198,50,0.25252525252525254,0.23809523809523808
64,Tour Forest Lawn for celebrity graves,211,202,98,0.48514851485148514,0.46445497630331756
65,Manson-murders true-crime walking tour of Beverly Hills,188,184,38,0.20652173913043478,0.20212765957446807
66,Boxing sparring class at a Wild Card-style gym,206,201,98,0.48756218905472637,0.47572815533980584
67,Day-drinking on a Marina del Rey booze cruise,186,178,129,0.7247191011235955,0.6935483870967742
68,Craps night at the Hustler Casino in Gardena,201,193,87,0.45077720207253885,0.43283582089552236
69,Pole-dancing fitness class for the bachelor party,191,187,178,0.9518716577540107,0.9319371727748691
70,Hunting deer in the San Gabriel Mountains,206,71,7,0.09859154929577464,0.03398058252427184
71,Hunting a at a ranch near Tejon,207,200,46,0.23,0.2222222222222222
72,Coyote hunting in the Antelope Valley,203,200,18,0.09,0.08866995073891626
73,Dove hunting opening day in the Imperial Valley,236,234,61,0.2606837606837607,0.2584745762711864
