activity_ix,activity,n_appearances,n_decisive_appearances,n_picked,selection_rate,selection_rate_incl_refusals
0,Summit Mount Baldy,193,190,91,0.4789473684210526,0.47150259067357514
1,Hike Sandstone Peak in the Santa Monicas,190,186,108,0.5806451612903226,0.5684210526315789
2,Pickup basketball at the Venice Beach courts,201,197,109,0.5532994923857868,0.5422885572139303
3,Visit LACMA,220,216,121,0.5601851851851852,0.55
4,LAFC game at BMO Stadium,195,195,110,0.5641025641025641,0.5641025641025641
5,Rams game at SoFi Stadium,224,223,122,0.547085201793722,0.5446428571428571
6,Korean BBQ feast in K-town,192,188,102,0.5425531914893617,0.53125
7,Whale watching out of Long Beach,183,181,102,0.56353591160221,0.5573770491803278
8,Joshua Tree day trip,193,189,113,0.5978835978835979,0.5854922279792746
9,Big Bear day trip,187,183,98,0.5355191256830601,0.5240641711229946
10,Drive PCH up to Malibu,201,199,105,0.5276381909547738,0.5223880597014925
11,Bowling at Lucky Strike Hollywood,199,198,112,0.5656565656565656,0.5628140703517588
12,Brewery hop through the Arts District,218,217,122,0.5622119815668203,0.5596330275229358
13,Rose Bowl Flea Market in Pasadena,216,213,127,0.596244131455399,0.5879629629629629
14,Drive-in movie at the Vineland,202,199,118,0.592964824120603,0.5841584158415841
15,Comedy show at the Comedy Store,204,203,105,0.5172413793103449,0.5147058823529411
16,UCB improv show in Hollywood,207,203,115,0.5665024630541872,0.5555555555555556
17,Tide pooling at Abalone Cove in Palos Verdes,194,191,105,0.5497382198952879,0.5412371134020618
18,Visit the La Brea Tar Pits,212,211,117,0.5545023696682464,0.5518867924528302
19,Sunset drive up Mulholland,209,203,122,0.6009852216748769,0.583732057416268
20,Sunset at El Matador Beach,200,197,104,0.5279187817258884,0.52
21,Snorkel at Leo Carrillo State Beach,200,199,95,0.47738693467336685,0.475
22,Pier fishing at the Santa Monica Pier,217,215,124,0.5767441860465117,0.5714285714285714
23,Hike Bridge to Nowhere in the San Gabriels,204,198,103,0.5202020202020202,0.5049019607843137
24,Topanga State Park hike,214,212,119,0.5613207547169812,0.5560747663551402
25,Trail run through Eaton Canyon,204,201,106,0.527363184079602,0.5196078431372549
26,Sturtevant Falls hike in Sierra Madre,199,189,87,0.4603174603174603,0.4371859296482412
27,Hike Temescal Canyon,190,188,105,0.5585106382978723,0.5526315789473685
28,Clippers game at the Intuit Dome,183,183,103,0.5628415300546448,0.5628415300546448
29,Angels game at Angel Stadium,211,210,117,0.5571428571428572,0.5545023696682464
30,UCLA basketball at Pauley Pavilion,213,213,132,0.6197183098591549,0.6197183098591549
31,Mini-golf in Old Pasadena,209,206,104,0.5048543689320388,0.49760765550239233
32,Sawtelle ramen crawl on the Westside,189,189,111,0.5873015873015873,0.5873015873015873
33,Thai Town dinner crawl,205,202,122,0.6039603960396039,0.5951219512195122
34,Olvera Street tacos and walking tour,197,195,108,0.5538461538461539,0.5482233502538071
35,Petersen Automotive Museum on Wilshire,217,213,105,0.49295774647887325,0.4838709677419355
36,California Science Center to see the Endeavour,157,151,81,0.5364238410596026,0.5159235668789809
37,The Huntington gardens in San Marino,210,207,117,0.5652173913043478,0.5571428571428572
