activity_ix,activity,n_appearances,n_decisive_appearances,n_picked,selection_rate,selection_rate_incl_refusals
0,Summit Mount Baldy,59,59,25,0.423728813559322,0.423728813559322
1,Hike Sandstone Peak in the Santa Monicas,42,42,20,0.47619047619047616,0.47619047619047616
2,Pickup basketball at the Venice Beach courts,38,38,22,0.5789473684210527,0.5789473684210527
3,Visit LACMA,50,50,27,0.54,0.54
4,LAFC game at BMO Stadium,54,54,27,0.5,0.5
5,Rams game at SoFi Stadium,55,53,24,0.4528301886792453,0.43636363636363634
6,Korean BBQ feast in K-town,43,43,22,0.5116279069767442,0.5116279069767442
7,Whale watching out of Long Beach,43,40,19,0.475,0.4418604651162791
8,Joshua Tree day trip,58,56,28,0.5,0.4827586206896552
9,Big Bear day trip,29,28,14,0.5,0.4827586206896552
10,Drive PCH up to Malibu,63,62,25,0.4032258064516129,0.3968253968253968
11,Bowling at Lucky Strike Hollywood,50,49,21,0.42857142857142855,0.42
12,Brewery hop through the Arts District,58,58,32,0.5517241379310345,0.5517241379310345
13,Rose Bowl Flea Market in Pasadena,57,56,28,0.5,0.49122807017543857
14,Drive-in movie at the Vineland,47,46,22,0.4782608695652174,0.46808510638297873
15,Comedy show at the Comedy Store,43,43,18,0.4186046511627907,0.4186046511627907
16,UCB improv show in Hollywood,54,53,29,0.5471698113207547,0.5370370370370371
17,Tide pooling at Abalone Cove in Palos Verdes,53,53,29,0.5471698113207547,0.5471698113207547
18,Visit the La Brea Tar Pits,48,48,23,0.4791666666666667,0.4791666666666667
19,Sunset drive up Mulholland,58,55,29,0.5272727272727272,0.5
20,Sunset at El Matador Beach,51,51,24,0.47058823529411764,0.47058823529411764
21,Snorkel at Leo Carrillo State Beach,41,41,15,0.36585365853658536,0.36585365853658536
22,Pier fishing at the Santa Monica Pier,54,54,27,0.5,0.5
23,Hike Bridge to Nowhere in the San Gabriels,48,47,19,0.40425531914893614,0.3958333333333333
24,Topanga State Park hike,49,48,24,0.5,0.4897959183673469
25,Trail run through Eaton Canyon,54,53,20,0.37735849056603776,0.37037037037037035
26,Sturtevant Falls hike in Sierra Madre,51,50,24,0.48,0.47058823529411764
27,Hike Temescal Canyon,43,43,25,0.5813953488372093,0.5813953488372093
28,Clippers game at the Intuit Dome,45,44,23,0.5227272727272727,0.5111111111111111
29,Angels game at Angel Stadium,52,50,23,0.46,0.4423076923076923
30,UCLA basketball at Pauley Pavilion,55,54,34,0.6296296296296297,0.6181818181818182
31,Mini-golf in Old Pasadena,49,47,22,0.46808510638297873,0.4489795918367347
32,Sawtelle ramen crawl on the Westside,57,55,30,0.5454545454545454,0.5263157894736842
33,Thai Town dinner crawl,58,58,23,0.39655172413793105,0.39655172413793105
34,Olvera Street tacos and walking tour,49,48,26,0.5416666666666666,0.5306122448979592
35,Petersen Automotive Museum on Wilshire,46,46,22,0.4782608695652174,0.4782608695652174
36,California Science Center to see the Endeavour,31,31,14,0.45161290322580644,0.45161290322580644
37,The Huntington gardens in San Marino,50,50,25,0.5,0.5
38,Griffith Observatory at night,45,45,23,0.5111111111111111,0.5111111111111111
39,Day trip up to Santa Barbara,60,57,25,0.43859649122807015,0.4166666666666667
40,Bottomless brunch in West Hollywood,51,48,32,0.6666666666666666,0.6274509803921569
41,Wine tasting in Malibu,49,48,26,0.5416666666666666,0.5306122448979592
42,Bar crawl on Abbot Kinney in Venice,62,61,31,0.5081967213114754,0.5
43,Cannabis tasting at a licensed West Hollywood consumption lounge,61,61,29,0.47540983606557374,0.47540983606557374
44,Poker night at the Bicycle Casino in Bell Gardens,54,54,24,0.4444444444444444,0.4444444444444444
45,Day at Hollywood Park Casino,58,58,19,0.3275862068965517,0.3275862068965517
46,Betting on horses at Santa Anita,50,50,23,0.46,0.46
47,Paintball day in Sun Valley,45,45,21,0.4666666666666667,0.4666666666666667
48,Airsoft battle at Tac City in Fullerton,57,57,32,0.5614035087719298,0.5614035087719298
49,Off-road OHV day in Hungry Valley,55,55,19,0.34545454545454546,0.34545454545454546
