activity_ix,activity,n_appearances,n_decisive_appearances,n_picked,selection_rate,selection_rate_incl_refusals
0,Summit Mount Baldy,59,57,27,0.47368421052631576,0.4576271186440678
1,Hike Sandstone Peak in the Santa Monicas,42,41,25,0.6097560975609756,0.5952380952380952
2,Pickup basketball at the Venice Beach courts,38,37,23,0.6216216216216216,0.6052631578947368
3,Visit LACMA,50,50,29,0.58,0.58
4,LAFC game at BMO Stadium,54,53,30,0.5660377358490566,0.5555555555555556
5,Rams game at SoFi Stadium,55,52,26,0.5,0.4727272727272727
6,Korean BBQ feast in K-town,43,41,25,0.6097560975609756,0.5813953488372093
7,Whale watching out of Long Beach,43,40,22,0.55,0.5116279069767442
8,Joshua Tree day trip,58,54,25,0.46296296296296297,0.43103448275862066
9,Big Bear day trip,29,27,14,0.5185185185185185,0.4827586206896552
10,Drive PCH up to Malibu,63,60,35,0.5833333333333334,0.5555555555555556
11,Bowling at Lucky Strike Hollywood,50,46,20,0.43478260869565216,0.4
12,Brewery hop through the Arts District,58,58,33,0.5689655172413793,0.5689655172413793
13,Rose Bowl Flea Market in Pasadena,57,55,30,0.5454545454545454,0.5263157894736842
14,Drive-in movie at the Vineland,47,46,25,0.5434782608695652,0.5319148936170213
15,Comedy show at the Comedy Store,43,43,25,0.5813953488372093,0.5813953488372093
16,UCB improv show in Hollywood,54,53,25,0.4716981132075472,0.46296296296296297
17,Tide pooling at Abalone Cove in Palos Verdes,53,50,25,0.5,0.4716981132075472
18,Visit the La Brea Tar Pits,48,48,27,0.5625,0.5625
19,Sunset drive up Mulholland,58,55,30,0.5454545454545454,0.5172413793103449
20,Sunset at El Matador Beach,51,49,26,0.5306122448979592,0.5098039215686274
21,Snorkel at Leo Carrillo State Beach,41,40,22,0.55,0.5365853658536586
22,Pier fishing at the Santa Monica Pier,54,52,28,0.5384615384615384,0.5185185185185185
23,Hike Bridge to Nowhere in the San Gabriels,48,44,30,0.6818181818181818,0.625
24,Topanga State Park hike,49,48,27,0.5625,0.5510204081632653
25,Trail run through Eaton Canyon,54,53,27,0.5094339622641509,0.5
26,Sturtevant Falls hike in Sierra Madre,51,48,25,0.5208333333333334,0.49019607843137253
27,Hike Temescal Canyon,43,42,24,0.5714285714285714,0.5581395348837209
