activity_ix,activity,n_outputs,n_parsed,mean_score,median_score,min_score,max_score
0,Summit Mount Baldy,20,20,62.0,66.5,28,74
1,Hike Sandstone Peak in the Santa Monicas,20,20,76.2,78.0,72,84
2,Pickup basketball at the Venice Beach courts,20,20,56.85,63.0,12,78
3,Visit LACMA,20,20,73.1,72.0,62,84
4,LAFC game at BMO Stadium,20,20,66.0,68.0,45,78
5,Rams game at SoFi Stadium,20,20,51.75,57.5,23,72
6,Korean BBQ feast in K-town,20,20,81.5,84.0,68,88
7,Whale watching out of Long Beach,20,20,72.9,72.0,68,84
8,Joshua Tree day trip,20,20,76.45,78.0,72,82
9,Big Bear day trip,20,20,71.15,72.0,62,78
10,Drive PCH up to Malibu,20,20,75.25,77.0,62,84
11,Bowling at Lucky Strike Hollywood,20,20,62.4,62.5,40,72
12,Brewery hop through the Arts District,20,20,54.6,62.0,22,74
13,Rose Bowl Flea Market in Pasadena,20,20,67.1,67.5,58,72
14,Drive-in movie at the Vineland,20,20,71.1,72.0,62,78
15,Comedy show at the Comedy Store,20,20,74.9,78.0,65,82
16,UCB improv show in Hollywood,20,20,71.9,73.0,58,82
17,Tide pooling at Abalone Cove in Palos Verdes,20,20,75.4,75.0,67,84
18,Visit the La Brea Tar Pits,20,20,73.35,72.0,65,78
19,Sunset drive up Mulholland,20,20,78.1,78.0,72,84
20,Sunset at El Matador Beach,20,20,82.15,83.0,72,88
21,Snorkel at Leo Carrillo State Beach,20,20,65.4,70.0,15,78
22,Pier fishing at the Santa Monica Pier,20,20,44.3,42.0,30,58
23,Hike Bridge to Nowhere in the San Gabriels,20,20,69.25,70.0,55,78
24,Topanga State Park hike,20,20,76.2,78.0,68,86
25,Trail run through Eaton Canyon,20,20,63.45,68.0,35,74
26,Sturtevant Falls hike in Sierra Madre,20,20,74.85,78.0,65,82
27,Hike Temescal Canyon,20,20,72.3,72.0,61,79
28,Clippers game at the Intuit Dome,20,20,55.35,56.0,34,72
