activity_ix,activity,n_appearances,n_decisive_appearances,n_picked,selection_rate,selection_rate_incl_refusals
0,Summit Mount Baldy,193,193,98,0.5077720207253886,0.5077720207253886
1,Hike Sandstone Peak in the Santa Monicas,190,190,101,0.531578947368421,0.531578947368421
2,Pickup basketball at the Venice Beach courts,201,201,97,0.48258706467661694,0.48258706467661694
3,Visit LACMA,220,219,101,0.4611872146118721,0.4590909090909091
4,LAFC game at BMO Stadium,195,195,98,0.5025641025641026,0.5025641025641026
5,Rams game at SoFi Stadium,224,224,118,0.5267857142857143,0.5267857142857143
6,Korean BBQ feast in K-town,192,192,95,0.4947916666666667,0.4947916666666667
7,Whale watching out of Long Beach,183,183,101,0.5519125683060109,0.5519125683060109
8,Joshua Tree day trip,193,190,81,0.4263157894736842,0.41968911917098445
9,Big Bear day trip,187,187,94,0.5026737967914439,0.5026737967914439
10,Drive PCH up to Malibu,201,200,102,0.51,0.5074626865671642
11,Bowling at Lucky Strike Hollywood,199,199,95,0.47738693467336685,0.47738693467336685
12,Brewery hop through the Arts District,218,218,119,0.5458715596330275,0.5458715596330275
13,Rose Bowl Flea Market in Pasadena,216,216,106,0.49074074074074076,0.49074074074074076
14,Drive-in movie at the Vineland,202,202,102,0.504950495049505,0.504950495049505
15,Comedy show at the Comedy Store,204,203,104,0.5123152709359606,0.5098039215686274
16,UCB improv show in Hollywood,207,207,100,0.4830917874396135,0.4830917874396135
17,Tide pooling at Abalone Cove in Palos Verdes,194,194,101,0.520618556701031,0.520618556701031
18,Visit the La Brea Tar Pits,212,212,96,0.4528301886792453,0.4528301886792453
19,Sunset drive up Mulholland,209,208,107,0.5144230769230769,0.5119617224880383
20,Sunset at El Matador Beach,200,199,91,0.457286432160804,0.455
21,Snorkel at Leo Carrillo State Beach,200,200,111,0.555,0.555
22,Pier fishing at the Santa Monica Pier,217,217,119,0.5483870967741935,0.5483870967741935
23,Hike Bridge to Nowhere in the San Gabriels,204,204,103,0.5049019607843137,0.5049019607843137
24,Topanga State Park hike,214,214,105,0.49065420560747663,0.49065420560747663
25,Trail run through Eaton Canyon,204,203,94,0.4630541871921182,0.46078431372549017
26,Sturtevant Falls hike in Sierra Madre,199,198,94,0.47474747474747475,0.4723618090452261
27,Hike Temescal Canyon,190,190,97,0.5105263157894737,0.5105263157894737
28,Clippers game at the Intuit Dome,183,183,99,0.5409836065573771,0.5409836065573771
29,Angels game at Angel Stadium,211,211,102,0.4834123222748815,0.4834123222748815
30,UCLA basketball at Pauley Pavilion,213,213,102,0.4788732394366197,0.4788732394366197
31,Mini-golf in Old Pasadena,209,208,107,0.5144230769230769,0.5119617224880383
32,Sawtelle ramen crawl on the Westside,189,189,96,0.5079365079365079,0.5079365079365079
33,Thai Town dinner crawl,205,204,102,0.5,0.4975609756097561
34,Olvera Street tacos and walking tour,197,197,99,0.5025380710659898,0.5025380710659898
35,Petersen Automotive Museum on Wilshire,217,217,106,0.48847926267281105,0.48847926267281105
36,California Science Center to see the Endeavour,157,157,75,0.47770700636942676,0.47770700636942676
37,The Huntington gardens in San Marino,210,210,112,0.5333333333333333,0.5333333333333333
38,Griffith Observatory at night,177,176,87,0.4943181818181818,0.4915254237288136
39,Day trip up to Santa Barbara,207,207,99,0.4782608695652174,0.4782608695652174
40,Bottomless brunch in West Hollywood,192,192,94,0.4895833333333333,0.4895833333333333
41,Wine tasting in Malibu,200,199,108,0.542713567839196,0.54
42,Bar crawl on Abbot Kinney in Venice,218,217,105,0.4838709677419355,0.481651376146789
43,Cannabis tasting at a licensed West Hollywood consumption lounge,213,213,98,0.460093896713615,0.460093896713615
44,Poker night at the Bicycle Casino in Bell Gardens,187,186,92,0.4946236559139785,0.4919786096256685
45,Day at Hollywood Park Casino,220,220,102,0.4636363636363636,0.4636363636363636
46,Betting on horses at Santa Anita,202,202,105,0.5198019801980198,0.5198019801980198
47,Paintball day in Sun Valley,181,181,90,0.4972375690607735,0.4972375690607735
48,Airsoft battle at Tac City in Fullerton,204,204,107,0.5245098039215687,0.5245098039215687
49,Off-road OHV day in Hungry Valley,216,216,114,0.5277777777777778,0.5277777777777778
50,Race car experience at Willow Springs,194,194,93,0.4793814432989691,0.4793814432989691
51,Cliff jumping at Malibu's coves,197,195,98,0.5025641025641026,0.49746192893401014
52,Sport fishing for tuna out of San Pedro,208,208,109,0.5240384615384616,0.5240384615384616
53,Spearfishing trip at Catalina,195,194,100,0.5154639175257731,0.5128205128205128
54,MMA pay-per-view watch party with cigars and whiskey,182,182,94,0.5164835164835165,0.5164835164835165
55,Hollywood club crawl on Sunset Strip,180,180,88,0.4888888888888889,0.4888888888888889
56,Cigar-and-whiskey afternoon at a Beverly Hills lounge,195,194,94,0.4845360824742268,0.48205128205128206
