activity_ix,activity,n_appearances,n_decisive_appearances,n_picked,selection_rate,selection_rate_incl_refusals
0,Summit Mount Baldy,193,193,126,0.6528497409326425,0.6528497409326425
1,Hike Sandstone Peak in the Santa Monicas,190,190,129,0.6789473684210526,0.6789473684210526
2,Pickup basketball at the Venice Beach courts,201,201,142,0.7064676616915423,0.7064676616915423
3,Visit LACMA,220,220,134,0.6090909090909091,0.6090909090909091
4,LAFC game at BMO Stadium,195,195,142,0.7282051282051282,0.7282051282051282
5,Rams game at SoFi Stadium,224,224,148,0.6607142857142857,0.6607142857142857
6,Korean BBQ feast in K-town,192,192,129,0.671875,0.671875
7,Whale watching out of Long Beach,183,183,145,0.7923497267759563,0.7923497267759563
8,Joshua Tree day trip,193,192,143,0.7447916666666666,0.7409326424870466
9,Big Bear day trip,187,186,121,0.6505376344086021,0.6470588235294118
10,Drive PCH up to Malibu,201,201,136,0.6766169154228856,0.6766169154228856
11,Bowling at Lucky Strike Hollywood,199,199,112,0.5628140703517588,0.5628140703517588
12,Brewery hop through the Arts District,218,217,134,0.6175115207373272,0.6146788990825688
13,Rose Bowl Flea Market in Pasadena,216,216,166,0.7685185185185185,0.7685185185185185
14,Drive-in movie at the Vineland,202,201,122,0.6069651741293532,0.6039603960396039
15,Comedy show at the Comedy Store,204,204,142,0.696078431372549,0.696078431372549
16,UCB improv show in Hollywood,207,207,132,0.6376811594202898,0.6376811594202898
17,Tide pooling at Abalone Cove in Palos Verdes,194,194,136,0.7010309278350515,0.7010309278350515
18,Visit the La Brea Tar Pits,212,212,132,0.6226415094339622,0.6226415094339622
19,Sunset drive up Mulholland,209,208,141,0.6778846153846154,0.6746411483253588
20,Sunset at El Matador Beach,200,200,146,0.73,0.73
21,Snorkel at Leo Carrillo State Beach,200,199,122,0.6130653266331658,0.61
22,Pier fishing at the Santa Monica Pier,217,217,128,0.5898617511520737,0.5898617511520737
23,Hike Bridge to Nowhere in the San Gabriels,204,204,124,0.6078431372549019,0.6078431372549019
24,Topanga State Park hike,214,212,142,0.6698113207547169,0.6635514018691588
25,Trail run through Eaton Canyon,204,204,124,0.6078431372549019,0.6078431372549019
26,Sturtevant Falls hike in Sierra Madre,199,199,133,0.6683417085427136,0.6683417085427136
27,Hike Temescal Canyon,190,190,130,0.6842105263157895,0.6842105263157895
28,Clippers game at the Intuit Dome,183,183,119,0.6502732240437158,0.6502732240437158
29,Angels game at Angel Stadium,211,211,108,0.5118483412322274,0.5118483412322274
30,UCLA basketball at Pauley Pavilion,213,213,134,0.6291079812206573,0.6291079812206573
31,Mini-golf in Old Pasadena,209,209,121,0.5789473684210527,0.5789473684210527
32,Sawtelle ramen crawl on the Westside,189,188,128,0.6808510638297872,0.6772486772486772
33,Thai Town dinner crawl,205,205,156,0.7609756097560976,0.7609756097560976
34,Olvera Street tacos and walking tour,197,197,132,0.6700507614213198,0.6700507614213198
35,Petersen Automotive Museum on Wilshire,217,216,138,0.6388888888888888,0.6359447004608295
36,California Science Center to see the Endeavour,157,157,112,0.7133757961783439,0.7133757961783439
37,The Huntington gardens in San Marino,210,210,156,0.7428571428571429,0.7428571428571429
38,Griffith Observatory at night,177,177,149,0.8418079096045198,0.8418079096045198
39,Day trip up to Santa Barbara,207,206,148,0.7184466019417476,0.714975845410628
40,Bottomless brunch in West Hollywood,192,192,112,0.5833333333333334,0.5833333333333334
41,Wine tasting in Malibu,200,200,129,0.645,0.645
42,Bar crawl on Abbot Kinney in Venice,218,218,133,0.6100917431192661,0.6100917431192661
43,Cannabis tasting at a licensed West Hollywood consumption lounge,213,213,111,0.5211267605633803,0.5211267605633803
44,Poker night at the Bicycle Casino in Bell Gardens,187,186,102,0.5483870967741935,0.5454545454545454
45,Day at Hollywood Park Casino,220,220,86,0.39090909090909093,0.39090909090909093
46,Betting on horses at Santa Anita,202,202,109,0.5396039603960396,0.5396039603960396
47,Paintball day in Sun Valley,181,181,99,0.5469613259668509,0.5469613259668509
48,Airsoft battle at Tac City in Fullerton,204,204,133,0.6519607843137255,0.6519607843137255
49,Off-road OHV day in Hungry Valley,216,216,127,0.5879629629629629,0.5879629629629629
50,Race car experience at Willow Springs,194,194,125,0.6443298969072165,0.6443298969072165
51,Cliff jumping at Malibu's coves,197,197,44,0.2233502538071066,0.2233502538071066
52,Sport fishing for tuna out of San Pedro,208,208,144,0.6923076923076923,0.6923076923076923
53,Spearfishing trip at Catalina,195,195,121,0.6205128205128205,0.6205128205128205
54,MMA pay-per-view watch party with cigars and whiskey,182,182,87,0.47802197802197804,0.47802197802197804
55,Hollywood club crawl on Sunset Strip,180,180,65,0.3611111111111111,0.3611111111111111
56,Cigar-and-whiskey afternoon at a Beverly Hills lounge,195,195,77,0.39487179487179486,0.39487179487179486
57,Bottle service at a Hollywood nightclub,198,198,50,0.25252525252525254,0.25252525252525254
58,Sunday service at a Calvary Chapel megachurch,200,200,56,0.28,0.28
59,Tour the Reagan Presidential Library,190,189,99,0.5238095238095238,0.5210526315789473
60,Tour the Nixon Presidential Library,190,189,85,0.4497354497354497,0.4473684210526316
61,Skydiving over Perris,179,179,116,0.6480446927374302,0.6480446927374302
62,Lambo rental for a Mulholland canyon run,158,158,89,0.5632911392405063,0.5632911392405063
