activity_ix,activity,n_appearances,n_decisive_appearances,n_picked,selection_rate,selection_rate_incl_refusals
0,Summit Mount Baldy,193,193,116,0.6010362694300518,0.6010362694300518
1,Hike Sandstone Peak in the Santa Monicas,190,190,122,0.6421052631578947,0.6421052631578947
2,Pickup basketball at the Venice Beach courts,201,201,122,0.6069651741293532,0.6069651741293532
3,Visit LACMA,220,220,122,0.5545454545454546,0.5545454545454546
4,LAFC game at BMO Stadium,195,195,116,0.5948717948717949,0.5948717948717949
5,Rams game at SoFi Stadium,224,224,133,0.59375,0.59375
6,Korean BBQ feast in K-town,192,192,118,0.6145833333333334,0.6145833333333334
7,Whale watching out of Long Beach,183,183,119,0.6502732240437158,0.6502732240437158
8,Joshua Tree day trip,193,192,122,0.6354166666666666,0.6321243523316062
9,Big Bear day trip,187,187,107,0.5721925133689839,0.5721925133689839
10,Drive PCH up to Malibu,201,201,122,0.6069651741293532,0.6069651741293532
11,Bowling at Lucky Strike Hollywood,199,199,114,0.5728643216080402,0.5728643216080402
12,Brewery hop through the Arts District,218,218,130,0.5963302752293578,0.5963302752293578
13,Rose Bowl Flea Market in Pasadena,216,216,126,0.5833333333333334,0.5833333333333334
14,Drive-in movie at the Vineland,202,202,120,0.594059405940594,0.594059405940594
15,Comedy show at the Comedy Store,204,204,122,0.5980392156862745,0.5980392156862745
16,UCB improv show in Hollywood,207,206,114,0.5533980582524272,0.5507246376811594
17,Tide pooling at Abalone Cove in Palos Verdes,194,193,113,0.5854922279792746,0.5824742268041238
18,Visit the La Brea Tar Pits,212,212,128,0.6037735849056604,0.6037735849056604
19,Sunset drive up Mulholland,209,208,131,0.6298076923076923,0.6267942583732058
20,Sunset at El Matador Beach,200,198,122,0.6161616161616161,0.61
21,Snorkel at Leo Carrillo State Beach,200,199,100,0.5025125628140703,0.5
22,Pier fishing at the Santa Monica Pier,217,216,127,0.5879629629629629,0.5852534562211982
23,Hike Bridge to Nowhere in the San Gabriels,204,204,114,0.5588235294117647,0.5588235294117647
24,Topanga State Park hike,214,214,129,0.602803738317757,0.602803738317757
25,Trail run through Eaton Canyon,204,204,113,0.553921568627451,0.553921568627451
26,Sturtevant Falls hike in Sierra Madre,199,199,110,0.5527638190954773,0.5527638190954773
27,Hike Temescal Canyon,190,190,113,0.5947368421052631,0.5947368421052631
28,Clippers game at the Intuit Dome,183,182,107,0.5879120879120879,0.5846994535519126
29,Angels game at Angel Stadium,211,211,114,0.5402843601895735,0.5402843601895735
30,UCLA basketball at Pauley Pavilion,213,213,124,0.5821596244131455,0.5821596244131455
31,Mini-golf in Old Pasadena,209,208,119,0.5721153846153846,0.569377990430622
32,Sawtelle ramen crawl on the Westside,189,189,113,0.5978835978835979,0.5978835978835979
33,Thai Town dinner crawl,205,205,132,0.6439024390243903,0.6439024390243903
34,Olvera Street tacos and walking tour,197,196,118,0.6020408163265306,0.5989847715736041
35,Petersen Automotive Museum on Wilshire,217,217,116,0.5345622119815668,0.5345622119815668
36,California Science Center to see the Endeavour,157,157,99,0.6305732484076433,0.6305732484076433
37,The Huntington gardens in San Marino,210,209,128,0.6124401913875598,0.6095238095238096
38,Griffith Observatory at night,177,177,114,0.6440677966101694,0.6440677966101694
39,Day trip up to Santa Barbara,207,206,131,0.6359223300970874,0.6328502415458938
40,Bottomless brunch in West Hollywood,192,192,108,0.5625,0.5625
41,Wine tasting in Malibu,200,200,95,0.475,0.475
42,Bar crawl on Abbot Kinney in Venice,218,217,130,0.5990783410138248,0.5963302752293578
43,Cannabis tasting at a licensed West Hollywood consumption lounge,213,213,119,0.5586854460093896,0.5586854460093896
44,Poker night at the Bicycle Casino in Bell Gardens,187,186,104,0.5591397849462365,0.5561497326203209
45,Day at Hollywood Park Casino,220,219,105,0.4794520547945205,0.4772727272727273
46,Betting on horses at Santa Anita,202,202,101,0.5,0.5
47,Paintball day in Sun Valley,181,181,88,0.4861878453038674,0.4861878453038674
48,Airsoft battle at Tac City in Fullerton,204,204,122,0.5980392156862745,0.5980392156862745
49,Off-road OHV day in Hungry Valley,216,216,128,0.5925925925925926,0.5925925925925926
50,Race car experience at Willow Springs,194,194,110,0.5670103092783505,0.5670103092783505
51,Cliff jumping at Malibu's coves,197,196,59,0.3010204081632653,0.29949238578680204
52,Sport fishing for tuna out of San Pedro,208,208,125,0.6009615384615384,0.6009615384615384
53,Spearfishing trip at Catalina,195,195,105,0.5384615384615384,0.5384615384615384
54,MMA pay-per-view watch party with cigars and whiskey,182,182,86,0.4725274725274725,0.4725274725274725
55,Hollywood club crawl on Sunset Strip,180,180,79,0.4388888888888889,0.4388888888888889
56,Cigar-and-whiskey afternoon at a Beverly Hills lounge,195,195,81,0.4153846153846154,0.4153846153846154
57,Bottle service at a Hollywood nightclub,198,198,79,0.398989898989899,0.398989898989899
58,Sunday service at a Calvary Chapel megachurch,200,200,82,0.41,0.41
59,Tour the Reagan Presidential Library,190,190,100,0.5263157894736842,0.5263157894736842
60,Tour the Nixon Presidential Library,190,190,83,0.4368421052631579,0.4368421052631579
61,Skydiving over Perris,179,179,101,0.5642458100558659,0.5642458100558659
62,Lambo rental for a Mulholland canyon run,158,158,83,0.5253164556962026,0.5253164556962026
63,Drive down to Tijuana for tacos and clubbing,210,210,118,0.5619047619047619,0.5619047619047619
64,Tour Forest Lawn for celebrity graves,211,211,94,0.44549763033175355,0.44549763033175355
65,Manson-murders true-crime walking tour of Beverly Hills,188,188,72,0.3829787234042553,0.3829787234042553
66,Boxing sparring class at a Wild Card-style gym,206,206,111,0.5388349514563107,0.5388349514563107
