activity_ix,activity,n_appearances,n_decisive_appearances,n_picked,selection_rate,selection_rate_incl_refusals
0,Summit Mount Baldy,24,24,16,0.6666666666666666,0.6666666666666666
1,Hike Sandstone Peak in the Santa Monicas,21,21,14,0.6666666666666666,0.6666666666666666
2,Pickup basketball at the Venice Beach courts,19,19,11,0.5789473684210527,0.5789473684210527
3,Visit LACMA,22,21,9,0.42857142857142855,0.4090909090909091
4,LAFC game at BMO Stadium,26,26,12,0.46153846153846156,0.46153846153846156
5,Rams game at SoFi Stadium,24,24,9,0.375,0.375
6,Korean BBQ feast in K-town,19,18,10,0.5555555555555556,0.5263157894736842
7,Whale watching out of Long Beach,13,13,7,0.5384615384615384,0.5384615384615384
8,Joshua Tree day trip,23,23,12,0.5217391304347826,0.5217391304347826
9,Big Bear day trip,9,9,6,0.6666666666666666,0.6666666666666666
10,Drive PCH up to Malibu,31,31,20,0.6451612903225806,0.6451612903225806
11,Bowling at Lucky Strike Hollywood,21,21,11,0.5238095238095238,0.5238095238095238
12,Brewery hop through the Arts District,16,16,8,0.5,0.5
13,Rose Bowl Flea Market in Pasadena,21,21,12,0.5714285714285714,0.5714285714285714
14,Drive-in movie at the Vineland,20,19,10,0.5263157894736842,0.5
15,Comedy show at the Comedy Store,20,20,11,0.55,0.55
16,UCB improv show in Hollywood,20,19,7,0.3684210526315789,0.35
17,Tide pooling at Abalone Cove in Palos Verdes,22,22,10,0.45454545454545453,0.45454545454545453
18,Visit the La Brea Tar Pits,18,18,12,0.6666666666666666,0.6666666666666666
19,Sunset drive up Mulholland,22,22,9,0.4090909090909091,0.4090909090909091
20,Sunset at El Matador Beach,23,23,9,0.391304347826087,0.391304347826087
21,Snorkel at Leo Carrillo State Beach,13,13,7,0.5384615384615384,0.5384615384615384
22,Pier fishing at the Santa Monica Pier,17,17,7,0.4117647058823529,0.4117647058823529
23,Hike Bridge to Nowhere in the San Gabriels,20,20,7,0.35,0.35
24,Topanga State Park hike,23,23,16,0.6956521739130435,0.6956521739130435
25,Trail run through Eaton Canyon,18,18,12,0.6666666666666666,0.6666666666666666
26,Sturtevant Falls hike in Sierra Madre,13,13,5,0.38461538461538464,0.38461538461538464
27,Hike Temescal Canyon,10,10,6,0.6,0.6
28,Clippers game at the Intuit Dome,21,21,13,0.6190476190476191,0.6190476190476191
29,Angels game at Angel Stadium,23,23,9,0.391304347826087,0.391304347826087
30,UCLA basketball at Pauley Pavilion,24,24,16,0.6666666666666666,0.6666666666666666
31,Mini-golf in Old Pasadena,19,19,12,0.631578947368421,0.631578947368421
32,Sawtelle ramen crawl on the Westside,24,24,12,0.5,0.5
33,Thai Town dinner crawl,23,23,12,0.5217391304347826,0.5217391304347826
34,Olvera Street tacos and walking tour,18,18,10,0.5555555555555556,0.5555555555555556
35,Petersen Automotive Museum on Wilshire,16,16,8,0.5,0.5
36,California Science Center to see the Endeavour,10,10,6,0.6,0.6
37,The Huntington gardens in San Marino,20,20,12,0.6,0.6
38,Griffith Observatory at night,17,17,8,0.47058823529411764,0.47058823529411764
39,Day trip up to Santa Barbara,20,20,11,0.55,0.55
40,Bottomless brunch in West Hollywood,21,21,14,0.6666666666666666,0.6666666666666666
41,Wine tasting in Malibu,18,18,9,0.5,0.5
42,Bar crawl on Abbot Kinney in Venice,17,17,13,0.7647058823529411,0.7647058823529411
43,Cannabis tasting at a licensed West Hollywood consumption lounge,25,25,15,0.6,0.6
44,Poker night at the Bicycle Casino in Bell Gardens,23,23,8,0.34782608695652173,0.34782608695652173
45,Day at Hollywood Park Casino,30,30,15,0.5,0.5
46,Betting on horses at Santa Anita,19,19,10,0.5263157894736842,0.5263157894736842
47,Paintball day in Sun Valley,15,15,5,0.3333333333333333,0.3333333333333333
48,Airsoft battle at Tac City in Fullerton,19,19,6,0.3157894736842105,0.3157894736842105
49,Off-road OHV day in Hungry Valley,32,32,18,0.5625,0.5625
50,Race car experience at Willow Springs,18,18,12,0.6666666666666666,0.6666666666666666
51,Cliff jumping at Malibu's coves,18,18,10,0.5555555555555556,0.5555555555555556
52,Sport fishing for tuna out of San Pedro,19,18,12,0.6666666666666666,0.631578947368421
53,Spearfishing trip at Catalina,17,17,8,0.47058823529411764,0.47058823529411764
54,MMA pay-per-view watch party with cigars and whiskey,16,16,9,0.5625,0.5625
55,Hollywood club crawl on Sunset Strip,16,16,5,0.3125,0.3125
56,Cigar-and-whiskey afternoon at a Beverly Hills lounge,21,21,10,0.47619047619047616,0.47619047619047616
57,Bottle service at a Hollywood nightclub,21,21,15,0.7142857142857143,0.7142857142857143
58,Sunday service at a Calvary Chapel megachurch,20,20,8,0.4,0.4
59,Tour the Reagan Presidential Library,14,14,4,0.2857142857142857,0.2857142857142857
60,Tour the Nixon Presidential Library,21,21,9,0.42857142857142855,0.42857142857142855
61,Skydiving over Perris,25,25,16,0.64,0.64
62,Lambo rental for a Mulholland canyon run,14,14,5,0.35714285714285715,0.35714285714285715
63,Drive down to Tijuana for tacos and clubbing,24,24,14,0.5833333333333334,0.5833333333333334
64,Tour Forest Lawn for celebrity graves,16,16,4,0.25,0.25
65,Manson-murders true-crime walking tour of Beverly Hills,24,24,13,0.5416666666666666,0.5416666666666666
66,Boxing sparring class at a Wild Card-style gym,24,24,10,0.4166666666666667,0.4166666666666667
67,Day-drinking on a Marina del Rey booze cruise,20,20,10,0.5,0.5
68,Craps night at the Hustler Casino in Gardena,20,20,9,0.45,0.45
69,Pole-dancing fitness class for the bachelor party,21,21,8,0.38095238095238093,0.38095238095238093
70,Hunting deer in the San Gabriel Mountains,17,17,10,0.5882352941176471,0.5882352941176471
71,Hunting wild boar at a ranch near Tejon,24,24,15,0.625,0.625
72,Coyote hunting in the Antelope Valley,21,21,16,0.7619047619047619,0.7619047619047619
73,Dove hunting opening day in the Imperial Valley,17,17,5,0.29411764705882354,0.29411764705882354
74,Bear hunting in the Los Padres National Forest,25,24,12,0.5,0.48
75,Wild pig hunt at a ranch near Paso Robles,14,14,8,0.5714285714285714,0.5714285714285714
76,Tactical rifle class with AR-15s at Burro Canyon,20,20,7,0.35,0.35
77,Indoor pistol range day at the LA Gun Club,20,20,9,0.45,0.45
78,Trap and skeet shooting at Triple B Clays,25,25,17,0.68,0.68
79,Concealed-carry training day in the high desert,15,15,7,0.4666666666666667,0.4666666666666667
80,Visit a gun show at the Pomona Fairplex,26,26,12,0.46153846153846156,0.46153846153846156
81,Falconry hunting outing in the Antelope Valley,25,25,9,0.36,0.36
82,Slaughterhouse tour and butchery class in Vernon,20,20,7,0.35,0.35
