activity_ix,activity,n_appearances,n_decisive_appearances,n_picked,selection_rate,selection_rate_incl_refusals
0,Summit Mount Baldy,24,24,12,0.5,0.5
1,Hike Sandstone Peak in the Santa Monicas,21,21,14,0.6666666666666666,0.6666666666666666
2,Pickup basketball at the Venice Beach courts,19,19,11,0.5789473684210527,0.5789473684210527
3,Visit LACMA,22,22,13,0.5909090909090909,0.5909090909090909
4,LAFC game at BMO Stadium,26,26,16,0.6153846153846154,0.6153846153846154
5,Rams game at SoFi Stadium,24,24,6,0.25,0.25
6,Korean BBQ feast in K-town,19,19,15,0.7894736842105263,0.7894736842105263
7,Whale watching out of Long Beach,13,13,11,0.8461538461538461,0.8461538461538461
8,Joshua Tree day trip,23,22,12,0.5454545454545454,0.5217391304347826
9,Big Bear day trip,9,9,7,0.7777777777777778,0.7777777777777778
10,Drive PCH up to Malibu,31,31,17,0.5483870967741935,0.5483870967741935
11,Bowling at Lucky Strike Hollywood,21,21,15,0.7142857142857143,0.7142857142857143
12,Brewery hop through the Arts District,16,16,7,0.4375,0.4375
13,Rose Bowl Flea Market in Pasadena,21,21,10,0.47619047619047616,0.47619047619047616
14,Drive-in movie at the Vineland,20,20,7,0.35,0.35
15,Comedy show at the Comedy Store,20,20,13,0.65,0.65
16,UCB improv show in Hollywood,20,20,14,0.7,0.7
17,Tide pooling at Abalone Cove in Palos Verdes,22,22,14,0.6363636363636364,0.6363636363636364
18,Visit the La Brea Tar Pits,18,18,13,0.7222222222222222,0.7222222222222222
19,Sunset drive up Mulholland,22,21,5,0.23809523809523808,0.22727272727272727
20,Sunset at El Matador Beach,23,23,16,0.6956521739130435,0.6956521739130435
21,Snorkel at Leo Carrillo State Beach,13,13,9,0.6923076923076923,0.6923076923076923
22,Pier fishing at the Santa Monica Pier,17,17,10,0.5882352941176471,0.5882352941176471
23,Hike Bridge to Nowhere in the San Gabriels,20,20,13,0.65,0.65
24,Topanga State Park hike,23,23,14,0.6086956521739131,0.6086956521739131
25,Trail run through Eaton Canyon,18,18,9,0.5,0.5
26,Sturtevant Falls hike in Sierra Madre,13,13,7,0.5384615384615384,0.5384615384615384
27,Hike Temescal Canyon,10,10,5,0.5,0.5
28,Clippers game at the Intuit Dome,21,21,18,0.8571428571428571,0.8571428571428571
29,Angels game at Angel Stadium,23,23,11,0.4782608695652174,0.4782608695652174
30,UCLA basketball at Pauley Pavilion,24,24,16,0.6666666666666666,0.6666666666666666
31,Mini-golf in Old Pasadena,19,19,14,0.7368421052631579,0.7368421052631579
32,Sawtelle ramen crawl on the Westside,24,24,10,0.4166666666666667,0.4166666666666667
33,Thai Town dinner crawl,23,23,12,0.5217391304347826,0.5217391304347826
34,Olvera Street tacos and walking tour,18,18,15,0.8333333333333334,0.8333333333333334
35,Petersen Automotive Museum on Wilshire,16,16,8,0.5,0.5
36,California Science Center to see the Endeavour,10,10,3,0.3,0.3
37,The Huntington gardens in San Marino,20,20,12,0.6,0.6
38,Griffith Observatory at night,17,17,14,0.8235294117647058,0.8235294117647058
