activity_ix,activity,n_outputs,n_parsed,mean_score,median_score,min_score,max_score
0,Summit Mount Baldy,20,20,76.15,78.0,50,82
1,Hike Sandstone Peak in the Santa Monicas,20,20,83.75,85.0,78,88
2,Pickup basketball at the Venice Beach courts,20,20,76.3,78.0,50,82
3,Visit LACMA,20,20,84.6,85.0,82,88
4,LAFC game at BMO Stadium,20,20,78.5,78.0,72,82
5,Rams game at SoFi Stadium,20,20,73.65,73.5,65,78
6,Korean BBQ feast in K-town,20,20,86.8,85.0,85,92
7,Whale watching out of Long Beach,20,20,81.95,82.0,78,85
8,Joshua Tree day trip,20,20,83.65,82.0,82,87
9,Big Bear day trip,20,20,79.7,78.0,78,84
10,Drive PCH up to Malibu,20,20,83.6,84.0,78,85
11,Bowling at Lucky Strike Hollywood,20,20,72.25,72.0,50,82
12,Brewery hop through the Arts District,20,20,67.85,72.0,45,78
13,Rose Bowl Flea Market in Pasadena,20,20,77.6,78.0,72,82
14,Drive-in movie at the Vineland,20,20,78.5,78.0,74,82
15,Comedy show at the Comedy Store,20,20,80.0,79.0,78,84
16,UCB improv show in Hollywood,20,20,80.6,82.0,78,84
17,Tide pooling at Abalone Cove in Palos Verdes,20,20,84.55,85.0,82,88
18,Visit the La Brea Tar Pits,20,20,82.4,82.0,78,86
19,Sunset drive up Mulholland,20,20,83.05,82.0,78,86
20,Sunset at El Matador Beach,20,20,89.05,88.0,85,92
21,Snorkel at Leo Carrillo State Beach,20,20,81.25,82.0,78,86
22,Pier fishing at the Santa Monica Pier,20,20,60.25,62.0,35,72
23,Hike Bridge to Nowhere in the San Gabriels,20,20,81.55,82.0,78,85
24,Topanga State Park hike,20,20,82.9,82.0,78,86
25,Trail run through Eaton Canyon,20,20,77.6,82.0,50,82
26,Sturtevant Falls hike in Sierra Madre,20,20,83.5,82.0,82,88
27,Hike Temescal Canyon,20,20,81.7,82.0,78,85
28,Clippers game at the Intuit Dome,20,20,72.5,72.0,50,78
29,Angels game at Angel Stadium,20,20,73.45,72.0,72,78
30,UCLA basketball at Pauley Pavilion,20,20,77.7,78.0,72,82
31,Mini-golf in Old Pasadena,20,20,76.0,78.0,72,82
32,Sawtelle ramen crawl on the Westside,20,20,84.7,85.0,82,88
33,Thai Town dinner crawl,20,20,86.55,86.5,84,88
34,Olvera Street tacos and walking tour,20,20,85.25,86.0,82,88
35,Petersen Automotive Museum on Wilshire,20,20,79.6,78.0,76,84
36,California Science Center to see the Endeavour,20,20,89.45,88.0,85,92
37,The Huntington gardens in San Marino,20,20,87.25,88.0,85,92
38,Griffith Observatory at night,20,20,89.2,90.0,85,92
39,Day trip up to Santa Barbara,20,20,83.15,82.0,78,85
40,Bottomless brunch in West Hollywood,20,20,71.0,72.0,50,78
41,Wine tasting in Malibu,20,20,71.25,75.0,50,82
42,Bar crawl on Abbot Kinney in Venice,20,20,56.2,58.0,38,65
43,Cannabis tasting at a licensed West Hollywood consumption lounge,20,20,31.5,30.0,0,55
44,Poker night at the Bicycle Casino in Bell Gardens,20,20,53.95,58.0,35,68
45,Day at Hollywood Park Casino,20,20,36.8,35.0,35,45
46,Betting on horses at Santa Anita,20,20,21.95,20.0,12,50
47,Paintball day in Sun Valley,20,20,70.0,70.0,65,75
48,Airsoft battle at Tac City in Fullerton,20,20,61.65,62.0,42,72
49,Off-road OHV day in Hungry Valley,20,20,61.65,62.0,50,72
50,Race car experience at Willow Springs,20,20,80.85,82.0,78,85
51,Cliff jumping at Malibu's coves,20,20,28.35,28.5,10,62
52,Sport fishing for tuna out of San Pedro,20,20,36.4,35.0,20,55
53,Spearfishing trip at Catalina,20,20,44.45,45.0,35,72
54,MMA pay-per-view watch party with cigars and whiskey,20,20,33.85,35.0,25,45
55,Hollywood club crawl on Sunset Strip,20,20,39.5,35.0,25,58
56,Cigar-and-whiskey afternoon at a Beverly Hills lounge,20,20,21.1,20.0,15,30
57,Bottle service at a Hollywood nightclub,20,20,28.85,25.0,18,50
58,Sunday service at a Calvary Chapel megachurch,20,20,50.6,50.0,40,65
59,Tour the Reagan Presidential Library,20,20,71.05,72.0,65,78
60,Tour the Nixon Presidential Library,20,20,71.3,72.0,62,78
61,Skydiving over Perris,20,20,73.2,72.0,50,82
