activity_ix,activity,n_appearances,n_decisive_appearances,n_picked,selection_rate,selection_rate_incl_refusals
0,Summit Mount Baldy,193,191,94,0.49214659685863876,0.48704663212435234
1,Hike Sandstone Peak in the Santa Monicas,190,189,75,0.3968253968253968,0.39473684210526316
2,Pickup basketball at the Venice Beach courts,201,200,112,0.56,0.5572139303482587
3,Visit LACMA,220,218,112,0.5137614678899083,0.509090909090909
4,LAFC game at BMO Stadium,195,195,89,0.4564102564102564,0.4564102564102564
5,Rams game at SoFi Stadium,224,224,108,0.48214285714285715,0.48214285714285715
6,Korean BBQ feast in K-town,192,192,85,0.4427083333333333,0.4427083333333333
7,Whale watching out of Long Beach,183,182,108,0.5934065934065934,0.5901639344262295
8,Joshua Tree day trip,193,192,101,0.5260416666666666,0.5233160621761658
9,Big Bear day trip,187,184,99,0.5380434782608695,0.5294117647058824
10,Drive PCH up to Malibu,201,200,106,0.53,0.527363184079602
11,Bowling at Lucky Strike Hollywood,199,198,89,0.4494949494949495,0.4472361809045226
12,Brewery hop through the Arts District,218,216,111,0.5138888888888888,0.5091743119266054
13,Rose Bowl Flea Market in Pasadena,216,216,115,0.5324074074074074,0.5324074074074074
14,Drive-in movie at the Vineland,202,201,98,0.48756218905472637,0.48514851485148514
15,Comedy show at the Comedy Store,204,201,103,0.5124378109452736,0.5049019607843137
16,UCB improv show in Hollywood,207,207,115,0.5555555555555556,0.5555555555555556
17,Tide pooling at Abalone Cove in Palos Verdes,194,194,102,0.5257731958762887,0.5257731958762887
18,Visit the La Brea Tar Pits,212,210,94,0.44761904761904764,0.44339622641509435
19,Sunset drive up Mulholland,209,206,95,0.46116504854368934,0.45454545454545453
20,Sunset at El Matador Beach,200,200,95,0.475,0.475
21,Snorkel at Leo Carrillo State Beach,200,197,107,0.5431472081218274,0.535
22,Pier fishing at the Santa Monica Pier,217,217,114,0.5253456221198156,0.5253456221198156
23,Hike Bridge to Nowhere in the San Gabriels,204,202,95,0.47029702970297027,0.46568627450980393
24,Topanga State Park hike,214,213,109,0.5117370892018779,0.5093457943925234
25,Trail run through Eaton Canyon,204,200,112,0.56,0.5490196078431373
26,Sturtevant Falls hike in Sierra Madre,199,198,108,0.5454545454545454,0.542713567839196
27,Hike Temescal Canyon,190,190,86,0.45263157894736844,0.45263157894736844
28,Clippers game at the Intuit Dome,183,181,83,0.4585635359116022,0.453551912568306
29,Angels game at Angel Stadium,211,210,110,0.5238095238095238,0.5213270142180095
30,UCLA basketball at Pauley Pavilion,213,210,95,0.4523809523809524,0.4460093896713615
31,Mini-golf in Old Pasadena,209,208,93,0.44711538461538464,0.4449760765550239
32,Sawtelle ramen crawl on the Westside,189,188,94,0.5,0.4973544973544973
33,Thai Town dinner crawl,205,204,103,0.5049019607843137,0.5024390243902439
34,Olvera Street tacos and walking tour,197,195,105,0.5384615384615384,0.5329949238578681
35,Petersen Automotive Museum on Wilshire,217,215,98,0.4558139534883721,0.45161290322580644
36,California Science Center to see the Endeavour,157,155,79,0.5096774193548387,0.5031847133757962
37,The Huntington gardens in San Marino,210,208,119,0.5721153846153846,0.5666666666666667
38,Griffith Observatory at night,177,175,102,0.5828571428571429,0.576271186440678
39,Day trip up to Santa Barbara,207,205,93,0.45365853658536587,0.4492753623188406
40,Bottomless brunch in West Hollywood,192,192,97,0.5052083333333334,0.5052083333333334
41,Wine tasting in Malibu,200,199,104,0.5226130653266332,0.52
42,Bar crawl on Abbot Kinney in Venice,218,217,103,0.47465437788018433,0.4724770642201835
43,Cannabis tasting at a licensed West Hollywood consumption lounge,213,213,116,0.5446009389671361,0.5446009389671361
44,Poker night at the Bicycle Casino in Bell Gardens,187,186,98,0.5268817204301075,0.5240641711229946
45,Day at Hollywood Park Casino,220,219,117,0.5342465753424658,0.5318181818181819
46,Betting on horses at Santa Anita,202,201,105,0.5223880597014925,0.5198019801980198
47,Paintball day in Sun Valley,181,181,84,0.46408839779005523,0.46408839779005523
48,Airsoft battle at Tac City in Fullerton,204,202,109,0.5396039603960396,0.5343137254901961
49,Off-road OHV day in Hungry Valley,216,213,107,0.5023474178403756,0.49537037037037035
50,Race car experience at Willow Springs,194,192,99,0.515625,0.5103092783505154
51,Cliff jumping at Malibu's coves,197,194,97,0.5,0.49238578680203043
52,Sport fishing for tuna out of San Pedro,208,207,82,0.3961352657004831,0.3942307692307692
53,Spearfishing trip at Catalina,195,195,92,0.4717948717948718,0.4717948717948718
54,MMA pay-per-view watch party with cigars and whiskey,182,180,94,0.5222222222222223,0.5164835164835165
55,Hollywood club crawl on Sunset Strip,180,180,82,0.45555555555555555,0.45555555555555555
56,Cigar-and-whiskey afternoon at a Beverly Hills lounge,195,195,93,0.47692307692307695,0.47692307692307695
57,Bottle service at a Hollywood nightclub,198,195,92,0.4717948717948718,0.46464646464646464
58,Sunday service at a Calvary Chapel megachurch,200,200,106,0.53,0.53
59,Tour the Reagan Presidential Library,190,189,89,0.4708994708994709,0.46842105263157896
60,Tour the Nixon Presidential Library,190,190,98,0.5157894736842106,0.5157894736842106
61,Skydiving over Perris,179,179,96,0.5363128491620112,0.5363128491620112
62,Lambo rental for a Mulholland canyon run,158,158,81,0.5126582278481012,0.5126582278481012
63,Drive down to Tijuana for tacos and clubbing,210,210,104,0.49523809523809526,0.49523809523809526
64,Tour Forest Lawn for celebrity graves,211,210,92,0.4380952380952381,0.43601895734597157
65,Manson-murders true-crime walking tour of Beverly Hills,188,187,98,0.5240641711229946,0.5212765957446809
66,Boxing sparring class at a Wild Card-style gym,206,205,106,0.5170731707317073,0.5145631067961165
67,Day-drinking on a Marina del Rey booze cruise,186,186,95,0.510752688172043,0.510752688172043
68,Craps night at the Hustler Casino in Gardena,201,201,101,0.5024875621890548,0.5024875621890548
69,Pole-dancing fitness class for the bachelor party,191,189,95,0.5026455026455027,0.4973821989528796
70,Hunting deer in the San Gabriel Mountains,206,201,95,0.472636815920398,0.46116504854368934
71,Hunting a at a ranch near Tejon,207,207,106,0.5120772946859904,0.5120772946859904
72,Coyote hunting in the Antelope Valley,203,192,104,0.5416666666666666,0.5123152709359606
73,Dove hunting opening day in the Imperial Valley,236,235,119,0.5063829787234042,0.5042372881355932
74,Bear hunting in the Los Padres National Forest,202,191,91,0.47643979057591623,0.4504950495049505
75,Wild pig hunt at a ranch near Paso Robles,180,179,100,0.5586592178770949,0.5555555555555556
76,Tactical rifle class with AR-15s at Burro Canyon,220,199,92,0.4623115577889447,0.41818181818181815
77,Indoor pistol range day at the LA Gun Club,202,201,105,0.5223880597014925,0.5198019801980198
78,Trap and skeet shooting at Triple B Clays,228,227,128,0.5638766519823789,0.5614035087719298
79,Concealed-carry training day in the high desert,215,214,105,0.49065420560747663,0.4883720930232558
80,Visit a gun show at the Pomona Fairplex,209,204,97,0.47549019607843135,0.46411483253588515
81,Falconry hunting outing in the Antelope Valley,201,201,107,0.5323383084577115,0.5323383084577115
82,Slaughterhouse tour and butchery class in Vernon,198,198,100,0.5050505050505051,0.5050505050505051
83,Industry Hills professional rodeo,201,200,96,0.48,0.47761194029850745
84,Pro Bull Riding event at the Honda Center,195,195,92,0.4717948717948718,0.4717948717948718
85,Attending a Trump rally in Huntington Beach,191,189,88,0.4656084656084656,0.4607329842931937
86,Attending a pro-Palestine protest at UCLA,187,184,85,0.46195652173913043,0.45454545454545453
87,Attending a pro-Israel rally in Beverly Hills,196,190,88,0.4631578947368421,0.4489795918367347
88,Joining an anti-abortion march at the Federal Building,186,170,90,0.5294117647058824,0.4838709677419355
89,Joining a Defund-the-Police march in DTLA,202,196,96,0.4897959183673469,0.4752475247524752
90,Joining a Pro-Police rally outside LAPD headquarters,214,203,113,0.5566502463054187,0.5280373831775701
91,Sitting in on a Scientology orientation in Hollywood,206,206,97,0.470873786407767,0.470873786407767
92,Pro-life sidewalk counseling outside a Planned Parenthood,184,179,86,0.48044692737430167,0.4673913043478261
93,Latin Mass at the LA Cathedral followed by cigars,230,230,110,0.4782608695652174,0.4782608695652174
94,Day at the Museum of Death in Hollywood,196,195,99,0.5076923076923077,0.5051020408163265
95,Strip club crawl in the City of Industry,188,187,97,0.5187165775401069,0.5159574468085106
96,Adult-film studio tour in the San Fernando Valley,173,173,80,0.4624277456647399,0.4624277456647399
97,Charreada at Pico Rivera Sports Arena,195,195,100,0.5128205128205128,0.5128205128205128
