activity_ix,activity,n_appearances,n_decisive_appearances,n_picked,selection_rate,selection_rate_incl_refusals
0,Summit Mount Baldy,193,184,91,0.4945652173913043,0.47150259067357514
1,Hike Sandstone Peak in the Santa Monicas,190,181,134,0.7403314917127072,0.7052631578947368
2,Pickup basketball at the Venice Beach courts,201,192,145,0.7552083333333334,0.7213930348258707
3,Visit LACMA,220,209,136,0.6507177033492823,0.6181818181818182
4,LAFC game at BMO Stadium,195,189,149,0.7883597883597884,0.764102564102564
5,Rams game at SoFi Stadium,224,217,141,0.6497695852534562,0.6294642857142857
6,Korean BBQ feast in K-town,192,185,137,0.7405405405405405,0.7135416666666666
7,Whale watching out of Long Beach,183,178,157,0.8820224719101124,0.8579234972677595
8,Joshua Tree day trip,193,179,134,0.7486033519553073,0.694300518134715
9,Big Bear day trip,187,178,122,0.6853932584269663,0.6524064171122995
10,Drive PCH up to Malibu,201,194,145,0.7474226804123711,0.7213930348258707
11,Bowling at Lucky Strike Hollywood,199,188,106,0.5638297872340425,0.5326633165829145
12,Brewery hop through the Arts District,218,212,123,0.5801886792452831,0.5642201834862385
13,Rose Bowl Flea Market in Pasadena,216,208,144,0.6923076923076923,0.6666666666666666
14,Drive-in movie at the Vineland,202,192,131,0.6822916666666666,0.6485148514851485
15,Comedy show at the Comedy Store,204,196,142,0.7244897959183674,0.696078431372549
16,UCB improv show in Hollywood,207,196,141,0.7193877551020408,0.6811594202898551
17,Tide pooling at Abalone Cove in Palos Verdes,194,187,155,0.8288770053475936,0.7989690721649485
18,Visit the La Brea Tar Pits,212,207,145,0.7004830917874396,0.6839622641509434
19,Sunset drive up Mulholland,209,192,149,0.7760416666666666,0.7129186602870813
20,Sunset at El Matador Beach,200,193,165,0.8549222797927462,0.825
21,Snorkel at Leo Carrillo State Beach,200,187,138,0.7379679144385026,0.69
22,Pier fishing at the Santa Monica Pier,217,209,131,0.6267942583732058,0.6036866359447005
23,Hike Bridge to Nowhere in the San Gabriels,204,192,122,0.6354166666666666,0.5980392156862745
24,Topanga State Park hike,214,202,153,0.7574257425742574,0.7149532710280374
25,Trail run through Eaton Canyon,204,196,140,0.7142857142857143,0.6862745098039216
26,Sturtevant Falls hike in Sierra Madre,199,188,134,0.7127659574468085,0.6733668341708543
27,Hike Temescal Canyon,190,181,128,0.7071823204419889,0.6736842105263158
28,Clippers game at the Intuit Dome,183,174,130,0.7471264367816092,0.7103825136612022
29,Angels game at Angel Stadium,211,201,131,0.6517412935323383,0.6208530805687204
30,UCLA basketball at Pauley Pavilion,213,205,134,0.6536585365853659,0.6291079812206573
31,Mini-golf in Old Pasadena,209,197,128,0.649746192893401,0.6124401913875598
32,Sawtelle ramen crawl on the Westside,189,182,132,0.7252747252747253,0.6984126984126984
33,Thai Town dinner crawl,205,190,164,0.8631578947368421,0.8
34,Olvera Street tacos and walking tour,197,178,137,0.7696629213483146,0.6954314720812182
35,Petersen Automotive Museum on Wilshire,217,207,131,0.6328502415458938,0.6036866359447005
36,California Science Center to see the Endeavour,157,146,109,0.7465753424657534,0.6942675159235668
37,The Huntington gardens in San Marino,210,203,159,0.7832512315270936,0.7571428571428571
38,Griffith Observatory at night,177,167,134,0.8023952095808383,0.7570621468926554
39,Day trip up to Santa Barbara,207,195,150,0.7692307692307693,0.7246376811594203
40,Bottomless brunch in West Hollywood,192,174,72,0.41379310344827586,0.375
41,Wine tasting in Malibu,200,191,128,0.6701570680628273,0.64
42,Bar crawl on Abbot Kinney in Venice,218,207,100,0.4830917874396135,0.45871559633027525
43,Cannabis tasting at a licensed West Hollywood consumption lounge,213,198,56,0.2828282828282828,0.26291079812206575
44,Poker night at the Bicycle Casino in Bell Gardens,187,173,54,0.31213872832369943,0.2887700534759358
45,Day at Hollywood Park Casino,220,212,65,0.30660377358490565,0.29545454545454547
46,Betting on horses at Santa Anita,202,188,48,0.2553191489361702,0.2376237623762376
47,Paintball day in Sun Valley,181,173,108,0.6242774566473989,0.5966850828729282
48,Airsoft battle at Tac City in Fullerton,204,194,122,0.6288659793814433,0.5980392156862745
