activity_ix,activity,n_appearances,n_decisive_appearances,n_picked,selection_rate,selection_rate_incl_refusals
0,Summit Mount Baldy,193,189,104,0.5502645502645502,0.538860103626943
1,Hike Sandstone Peak in the Santa Monicas,190,187,112,0.5989304812834224,0.5894736842105263
2,Pickup basketball at the Venice Beach courts,201,193,111,0.5751295336787565,0.5522388059701493
3,Visit LACMA,220,216,112,0.5185185185185185,0.509090909090909
4,LAFC game at BMO Stadium,195,191,93,0.4869109947643979,0.47692307692307695
5,Rams game at SoFi Stadium,224,219,116,0.5296803652968036,0.5178571428571429
6,Korean BBQ feast in K-town,192,191,97,0.5078534031413613,0.5052083333333334
7,Whale watching out of Long Beach,183,179,97,0.5418994413407822,0.5300546448087432
8,Joshua Tree day trip,193,192,101,0.5260416666666666,0.5233160621761658
9,Big Bear day trip,187,182,93,0.510989010989011,0.49732620320855614
10,Drive PCH up to Malibu,201,191,102,0.5340314136125655,0.5074626865671642
11,Bowling at Lucky Strike Hollywood,199,194,98,0.5051546391752577,0.49246231155778897
12,Brewery hop through the Arts District,218,213,103,0.4835680751173709,0.4724770642201835
13,Rose Bowl Flea Market in Pasadena,216,212,120,0.5660377358490566,0.5555555555555556
14,Drive-in movie at the Vineland,202,196,100,0.5102040816326531,0.49504950495049505
15,Comedy show at the Comedy Store,204,196,100,0.5102040816326531,0.49019607843137253
16,UCB improv show in Hollywood,207,200,104,0.52,0.5024154589371981
17,Tide pooling at Abalone Cove in Palos Verdes,194,188,99,0.526595744680851,0.5103092783505154
18,Visit the La Brea Tar Pits,212,202,102,0.504950495049505,0.4811320754716981
19,Sunset drive up Mulholland,209,195,105,0.5384615384615384,0.5023923444976076
20,Sunset at El Matador Beach,200,198,108,0.5454545454545454,0.54
21,Snorkel at Leo Carrillo State Beach,200,190,112,0.5894736842105263,0.56
22,Pier fishing at the Santa Monica Pier,217,209,118,0.5645933014354066,0.543778801843318
23,Hike Bridge to Nowhere in the San Gabriels,204,198,115,0.5808080808080808,0.5637254901960784
24,Topanga State Park hike,214,209,101,0.48325358851674644,0.4719626168224299
25,Trail run through Eaton Canyon,204,192,104,0.5416666666666666,0.5098039215686274
26,Sturtevant Falls hike in Sierra Madre,199,194,102,0.5257731958762887,0.5125628140703518
27,Hike Temescal Canyon,190,186,98,0.5268817204301075,0.5157894736842106
28,Clippers game at the Intuit Dome,183,180,91,0.5055555555555555,0.4972677595628415
29,Angels game at Angel Stadium,211,203,107,0.5270935960591133,0.5071090047393365
30,UCLA basketball at Pauley Pavilion,213,210,125,0.5952380952380952,0.5868544600938967
31,Mini-golf in Old Pasadena,209,199,112,0.5628140703517588,0.5358851674641149
32,Sawtelle ramen crawl on the Westside,189,184,101,0.5489130434782609,0.5343915343915344
33,Thai Town dinner crawl,205,195,116,0.5948717948717949,0.5658536585365853
34,Olvera Street tacos and walking tour,197,188,97,0.5159574468085106,0.49238578680203043
35,Petersen Automotive Museum on Wilshire,217,213,110,0.5164319248826291,0.5069124423963134
36,California Science Center to see the Endeavour,157,155,81,0.5225806451612903,0.5159235668789809
37,The Huntington gardens in San Marino,210,202,103,0.5099009900990099,0.49047619047619045
38,Griffith Observatory at night,177,170,87,0.5117647058823529,0.4915254237288136
39,Day trip up to Santa Barbara,207,203,107,0.5270935960591133,0.5169082125603864
40,Bottomless brunch in West Hollywood,192,185,102,0.5513513513513514,0.53125
41,Wine tasting in Malibu,200,199,91,0.457286432160804,0.455
42,Bar crawl on Abbot Kinney in Venice,218,213,123,0.5774647887323944,0.5642201834862385
43,Cannabis tasting at a licensed West Hollywood consumption lounge,213,209,117,0.5598086124401914,0.5492957746478874
44,Poker night at the Bicycle Casino in Bell Gardens,187,184,101,0.5489130434782609,0.5401069518716578
45,Day at Hollywood Park Casino,220,217,115,0.5299539170506913,0.5227272727272727
46,Betting on horses at Santa Anita,202,199,97,0.48743718592964824,0.4801980198019802
47,Paintball day in Sun Valley,181,177,101,0.5706214689265536,0.5580110497237569
48,Airsoft battle at Tac City in Fullerton,204,196,100,0.5102040816326531,0.49019607843137253
49,Off-road OHV day in Hungry Valley,216,209,113,0.5406698564593302,0.5231481481481481
50,Race car experience at Willow Springs,194,189,111,0.5873015873015873,0.5721649484536082
51,Cliff jumping at Malibu's coves,197,177,60,0.3389830508474576,0.30456852791878175
52,Sport fishing for tuna out of San Pedro,208,206,107,0.5194174757281553,0.5144230769230769
53,Spearfishing trip at Catalina,195,194,92,0.4742268041237113,0.4717948717948718
54,MMA pay-per-view watch party with cigars and whiskey,182,176,93,0.5284090909090909,0.510989010989011
55,Hollywood club crawl on Sunset Strip,180,177,97,0.5480225988700564,0.5388888888888889
56,Cigar-and-whiskey afternoon at a Beverly Hills lounge,195,191,86,0.450261780104712,0.441025641025641
57,Bottle service at a Hollywood nightclub,198,191,90,0.4712041884816754,0.45454545454545453
58,Sunday service at a Calvary Chapel megachurch,200,198,98,0.494949494949495,0.49
59,Tour the Reagan Presidential Library,190,185,78,0.42162162162162165,0.4105263157894737
60,Tour the Nixon Presidential Library,190,185,85,0.4594594594594595,0.4473684210526316
