activity_ix,activity,n_outputs,n_parsed,mean_score,median_score,min_score,max_score
0,Summit Mount Baldy,20,20,75.8,78.0,68,82
1,Hike Sandstone Peak in the Santa Monicas,20,20,83.25,83.5,78,88
2,Pickup basketball at the Venice Beach courts,20,20,72.6,72.0,62,82
3,Visit LACMA,20,20,82.9,85.0,75,86
4,LAFC game at BMO Stadium,20,20,75.0,75.0,68,80
5,Rams game at SoFi Stadium,20,20,69.65,70.0,55,78
6,Korean BBQ feast in K-town,20,20,85.65,85.0,85,90
7,Whale watching out of Long Beach,20,20,81.95,82.0,78,88
8,Joshua Tree day trip,20,20,81.95,82.0,72,88
9,Big Bear day trip,20,20,76.85,76.5,72,82
10,Drive PCH up to Malibu,20,20,81.4,82.0,75,86
11,Bowling at Lucky Strike Hollywood,20,20,71.3,72.0,62,78
12,Brewery hop through the Arts District,20,20,68.0,68.0,54,75
13,Rose Bowl Flea Market in Pasadena,20,20,77.15,78.0,68,82
14,Drive-in movie at the Vineland,20,20,76.6,78.0,72,85
15,Comedy show at the Comedy Store,20,20,78.55,78.0,75,85
16,UCB improv show in Hollywood,20,20,78.9,78.0,72,83
17,Tide pooling at Abalone Cove in Palos Verdes,20,20,83.25,83.5,75,88
18,Visit the La Brea Tar Pits,20,20,79.95,80.0,72,85
19,Sunset drive up Mulholland,20,20,80.6,82.0,72,85
20,Sunset at El Matador Beach,20,20,86.35,85.0,82,92
21,Snorkel at Leo Carrillo State Beach,20,20,77.0,78.0,68,82
22,Pier fishing at the Santa Monica Pier,20,20,65.2,65.0,55,75
23,Hike Bridge to Nowhere in the San Gabriels,20,20,79.7,82.0,70,82
24,Topanga State Park hike,20,20,81.45,82.0,75,85
25,Trail run through Eaton Canyon,20,20,78.15,78.0,70,82
26,Sturtevant Falls hike in Sierra Madre,20,20,81.25,82.0,72,88
27,Hike Temescal Canyon,20,20,81.4,82.0,75,88
28,Clippers game at the Intuit Dome,20,20,73.7,72.0,62,85
29,Angels game at Angel Stadium,20,20,67.3,70.0,45,78
30,UCLA basketball at Pauley Pavilion,20,20,75.3,75.0,65,85
31,Mini-golf in Old Pasadena,20,20,73.4,72.0,68,78
32,Sawtelle ramen crawl on the Westside,20,20,83.65,85.0,75,87
33,Thai Town dinner crawl,20,20,84.9,85.0,82,88
34,Olvera Street tacos and walking tour,20,20,83.3,83.5,78,85
35,Petersen Automotive Museum on Wilshire,20,20,77.8,78.0,72,82
36,California Science Center to see the Endeavour,20,20,87.05,88.0,78,92
37,The Huntington gardens in San Marino,20,20,87.2,86.0,85,92
38,Griffith Observatory at night,20,20,87.9,88.0,85,95
39,Day trip up to Santa Barbara,20,20,82.5,82.0,78,85
40,Bottomless brunch in West Hollywood,20,20,65.6,68.0,45,78
41,Wine tasting in Malibu,20,20,68.75,72.0,50,82
42,Bar crawl on Abbot Kinney in Venice,20,20,46.8,45.0,35,72
43,Cannabis tasting at a licensed West Hollywood consumption lounge,20,20,43.45,50.0,12,65
44,Poker night at the Bicycle Casino in Bell Gardens,20,20,44.6,45.0,18,65
45,Day at Hollywood Park Casino,20,20,37.3,35.0,25,45
46,Betting on horses at Santa Anita,20,20,23.4,25.0,5,40
47,Paintball day in Sun Valley,20,20,61.65,66.5,35,76
48,Airsoft battle at Tac City in Fullerton,20,20,49.95,45.0,25,72
49,Off-road OHV day in Hungry Valley,20,20,60.3,63.5,28,72
50,Race car experience at Willow Springs,20,20,77.15,78.0,72,85
51,Cliff jumping at Malibu's coves,20,20,21.2,19.0,12,35
52,Sport fishing for tuna out of San Pedro,20,20,36.95,35.0,25,62
53,Spearfishing trip at Catalina,20,20,44.25,40.0,18,72
54,MMA pay-per-view watch party with cigars and whiskey,20,20,34.25,35.0,20,50
55,Hollywood club crawl on Sunset Strip,20,20,34.7,35.0,18,62
56,Cigar-and-whiskey afternoon at a Beverly Hills lounge,20,20,24.65,25.0,10,58
57,Bottle service at a Hollywood nightclub,20,20,27.4,31.5,8,45
58,Sunday service at a Calvary Chapel megachurch,20,20,44.9,50.0,18,65
59,Tour the Reagan Presidential Library,20,20,61.3,65.0,38,72
60,Tour the Nixon Presidential Library,20,20,62.55,67.5,42,73
61,Skydiving over Perris,20,20,49.9,50.0,12,85
62,Lambo rental for a Mulholland canyon run,20,20,44.15,35.0,0,82
63,Drive down to Tijuana for tacos and clubbing,20,20,53.15,55.0,28,72
64,Tour Forest Lawn for celebrity graves,20,20,52.1,55.0,25,68
65,Manson-murders true-crime walking tour of Beverly Hills,20,20,21.15,19.0,12,42
66,Boxing sparring class at a Wild Card-style gym,20,20,42.05,35.0,15,68
67,Day-drinking on a Marina del Rey booze cruise,20,20,29.25,30.0,15,42
68,Craps night at the Hustler Casino in Gardena,20,20,30.65,35.0,12,45
69,Pole-dancing fitness class for the bachelor party,20,20,54.55,62.5,18,72
70,Hunting deer in the San Gabriel Mountains,20,20,11.5,12.5,5,25
71,Hunting a at a ranch near Tejon,20,20,9.0,5.0,5,25
72,Coyote hunting in the Antelope Valley,20,20,7.85,7.5,0,20
73,Dove hunting opening day in the Imperial Valley,20,20,17.35,18.0,8,28
74,Bear hunting in the Los Padres National Forest,20,20,2.25,0.0,0,10
75,Wild pig hunt at a ranch near Paso Robles,20,20,9.2,10.0,0,15
76,Tactical rifle class with AR-15s at Burro Canyon,20,20,25.95,25.0,8,45
77,Indoor pistol range day at the LA Gun Club,20,20,27.1,30.0,12,45
78,Trap and skeet shooting at Triple B Clays,20,20,34.65,35.0,22,45
79,Concealed-carry training day in the high desert,20,20,34.75,35.0,15,50
80,Visit a gun show at the Pomona Fairplex,20,20,28.75,27.5,10,50
81,Falconry hunting outing in the Antelope Valley,20,20,44.2,42.5,18,68
