activity_ix,activity,n_appearances,n_decisive_appearances,n_picked,selection_rate,selection_rate_incl_refusals
0,Summit Mount Baldy,193,193,104,0.538860103626943,0.538860103626943
1,Hike Sandstone Peak in the Santa Monicas,190,190,99,0.5210526315789473,0.5210526315789473
2,Pickup basketball at the Venice Beach courts,201,201,111,0.5522388059701493,0.5522388059701493
3,Visit LACMA,220,220,133,0.6045454545454545,0.6045454545454545
4,LAFC game at BMO Stadium,195,195,101,0.517948717948718,0.517948717948718
5,Rams game at SoFi Stadium,224,224,111,0.4955357142857143,0.4955357142857143
6,Korean BBQ feast in K-town,192,192,111,0.578125,0.578125
7,Whale watching out of Long Beach,183,183,97,0.5300546448087432,0.5300546448087432
8,Joshua Tree day trip,193,193,107,0.5544041450777202,0.5544041450777202
9,Big Bear day trip,187,187,96,0.5133689839572193,0.5133689839572193
10,Drive PCH up to Malibu,201,201,109,0.5422885572139303,0.5422885572139303
11,Bowling at Lucky Strike Hollywood,199,199,99,0.49748743718592964,0.49748743718592964
12,Brewery hop through the Arts District,218,218,99,0.4541284403669725,0.4541284403669725
13,Rose Bowl Flea Market in Pasadena,216,216,102,0.4722222222222222,0.4722222222222222
14,Drive-in movie at the Vineland,202,202,105,0.5198019801980198,0.5198019801980198
15,Comedy show at the Comedy Store,204,204,109,0.5343137254901961,0.5343137254901961
16,UCB improv show in Hollywood,207,207,119,0.5748792270531401,0.5748792270531401
17,Tide pooling at Abalone Cove in Palos Verdes,194,194,113,0.5824742268041238,0.5824742268041238
18,Visit the La Brea Tar Pits,212,212,120,0.5660377358490566,0.5660377358490566
19,Sunset drive up Mulholland,209,209,111,0.5311004784688995,0.5311004784688995
20,Sunset at El Matador Beach,200,200,100,0.5,0.5
21,Snorkel at Leo Carrillo State Beach,200,200,92,0.46,0.46
22,Pier fishing at the Santa Monica Pier,217,217,111,0.511520737327189,0.511520737327189
23,Hike Bridge to Nowhere in the San Gabriels,204,204,108,0.5294117647058824,0.5294117647058824
24,Topanga State Park hike,214,214,102,0.4766355140186916,0.4766355140186916
25,Trail run through Eaton Canyon,204,204,97,0.47549019607843135,0.47549019607843135
26,Sturtevant Falls hike in Sierra Madre,199,199,109,0.5477386934673367,0.5477386934673367
27,Hike Temescal Canyon,190,190,102,0.5368421052631579,0.5368421052631579
28,Clippers game at the Intuit Dome,183,183,90,0.4918032786885246,0.4918032786885246
29,Angels game at Angel Stadium,211,211,119,0.5639810426540285,0.5639810426540285
30,UCLA basketball at Pauley Pavilion,213,213,100,0.4694835680751174,0.4694835680751174
31,Mini-golf in Old Pasadena,209,209,106,0.507177033492823,0.507177033492823
32,Sawtelle ramen crawl on the Westside,189,189,91,0.48148148148148145,0.48148148148148145
33,Thai Town dinner crawl,205,205,108,0.526829268292683,0.526829268292683
34,Olvera Street tacos and walking tour,197,197,115,0.583756345177665,0.583756345177665
