activity_ix,activity,n_appearances,n_decisive_appearances,n_picked,selection_rate,selection_rate_incl_refusals
0,Summit Mount Baldy,193,192,102,0.53125,0.5284974093264249
1,Hike Sandstone Peak in the Santa Monicas,190,190,150,0.7894736842105263,0.7894736842105263
2,Pickup basketball at the Venice Beach courts,201,200,151,0.755,0.7512437810945274
3,Visit LACMA,220,220,150,0.6818181818181818,0.6818181818181818
4,LAFC game at BMO Stadium,195,195,162,0.8307692307692308,0.8307692307692308
5,Rams game at SoFi Stadium,224,224,158,0.7053571428571429,0.7053571428571429
6,Korean BBQ feast in K-town,192,192,157,0.8177083333333334,0.8177083333333334
7,Whale watching out of Long Beach,183,183,154,0.8415300546448088,0.8415300546448088
8,Joshua Tree day trip,193,190,149,0.7842105263157895,0.772020725388601
9,Big Bear day trip,187,186,125,0.6720430107526881,0.6684491978609626
10,Drive PCH up to Malibu,201,200,167,0.835,0.8308457711442786
11,Bowling at Lucky Strike Hollywood,199,199,134,0.6733668341708543,0.6733668341708543
12,Brewery hop through the Arts District,218,218,140,0.6422018348623854,0.6422018348623854
13,Rose Bowl Flea Market in Pasadena,216,216,185,0.8564814814814815,0.8564814814814815
14,Drive-in movie at the Vineland,202,201,140,0.6965174129353234,0.693069306930693
15,Comedy show at the Comedy Store,204,204,167,0.8186274509803921,0.8186274509803921
16,UCB improv show in Hollywood,207,206,161,0.7815533980582524,0.7777777777777778
17,Tide pooling at Abalone Cove in Palos Verdes,194,194,164,0.845360824742268,0.845360824742268
18,Visit the La Brea Tar Pits,212,211,156,0.7393364928909952,0.7358490566037735
19,Sunset drive up Mulholland,209,207,162,0.782608695652174,0.7751196172248804
20,Sunset at El Matador Beach,200,199,173,0.8693467336683417,0.865
21,Snorkel at Leo Carrillo State Beach,200,200,134,0.67,0.67
22,Pier fishing at the Santa Monica Pier,217,216,145,0.6712962962962963,0.6682027649769585
23,Hike Bridge to Nowhere in the San Gabriels,204,204,116,0.5686274509803921,0.5686274509803921
24,Topanga State Park hike,214,214,171,0.7990654205607477,0.7990654205607477
25,Trail run through Eaton Canyon,204,203,142,0.6995073891625616,0.696078431372549
26,Sturtevant Falls hike in Sierra Madre,199,199,139,0.6984924623115578,0.6984924623115578
27,Hike Temescal Canyon,190,190,142,0.7473684210526316,0.7473684210526316
28,Clippers game at the Intuit Dome,183,183,138,0.7540983606557377,0.7540983606557377
29,Angels game at Angel Stadium,211,211,132,0.6255924170616114,0.6255924170616114
30,UCLA basketball at Pauley Pavilion,213,213,160,0.7511737089201878,0.7511737089201878
31,Mini-golf in Old Pasadena,209,208,143,0.6875,0.6842105263157895
32,Sawtelle ramen crawl on the Westside,189,188,138,0.7340425531914894,0.7301587301587301
33,Thai Town dinner crawl,205,204,181,0.8872549019607843,0.8829268292682927
34,Olvera Street tacos and walking tour,197,197,164,0.8324873096446701,0.8324873096446701
35,Petersen Automotive Museum on Wilshire,217,217,145,0.6682027649769585,0.6682027649769585
36,California Science Center to see the Endeavour,157,157,143,0.910828025477707,0.910828025477707
37,The Huntington gardens in San Marino,210,210,182,0.8666666666666667,0.8666666666666667
38,Griffith Observatory at night,177,177,165,0.9322033898305084,0.9322033898305084
39,Day trip up to Santa Barbara,207,207,168,0.8115942028985508,0.8115942028985508
40,Bottomless brunch in West Hollywood,192,190,101,0.531578947368421,0.5260416666666666
41,Wine tasting in Malibu,200,199,141,0.7085427135678392,0.705
42,Bar crawl on Abbot Kinney in Venice,218,218,125,0.573394495412844,0.573394495412844
43,Cannabis tasting at a licensed West Hollywood consumption lounge,213,212,83,0.3915094339622642,0.38967136150234744
44,Poker night at the Bicycle Casino in Bell Gardens,187,187,82,0.4385026737967914,0.4385026737967914
45,Day at Hollywood Park Casino,220,220,74,0.33636363636363636,0.33636363636363636
46,Betting on horses at Santa Anita,202,201,71,0.35323383084577115,0.35148514851485146
47,Paintball day in Sun Valley,181,180,93,0.5166666666666667,0.5138121546961326
48,Airsoft battle at Tac City in Fullerton,204,203,110,0.541871921182266,0.5392156862745098
49,Off-road OHV day in Hungry Valley,216,216,126,0.5833333333333334,0.5833333333333334
50,Race car experience at Willow Springs,194,194,150,0.7731958762886598,0.7731958762886598
51,Cliff jumping at Malibu's coves,197,192,14,0.07291666666666667,0.07106598984771574
52,Sport fishing for tuna out of San Pedro,208,207,134,0.6473429951690821,0.6442307692307693
53,Spearfishing trip at Catalina,195,194,112,0.5773195876288659,0.5743589743589743
54,MMA pay-per-view watch party with cigars and whiskey,182,181,64,0.35359116022099446,0.3516483516483517
55,Hollywood club crawl on Sunset Strip,180,179,75,0.41899441340782123,0.4166666666666667
56,Cigar-and-whiskey afternoon at a Beverly Hills lounge,195,194,59,0.30412371134020616,0.30256410256410254
57,Bottle service at a Hollywood nightclub,198,197,57,0.2893401015228426,0.2878787878787879
58,Sunday service at a Calvary Chapel megachurch,200,199,63,0.3165829145728643,0.315
59,Tour the Reagan Presidential Library,190,190,90,0.47368421052631576,0.47368421052631576
60,Tour the Nixon Presidential Library,190,190,88,0.4631578947368421,0.4631578947368421
61,Skydiving over Perris,179,179,97,0.5418994413407822,0.5418994413407822
62,Lambo rental for a Mulholland canyon run,158,152,21,0.13815789473684212,0.13291139240506328
63,Drive down to Tijuana for tacos and clubbing,210,210,47,0.22380952380952382,0.22380952380952382
64,Tour Forest Lawn for celebrity graves,211,211,93,0.44075829383886256,0.44075829383886256
65,Manson-murders true-crime walking tour of Beverly Hills,188,188,47,0.25,0.25
66,Boxing sparring class at a Wild Card-style gym,206,203,55,0.270935960591133,0.2669902912621359
67,Day-drinking on a Marina del Rey booze cruise,186,185,76,0.41081081081081083,0.40860215053763443
68,Craps night at the Hustler Casino in Gardena,201,201,63,0.31343283582089554,0.31343283582089554
69,Pole-dancing fitness class for the bachelor party,191,191,137,0.7172774869109948,0.7172774869109948
70,Hunting deer in the San Gabriel Mountains,206,200,1,0.005,0.0048543689320388345
71,Hunting a at a ranch near Tejon,207,201,24,0.11940298507462686,0.11594202898550725
72,Coyote hunting in the Antelope Valley,203,186,1,0.005376344086021506,0.0049261083743842365
73,Dove hunting opening day in the Imperial Valley,236,234,27,0.11538461538461539,0.11440677966101695
74,Bear hunting in the Los Padres National Forest,202,179,2,0.0111731843575419,0.009900990099009901
