activity_ix,activity,n_appearances,n_decisive_appearances,n_picked,selection_rate,selection_rate_incl_refusals
0,Summit Mount Baldy,193,193,110,0.5699481865284974,0.5699481865284974
1,Hike Sandstone Peak in the Santa Monicas,190,190,106,0.5578947368421052,0.5578947368421052
2,Pickup basketball at the Venice Beach courts,201,200,115,0.575,0.572139303482587
3,Visit LACMA,220,220,136,0.6181818181818182,0.6181818181818182
4,LAFC game at BMO Stadium,195,195,110,0.5641025641025641,0.5641025641025641
5,Rams game at SoFi Stadium,224,224,135,0.6026785714285714,0.6026785714285714
6,Korean BBQ feast in K-town,192,192,108,0.5625,0.5625
7,Whale watching out of Long Beach,183,183,117,0.639344262295082,0.639344262295082
8,Joshua Tree day trip,193,193,126,0.6528497409326425,0.6528497409326425
9,Big Bear day trip,187,186,92,0.4946236559139785,0.4919786096256685
10,Drive PCH up to Malibu,201,201,128,0.6368159203980099,0.6368159203980099
11,Bowling at Lucky Strike Hollywood,199,199,106,0.5326633165829145,0.5326633165829145
12,Brewery hop through the Arts District,218,218,113,0.518348623853211,0.518348623853211
13,Rose Bowl Flea Market in Pasadena,216,216,137,0.6342592592592593,0.6342592592592593
14,Drive-in movie at the Vineland,202,202,128,0.6336633663366337,0.6336633663366337
15,Comedy show at the Comedy Store,204,204,118,0.5784313725490197,0.5784313725490197
16,UCB improv show in Hollywood,207,206,107,0.5194174757281553,0.5169082125603864
17,Tide pooling at Abalone Cove in Palos Verdes,194,194,113,0.5824742268041238,0.5824742268041238
18,Visit the La Brea Tar Pits,212,211,125,0.5924170616113744,0.589622641509434
19,Sunset drive up Mulholland,209,209,122,0.583732057416268,0.583732057416268
20,Sunset at El Matador Beach,200,200,129,0.645,0.645
21,Snorkel at Leo Carrillo State Beach,200,200,124,0.62,0.62
22,Pier fishing at the Santa Monica Pier,217,216,123,0.5694444444444444,0.5668202764976958
23,Hike Bridge to Nowhere in the San Gabriels,204,202,122,0.6039603960396039,0.5980392156862745
24,Topanga State Park hike,214,213,129,0.6056338028169014,0.602803738317757
25,Trail run through Eaton Canyon,204,204,122,0.5980392156862745,0.5980392156862745
26,Sturtevant Falls hike in Sierra Madre,199,198,111,0.5606060606060606,0.5577889447236181
27,Hike Temescal Canyon,190,189,113,0.5978835978835979,0.5947368421052631
28,Clippers game at the Intuit Dome,183,183,101,0.5519125683060109,0.5519125683060109
29,Angels game at Angel Stadium,211,210,131,0.6238095238095238,0.6208530805687204
30,UCLA basketball at Pauley Pavilion,213,212,122,0.5754716981132075,0.5727699530516432
31,Mini-golf in Old Pasadena,209,209,128,0.6124401913875598,0.6124401913875598
32,Sawtelle ramen crawl on the Westside,189,189,113,0.5978835978835979,0.5978835978835979
33,Thai Town dinner crawl,205,203,133,0.6551724137931034,0.6487804878048781
34,Olvera Street tacos and walking tour,197,196,119,0.6071428571428571,0.6040609137055838
35,Petersen Automotive Museum on Wilshire,217,217,121,0.5576036866359447,0.5576036866359447
36,California Science Center to see the Endeavour,157,157,101,0.643312101910828,0.643312101910828
37,The Huntington gardens in San Marino,210,210,126,0.6,0.6
38,Griffith Observatory at night,177,176,111,0.6306818181818182,0.6271186440677966
39,Day trip up to Santa Barbara,207,207,120,0.5797101449275363,0.5797101449275363
40,Bottomless brunch in West Hollywood,192,190,112,0.5894736842105263,0.5833333333333334
41,Wine tasting in Malibu,200,200,105,0.525,0.525
42,Bar crawl on Abbot Kinney in Venice,218,217,133,0.6129032258064516,0.6100917431192661
43,Cannabis tasting at a licensed West Hollywood consumption lounge,213,213,96,0.4507042253521127,0.4507042253521127
44,Poker night at the Bicycle Casino in Bell Gardens,187,186,103,0.553763440860215,0.5508021390374331
45,Day at Hollywood Park Casino,220,220,122,0.5545454545454546,0.5545454545454546
46,Betting on horses at Santa Anita,202,202,106,0.5247524752475248,0.5247524752475248
47,Paintball day in Sun Valley,181,181,103,0.569060773480663,0.569060773480663
48,Airsoft battle at Tac City in Fullerton,204,204,120,0.5882352941176471,0.5882352941176471
49,Off-road OHV day in Hungry Valley,216,215,107,0.49767441860465117,0.49537037037037035
50,Race car experience at Willow Springs,194,194,105,0.5412371134020618,0.5412371134020618
51,Cliff jumping at Malibu's coves,197,194,47,0.2422680412371134,0.23857868020304568
52,Sport fishing for tuna out of San Pedro,208,206,111,0.5388349514563107,0.5336538461538461
53,Spearfishing trip at Catalina,195,195,108,0.5538461538461539,0.5538461538461539
54,MMA pay-per-view watch party with cigars and whiskey,182,182,87,0.47802197802197804,0.47802197802197804
55,Hollywood club crawl on Sunset Strip,180,178,98,0.550561797752809,0.5444444444444444
56,Cigar-and-whiskey afternoon at a Beverly Hills lounge,195,194,92,0.4742268041237113,0.4717948717948718
57,Bottle service at a Hollywood nightclub,198,197,94,0.47715736040609136,0.47474747474747475
58,Sunday service at a Calvary Chapel megachurch,200,199,99,0.49748743718592964,0.495
59,Tour the Reagan Presidential Library,190,190,99,0.5210526315789473,0.5210526315789473
60,Tour the Nixon Presidential Library,190,190,112,0.5894736842105263,0.5894736842105263
61,Skydiving over Perris,179,177,78,0.4406779661016949,0.43575418994413406
62,Lambo rental for a Mulholland canyon run,158,156,51,0.3269230769230769,0.3227848101265823
63,Drive down to Tijuana for tacos and clubbing,210,210,111,0.5285714285714286,0.5285714285714286
64,Tour Forest Lawn for celebrity graves,211,211,110,0.5213270142180095,0.5213270142180095
65,Manson-murders true-crime walking tour of Beverly Hills,188,188,78,0.4148936170212766,0.4148936170212766
66,Boxing sparring class at a Wild Card-style gym,206,206,102,0.49514563106796117,0.49514563106796117
67,Day-drinking on a Marina del Rey booze cruise,186,185,95,0.5135135135135135,0.510752688172043
68,Craps night at the Hustler Casino in Gardena,201,201,89,0.4427860696517413,0.4427860696517413
69,Pole-dancing fitness class for the bachelor party,191,191,117,0.612565445026178,0.612565445026178
70,Hunting deer in the San Gabriel Mountains,206,201,23,0.11442786069651742,0.11165048543689321
71,Hunting a at a ranch near Tejon,207,203,68,0.33497536945812806,0.3285024154589372
72,Coyote hunting in the Antelope Valley,203,185,15,0.08108108108108109,0.07389162561576355
73,Dove hunting opening day in the Imperial Valley,236,234,92,0.39316239316239315,0.3898305084745763
74,Bear hunting in the Los Padres National Forest,202,186,14,0.07526881720430108,0.06930693069306931
75,Wild pig hunt at a ranch near Paso Robles,180,178,58,0.3258426966292135,0.32222222222222224
76,Tactical rifle class with AR-15s at Burro Canyon,220,212,66,0.3113207547169811,0.3
77,Indoor pistol range day at the LA Gun Club,202,202,74,0.36633663366336633,0.36633663366336633
78,Trap and skeet shooting at Triple B Clays,228,228,121,0.5307017543859649,0.5307017543859649
79,Concealed-carry training day in the high desert,215,206,61,0.2961165048543689,0.2837209302325581
80,Visit a gun show at the Pomona Fairplex,209,206,86,0.4174757281553398,0.41148325358851673
81,Falconry hunting outing in the Antelope Valley,201,199,100,0.5025125628140703,0.4975124378109453
82,Slaughterhouse tour and butchery class in Vernon,198,195,86,0.441025641025641,0.43434343434343436
83,Industry Hills professional rodeo,201,200,112,0.56,0.5572139303482587
84,Pro Bull Riding event at the Honda Center,195,195,106,0.5435897435897435,0.5435897435897435
85,Attending a Trump rally in Huntington Beach,191,189,64,0.3386243386243386,0.33507853403141363
86,Attending a pro-Palestine protest at UCLA,187,181,61,0.3370165745856354,0.32620320855614976
87,Attending a pro-Israel rally in Beverly Hills,196,190,65,0.34210526315789475,0.33163265306122447
88,Joining an anti-abortion march at the Federal Building,186,169,35,0.20710059171597633,0.1881720430107527
89,Joining a Defund-the-Police march in DTLA,202,197,75,0.38071065989847713,0.3712871287128713
90,Joining a Pro-Police rally outside LAPD headquarters,214,207,50,0.24154589371980675,0.2336448598130841
91,Sitting in on a Scientology orientation in Hollywood,206,206,86,0.4174757281553398,0.4174757281553398
92,Pro-life sidewalk counseling outside a Planned Parenthood,184,165,28,0.1696969696969697,0.15217391304347827
93,Latin Mass at the LA Cathedral followed by cigars,230,230,109,0.47391304347826085,0.47391304347826085
94,Day at the Museum of Death in Hollywood,196,195,91,0.4666666666666667,0.4642857142857143
95,Strip club crawl in the City of Industry,188,188,76,0.40425531914893614,0.40425531914893614
96,Adult-film studio tour in the San Fernando Valley,173,172,71,0.4127906976744186,0.41040462427745666
97,Charreada at Pico Rivera Sports Arena,195,195,117,0.6,0.6
98,Bullfight-watching day trip down to Tijuana,205,173,19,0.10982658959537572,0.09268292682926829
99,BKFC pay-per-view watch party with cigars and steaks,209,206,126,0.6116504854368932,0.6028708133971292
