activity_ix,activity,n_outputs,n_parsed,mean_score,median_score,min_score,max_score
0,Summit Mount Baldy,20,20,78.15,78.0,70,82
1,Hike Sandstone Peak in the Santa Monicas,20,20,82.9,82.0,78,86
2,Pickup basketball at the Venice Beach courts,20,20,75.1,72.0,72,82
3,Visit LACMA,20,20,84.5,85.0,82,88
4,LAFC game at BMO Stadium,20,20,76.75,78.0,72,82
5,Rams game at SoFi Stadium,20,20,74.55,75.0,65,78
6,Korean BBQ feast in K-town,20,20,87.2,88.0,85,92
7,Whale watching out of Long Beach,20,20,82.7,82.0,78,85
8,Joshua Tree day trip,20,20,84.25,85.0,82,88
9,Big Bear day trip,20,20,80.35,82.0,78,85
10,Drive PCH up to Malibu,20,20,83.0,82.0,78,86
11,Bowling at Lucky Strike Hollywood,20,20,74.0,72.0,68,78
12,Brewery hop through the Arts District,20,20,63.95,66.5,45,75
13,Rose Bowl Flea Market in Pasadena,20,20,76.8,78.0,68,78
14,Drive-in movie at the Vineland,20,20,79.4,78.0,78,82
15,Comedy show at the Comedy Store,20,20,78.55,78.0,75,82
16,UCB improv show in Hollywood,20,20,79.8,78.0,78,82
17,Tide pooling at Abalone Cove in Palos Verdes,20,20,83.75,82.0,82,88
18,Visit the La Brea Tar Pits,20,20,82.25,82.0,78,86
19,Sunset drive up Mulholland,20,20,82.95,82.0,78,86
20,Sunset at El Matador Beach,20,20,88.25,88.0,85,92
21,Snorkel at Leo Carrillo State Beach,20,20,81.4,82.0,75,86
22,Pier fishing at the Santa Monica Pier,20,20,63.3,65.0,35,72
23,Hike Bridge to Nowhere in the San Gabriels,20,20,81.4,82.0,78,86
24,Topanga State Park hike,20,20,82.9,82.0,78,86
25,Trail run through Eaton Canyon,20,20,79.85,78.0,76,85
26,Sturtevant Falls hike in Sierra Madre,20,20,82.45,82.0,78,86
27,Hike Temescal Canyon,20,20,82.0,82.0,78,85
28,Clippers game at the Intuit Dome,20,20,73.7,72.0,68,78
29,Angels game at Angel Stadium,20,20,70.9,72.0,62,78
30,UCLA basketball at Pauley Pavilion,20,20,77.1,78.0,72,78
31,Mini-golf in Old Pasadena,20,20,75.65,78.0,72,78
32,Sawtelle ramen crawl on the Westside,20,20,84.8,86.0,82,88
33,Thai Town dinner crawl,20,20,87.1,88.0,85,88
34,Olvera Street tacos and walking tour,20,20,85.95,86.0,84,88
35,Petersen Automotive Museum on Wilshire,20,20,79.0,78.0,78,82
36,California Science Center to see the Endeavour,20,20,88.45,88.0,85,92
37,The Huntington gardens in San Marino,20,20,87.55,88.0,85,92
38,Griffith Observatory at night,20,20,89.85,90.0,85,92
39,Day trip up to Santa Barbara,20,20,83.0,82.0,78,85
40,Bottomless brunch in West Hollywood,20,20,70.2,72.0,42,82
41,Wine tasting in Malibu,20,20,72.2,72.0,50,82
42,Bar crawl on Abbot Kinney in Venice,20,20,44.7,45.0,35,62
43,Cannabis tasting at a licensed West Hollywood consumption lounge,20,20,33.25,35.0,0,55
44,Poker night at the Bicycle Casino in Bell Gardens,20,20,42.9,42.0,35,58
45,Day at Hollywood Park Casino,20,20,35.2,35.0,25,42
46,Betting on horses at Santa Anita,20,20,22.1,20.0,10,42
47,Paintball day in Sun Valley,20,20,68.6,68.0,62,72
48,Airsoft battle at Tac City in Fullerton,20,20,60.65,63.0,35,72
49,Off-road OHV day in Hungry Valley,20,20,66.75,69.0,55,72
50,Race car experience at Willow Springs,20,20,78.45,78.0,70,85
51,Cliff jumping at Malibu's coves,20,20,24.35,20.0,8,35
52,Sport fishing for tuna out of San Pedro,20,20,36.3,35.0,20,65
53,Spearfishing trip at Catalina,20,20,42.85,38.5,35,72
54,MMA pay-per-view watch party with cigars and whiskey,20,20,36.35,35.0,35,52
55,Hollywood club crawl on Sunset Strip,20,20,40.25,35.0,32,62
56,Cigar-and-whiskey afternoon at a Beverly Hills lounge,20,20,20.65,20.0,10,35
57,Bottle service at a Hollywood nightclub,20,20,26.15,25.0,12,50
58,Sunday service at a Calvary Chapel megachurch,20,20,49.85,50.0,35,70
59,Tour the Reagan Presidential Library,20,20,69.65,68.0,65,78
60,Tour the Nixon Presidential Library,20,20,69.95,72.0,62,74
61,Skydiving over Perris,20,20,68.2,72.0,35,82
62,Lambo rental for a Mulholland canyon run,20,20,49.6,50.0,15,78
63,Drive down to Tijuana for tacos and clubbing,20,20,63.35,62.0,50,72
64,Tour Forest Lawn for celebrity graves,20,20,55.1,55.0,42,62
65,Manson-murders true-crime walking tour of Beverly Hills,20,20,30.65,35.0,18,38
66,Boxing sparring class at a Wild Card-style gym,20,20,39.45,35.0,25,72
67,Day-drinking on a Marina del Rey booze cruise,20,20,31.6,35.0,15,50
68,Craps night at the Hustler Casino in Gardena,20,20,32.95,35.0,20,42
69,Pole-dancing fitness class for the bachelor party,20,20,65.35,63.5,50,78
70,Hunting deer in the San Gabriel Mountains,20,20,9.75,7.5,5,25
71,Hunting a at a ranch near Tejon,20,20,9.25,10.0,5,20
72,Coyote hunting in the Antelope Valley,20,20,6.25,5.0,5,15
