activity_ix,activity,n_appearances,n_decisive_appearances,n_picked,selection_rate,selection_rate_incl_refusals
0,Summit Mount Baldy,193,189,100,0.5291005291005291,0.5181347150259067
1,Hike Sandstone Peak in the Santa Monicas,190,186,102,0.5483870967741935,0.5368421052631579
2,Pickup basketball at the Venice Beach courts,201,198,99,0.5,0.4925373134328358
3,Visit LACMA,220,216,100,0.46296296296296297,0.45454545454545453
4,LAFC game at BMO Stadium,195,192,102,0.53125,0.5230769230769231
5,Rams game at SoFi Stadium,224,223,118,0.5291479820627802,0.5267857142857143
6,Korean BBQ feast in K-town,192,186,99,0.532258064516129,0.515625
7,Whale watching out of Long Beach,183,182,98,0.5384615384615384,0.5355191256830601
8,Joshua Tree day trip,193,190,95,0.5,0.49222797927461137
9,Big Bear day trip,187,183,104,0.5683060109289617,0.5561497326203209
10,Drive PCH up to Malibu,201,198,108,0.5454545454545454,0.5373134328358209
11,Bowling at Lucky Strike Hollywood,199,197,109,0.5532994923857868,0.5477386934673367
12,Brewery hop through the Arts District,218,217,113,0.5207373271889401,0.518348623853211
13,Rose Bowl Flea Market in Pasadena,216,214,114,0.5327102803738317,0.5277777777777778
14,Drive-in movie at the Vineland,202,201,104,0.5174129353233831,0.5148514851485149
15,Comedy show at the Comedy Store,204,203,97,0.47783251231527096,0.47549019607843135
16,UCB improv show in Hollywood,207,205,103,0.5024390243902439,0.4975845410628019
17,Tide pooling at Abalone Cove in Palos Verdes,194,192,92,0.4791666666666667,0.4742268041237113
18,Visit the La Brea Tar Pits,212,210,98,0.4666666666666667,0.46226415094339623
19,Sunset drive up Mulholland,209,207,100,0.4830917874396135,0.4784688995215311
20,Sunset at El Matador Beach,200,198,102,0.5151515151515151,0.51
21,Snorkel at Leo Carrillo State Beach,200,198,99,0.5,0.495
22,Pier fishing at the Santa Monica Pier,217,216,86,0.39814814814814814,0.39631336405529954
23,Hike Bridge to Nowhere in the San Gabriels,204,199,98,0.49246231155778897,0.4803921568627451
24,Topanga State Park hike,214,211,100,0.47393364928909953,0.4672897196261682
25,Trail run through Eaton Canyon,204,200,91,0.455,0.44607843137254904
26,Sturtevant Falls hike in Sierra Madre,199,199,100,0.5025125628140703,0.5025125628140703
27,Hike Temescal Canyon,190,189,98,0.5185185185185185,0.5157894736842106
28,Clippers game at the Intuit Dome,183,181,84,0.46408839779005523,0.45901639344262296
29,Angels game at Angel Stadium,211,208,113,0.5432692307692307,0.5355450236966824
30,UCLA basketball at Pauley Pavilion,213,212,106,0.5,0.49765258215962443
