activity_ix,activity,n_appearances,n_decisive_appearances,n_picked,selection_rate,selection_rate_incl_refusals
0,Summit Mount Baldy,193,184,100,0.5434782608695652,0.5181347150259067
1,Hike Sandstone Peak in the Santa Monicas,190,182,150,0.8241758241758241,0.7894736842105263
2,Pickup basketball at the Venice Beach courts,201,190,146,0.7684210526315789,0.7263681592039801
3,Visit LACMA,220,211,131,0.6208530805687204,0.5954545454545455
4,LAFC game at BMO Stadium,195,189,157,0.8306878306878307,0.8051282051282052
5,Rams game at SoFi Stadium,224,218,151,0.6926605504587156,0.6741071428571429
6,Korean BBQ feast in K-town,192,184,142,0.7717391304347826,0.7395833333333334
7,Whale watching out of Long Beach,183,180,154,0.8555555555555555,0.8415300546448088
8,Joshua Tree day trip,193,184,145,0.7880434782608695,0.7512953367875648
9,Big Bear day trip,187,173,113,0.653179190751445,0.6042780748663101
10,Drive PCH up to Malibu,201,189,153,0.8095238095238095,0.7611940298507462
11,Bowling at Lucky Strike Hollywood,199,191,101,0.5287958115183246,0.507537688442211
12,Brewery hop through the Arts District,218,212,126,0.5943396226415094,0.5779816513761468
13,Rose Bowl Flea Market in Pasadena,216,211,168,0.7962085308056872,0.7777777777777778
14,Drive-in movie at the Vineland,202,193,131,0.6787564766839378,0.6485148514851485
15,Comedy show at the Comedy Store,204,198,157,0.7929292929292929,0.7696078431372549
16,UCB improv show in Hollywood,207,198,146,0.7373737373737373,0.7053140096618358
17,Tide pooling at Abalone Cove in Palos Verdes,194,189,168,0.8888888888888888,0.865979381443299
18,Visit the La Brea Tar Pits,212,204,138,0.6764705882352942,0.6509433962264151
19,Sunset drive up Mulholland,209,193,144,0.7461139896373057,0.6889952153110048
20,Sunset at El Matador Beach,200,196,168,0.8571428571428571,0.84
21,Snorkel at Leo Carrillo State Beach,200,186,132,0.7096774193548387,0.66
22,Pier fishing at the Santa Monica Pier,217,214,145,0.677570093457944,0.6682027649769585
23,Hike Bridge to Nowhere in the San Gabriels,204,193,126,0.6528497409326425,0.6176470588235294
24,Topanga State Park hike,214,204,156,0.7647058823529411,0.7289719626168224
25,Trail run through Eaton Canyon,204,190,127,0.6684210526315789,0.6225490196078431
26,Sturtevant Falls hike in Sierra Madre,199,192,129,0.671875,0.6482412060301508
27,Hike Temescal Canyon,190,183,126,0.6885245901639344,0.6631578947368421
28,Clippers game at the Intuit Dome,183,180,137,0.7611111111111111,0.7486338797814208
29,Angels game at Angel Stadium,211,203,121,0.5960591133004927,0.5734597156398105
30,UCLA basketball at Pauley Pavilion,213,207,151,0.7294685990338164,0.7089201877934272
