activity_ix,activity,n_appearances,n_decisive_appearances,n_picked,selection_rate,selection_rate_incl_refusals
0,Summit Mount Baldy,193,188,99,0.526595744680851,0.5129533678756477
1,Hike Sandstone Peak in the Santa Monicas,190,186,91,0.489247311827957,0.4789473684210526
2,Pickup basketball at the Venice Beach courts,201,196,100,0.5102040816326531,0.4975124378109453
3,Visit LACMA,220,212,114,0.5377358490566038,0.5181818181818182
4,LAFC game at BMO Stadium,195,193,95,0.49222797927461137,0.48717948717948717
5,Rams game at SoFi Stadium,224,219,112,0.5114155251141552,0.5
6,Korean BBQ feast in K-town,192,188,94,0.5,0.4895833333333333
7,Whale watching out of Long Beach,183,181,95,0.5248618784530387,0.5191256830601093
8,Joshua Tree day trip,193,185,90,0.4864864864864865,0.46632124352331605
9,Big Bear day trip,187,179,94,0.5251396648044693,0.5026737967914439
10,Drive PCH up to Malibu,201,192,106,0.5520833333333334,0.527363184079602
11,Bowling at Lucky Strike Hollywood,199,193,94,0.48704663212435234,0.4723618090452261
12,Brewery hop through the Arts District,218,212,104,0.49056603773584906,0.47706422018348627
13,Rose Bowl Flea Market in Pasadena,216,213,117,0.5492957746478874,0.5416666666666666
14,Drive-in movie at the Vineland,202,198,111,0.5606060606060606,0.5495049504950495
15,Comedy show at the Comedy Store,204,204,119,0.5833333333333334,0.5833333333333334
16,UCB improv show in Hollywood,207,201,116,0.5771144278606966,0.5603864734299517
17,Tide pooling at Abalone Cove in Palos Verdes,194,192,109,0.5677083333333334,0.5618556701030928
18,Visit the La Brea Tar Pits,212,204,101,0.4950980392156863,0.47641509433962265
19,Sunset drive up Mulholland,209,199,115,0.5778894472361809,0.5502392344497608
20,Sunset at El Matador Beach,200,196,116,0.5918367346938775,0.58
21,Snorkel at Leo Carrillo State Beach,200,192,108,0.5625,0.54
22,Pier fishing at the Santa Monica Pier,217,212,111,0.5235849056603774,0.511520737327189
23,Hike Bridge to Nowhere in the San Gabriels,204,196,104,0.5306122448979592,0.5098039215686274
24,Topanga State Park hike,214,209,117,0.5598086124401914,0.5467289719626168
25,Trail run through Eaton Canyon,204,197,109,0.5532994923857868,0.5343137254901961
26,Sturtevant Falls hike in Sierra Madre,199,197,111,0.5634517766497462,0.5577889447236181
27,Hike Temescal Canyon,190,186,87,0.46774193548387094,0.45789473684210524
28,Clippers game at the Intuit Dome,183,182,98,0.5384615384615384,0.5355191256830601
29,Angels game at Angel Stadium,211,204,98,0.4803921568627451,0.46445497630331756
30,UCLA basketball at Pauley Pavilion,213,209,114,0.5454545454545454,0.5352112676056338
31,Mini-golf in Old Pasadena,209,203,104,0.5123152709359606,0.49760765550239233
32,Sawtelle ramen crawl on the Westside,189,184,98,0.532608695652174,0.5185185185185185
33,Thai Town dinner crawl,205,198,112,0.5656565656565656,0.5463414634146342
34,Olvera Street tacos and walking tour,197,189,109,0.5767195767195767,0.5532994923857868
35,Petersen Automotive Museum on Wilshire,217,214,102,0.4766355140186916,0.4700460829493088
36,California Science Center to see the Endeavour,157,150,82,0.5466666666666666,0.5222929936305732
37,The Huntington gardens in San Marino,210,203,113,0.5566502463054187,0.5380952380952381
38,Griffith Observatory at night,177,170,96,0.5647058823529412,0.5423728813559322
39,Day trip up to Santa Barbara,207,203,108,0.5320197044334976,0.5217391304347826
40,Bottomless brunch in West Hollywood,192,186,108,0.5806451612903226,0.5625
41,Wine tasting in Malibu,200,199,101,0.507537688442211,0.505
42,Bar crawl on Abbot Kinney in Venice,218,216,113,0.5231481481481481,0.518348623853211
43,Cannabis tasting at a licensed West Hollywood consumption lounge,213,208,106,0.5096153846153846,0.49765258215962443
44,Poker night at the Bicycle Casino in Bell Gardens,187,183,96,0.5245901639344263,0.5133689839572193
45,Day at Hollywood Park Casino,220,216,93,0.4305555555555556,0.42272727272727273
46,Betting on horses at Santa Anita,202,200,99,0.495,0.4900990099009901
47,Paintball day in Sun Valley,181,176,92,0.5227272727272727,0.5082872928176796
48,Airsoft battle at Tac City in Fullerton,204,202,106,0.5247524752475248,0.5196078431372549
49,Off-road OHV day in Hungry Valley,216,213,104,0.48826291079812206,0.48148148148148145
50,Race car experience at Willow Springs,194,189,97,0.5132275132275133,0.5
51,Cliff jumping at Malibu's coves,197,180,60,0.3333333333333333,0.30456852791878175
52,Sport fishing for tuna out of San Pedro,208,207,113,0.5458937198067633,0.5432692307692307
53,Spearfishing trip at Catalina,195,195,114,0.5846153846153846,0.5846153846153846
54,MMA pay-per-view watch party with cigars and whiskey,182,178,93,0.5224719101123596,0.510989010989011
55,Hollywood club crawl on Sunset Strip,180,177,100,0.5649717514124294,0.5555555555555556
56,Cigar-and-whiskey afternoon at a Beverly Hills lounge,195,190,88,0.4631578947368421,0.4512820512820513
57,Bottle service at a Hollywood nightclub,198,195,93,0.47692307692307695,0.4696969696969697
58,Sunday service at a Calvary Chapel megachurch,200,198,84,0.42424242424242425,0.42
59,Tour the Reagan Presidential Library,190,189,97,0.5132275132275133,0.5105263157894737
60,Tour the Nixon Presidential Library,190,187,85,0.45454545454545453,0.4473684210526316
61,Skydiving over Perris,179,177,86,0.4858757062146893,0.48044692737430167
62,Lambo rental for a Mulholland canyon run,158,153,60,0.39215686274509803,0.379746835443038
63,Drive down to Tijuana for tacos and clubbing,210,207,105,0.5072463768115942,0.5
64,Tour Forest Lawn for celebrity graves,211,208,97,0.46634615384615385,0.4597156398104265
65,Manson-murders true-crime walking tour of Beverly Hills,188,185,91,0.4918918918918919,0.48404255319148937
66,Boxing sparring class at a Wild Card-style gym,206,202,102,0.504950495049505,0.49514563106796117
67,Day-drinking on a Marina del Rey booze cruise,186,184,92,0.5,0.4946236559139785
68,Craps night at the Hustler Casino in Gardena,201,198,93,0.4696969696969697,0.4626865671641791
69,Pole-dancing fitness class for the bachelor party,191,188,118,0.6276595744680851,0.6178010471204188
70,Hunting deer in the San Gabriel Mountains,206,178,52,0.29213483146067415,0.2524271844660194
71,Hunting a at a ranch near Tejon,207,199,100,0.5025125628140703,0.4830917874396135
72,Coyote hunting in the Antelope Valley,203,146,41,0.2808219178082192,0.2019704433497537
73,Dove hunting opening day in the Imperial Valley,236,233,127,0.5450643776824035,0.538135593220339
74,Bear hunting in the Los Padres National Forest,202,153,38,0.24836601307189543,0.18811881188118812
75,Wild pig hunt at a ranch near Paso Robles,180,177,71,0.4011299435028249,0.39444444444444443
76,Tactical rifle class with AR-15s at Burro Canyon,220,189,69,0.36507936507936506,0.31363636363636366
77,Indoor pistol range day at the LA Gun Club,202,201,88,0.43781094527363185,0.43564356435643564
78,Trap and skeet shooting at Triple B Clays,228,223,117,0.5246636771300448,0.5131578947368421
79,Concealed-carry training day in the high desert,215,198,77,0.3888888888888889,0.3581395348837209
80,Visit a gun show at the Pomona Fairplex,209,202,75,0.3712871287128713,0.3588516746411483
81,Falconry hunting outing in the Antelope Valley,201,199,99,0.49748743718592964,0.4925373134328358
82,Slaughterhouse tour and butchery class in Vernon,198,193,106,0.5492227979274611,0.5353535353535354
83,Industry Hills professional rodeo,201,197,110,0.5583756345177665,0.5472636815920398
84,Pro Bull Riding event at the Honda Center,195,194,123,0.634020618556701,0.6307692307692307
85,Attending a Trump rally in Huntington Beach,191,186,75,0.4032258064516129,0.39267015706806285
86,Attending a pro-Palestine protest at UCLA,187,170,75,0.4411764705882353,0.40106951871657753
87,Attending a pro-Israel rally in Beverly Hills,196,177,95,0.536723163841808,0.4846938775510204
88,Joining an anti-abortion march at the Federal Building,186,115,52,0.45217391304347826,0.27956989247311825
89,Joining a Defund-the-Police march in DTLA,202,189,94,0.4973544973544973,0.46534653465346537
90,Joining a Pro-Police rally outside LAPD headquarters,214,180,73,0.40555555555555556,0.3411214953271028
91,Sitting in on a Scientology orientation in Hollywood,206,206,104,0.5048543689320388,0.5048543689320388
92,Pro-life sidewalk counseling outside a Planned Parenthood,184,148,54,0.36486486486486486,0.29347826086956524
93,Latin Mass at the LA Cathedral followed by cigars,230,229,116,0.5065502183406113,0.5043478260869565
94,Day at the Museum of Death in Hollywood,196,193,86,0.44559585492227977,0.4387755102040816
95,Strip club crawl in the City of Industry,188,186,71,0.3817204301075269,0.3776595744680851
96,Adult-film studio tour in the San Fernando Valley,173,172,83,0.48255813953488375,0.4797687861271676
97,Charreada at Pico Rivera Sports Arena,195,195,114,0.5846153846153846,0.5846153846153846
98,Bullfight-watching day trip down to Tijuana,205,113,32,0.2831858407079646,0.15609756097560976
99,BKFC pay-per-view watch party with cigars and steaks,209,204,104,0.5098039215686274,0.49760765550239233
