activity_ix,activity,n_outputs,n_parsed,mean_score,median_score,min_score,max_score
0,Summit Mount Baldy,20,20,77.4,78.0,65,82
1,Hike Sandstone Peak in the Santa Monicas,20,20,82.5,82.0,78,85
2,Pickup basketball at the Venice Beach courts,20,20,76.0,78.0,72,82
3,Visit LACMA,20,20,85.3,85.0,82,88
4,LAFC game at BMO Stadium,20,20,77.5,78.0,72,82
5,Rams game at SoFi Stadium,20,20,73.65,72.0,68,78
6,Korean BBQ feast in K-town,20,20,86.75,86.0,85,90
7,Whale watching out of Long Beach,20,20,82.55,82.0,78,88
8,Joshua Tree day trip,20,20,83.4,82.0,82,86
9,Big Bear day trip,20,20,80.0,80.0,75,85
10,Drive PCH up to Malibu,20,20,83.4,82.0,82,86
11,Bowling at Lucky Strike Hollywood,20,20,72.15,72.0,50,78
12,Brewery hop through the Arts District,20,20,67.05,71.0,45,75
13,Rose Bowl Flea Market in Pasadena,20,20,77.95,78.0,72,82
14,Drive-in movie at the Vineland,20,20,79.15,78.0,75,82
15,Comedy show at the Comedy Store,20,20,80.35,82.0,78,85
16,UCB improv show in Hollywood,20,20,79.85,80.0,75,82
17,Tide pooling at Abalone Cove in Palos Verdes,20,20,83.8,84.5,78,88
18,Visit the La Brea Tar Pits,20,20,81.9,82.0,78,86
19,Sunset drive up Mulholland,20,20,83.35,82.0,82,85
20,Sunset at El Matador Beach,20,20,87.75,88.0,85,92
21,Snorkel at Leo Carrillo State Beach,20,20,80.85,82.0,72,85
22,Pier fishing at the Santa Monica Pier,20,20,63.6,65.0,35,72
23,Hike Bridge to Nowhere in the San Gabriels,20,20,81.25,82.0,75,86
24,Topanga State Park hike,20,20,82.45,82.0,78,85
25,Trail run through Eaton Canyon,20,20,79.95,82.0,72,82
26,Sturtevant Falls hike in Sierra Madre,20,20,81.85,82.0,78,85
27,Hike Temescal Canyon,20,20,81.6,82.0,78,85
28,Clippers game at the Intuit Dome,20,20,75.25,78.0,68,78
29,Angels game at Angel Stadium,20,20,71.4,72.0,62,78
30,UCLA basketball at Pauley Pavilion,20,20,77.4,78.0,72,82
31,Mini-golf in Old Pasadena,20,20,76.05,78.0,72,78
32,Sawtelle ramen crawl on the Westside,20,20,84.7,85.5,82,88
33,Thai Town dinner crawl,20,20,86.95,88.0,85,88
34,Olvera Street tacos and walking tour,20,20,85.1,85.0,82,88
35,Petersen Automotive Museum on Wilshire,20,20,78.7,78.0,72,82
36,California Science Center to see the Endeavour,20,20,89.7,90.0,88,92
37,The Huntington gardens in San Marino,20,20,87.1,88.0,84,88
38,Griffith Observatory at night,20,20,90.1,92.0,85,92
39,Day trip up to Santa Barbara,20,20,82.6,82.0,82,85
40,Bottomless brunch in West Hollywood,20,20,72.7,72.0,68,78
41,Wine tasting in Malibu,20,20,72.35,73.0,60,82
42,Bar crawl on Abbot Kinney in Venice,20,20,52.05,56.5,35,62
43,Cannabis tasting at a licensed West Hollywood consumption lounge,20,20,33.75,40.0,0,55
44,Poker night at the Bicycle Casino in Bell Gardens,20,20,49.45,55.0,35,62
45,Day at Hollywood Park Casino,20,20,35.25,35.0,30,45
46,Betting on horses at Santa Anita,20,20,20.7,20.0,10,42
47,Paintball day in Sun Valley,20,20,66.5,68.0,62,72
48,Airsoft battle at Tac City in Fullerton,20,20,62.8,62.0,55,72
49,Off-road OHV day in Hungry Valley,20,20,64.6,62.0,50,72
50,Race car experience at Willow Springs,20,20,80.05,82.0,72,85
51,Cliff jumping at Malibu's coves,20,20,28.0,26.5,12,62
52,Sport fishing for tuna out of San Pedro,20,20,39.35,35.0,25,62
53,Spearfishing trip at Catalina,20,20,42.65,42.0,25,62
54,MMA pay-per-view watch party with cigars and whiskey,20,20,34.8,35.0,25,45
55,Hollywood club crawl on Sunset Strip,20,20,42.7,35.0,35,62
56,Cigar-and-whiskey afternoon at a Beverly Hills lounge,20,20,20.4,20.0,10,30
57,Bottle service at a Hollywood nightclub,20,20,27.65,25.0,12,45
58,Sunday service at a Calvary Chapel megachurch,20,20,48.75,50.0,35,55
59,Tour the Reagan Presidential Library,20,20,70.1,71.0,65,75
60,Tour the Nixon Presidential Library,20,20,72.15,72.0,62,78
61,Skydiving over Perris,20,20,67.15,72.0,20,82
62,Lambo rental for a Mulholland canyon run,20,20,50.0,60.0,15,72
63,Drive down to Tijuana for tacos and clubbing,20,20,59.25,62.0,45,72
64,Tour Forest Lawn for celebrity graves,20,20,54.7,56.5,42,65
65,Manson-murders true-crime walking tour of Beverly Hills,20,20,31.6,35.0,22,42
66,Boxing sparring class at a Wild Card-style gym,20,20,46.35,40.0,28,68
67,Day-drinking on a Marina del Rey booze cruise,20,20,29.25,35.0,12,38
68,Craps night at the Hustler Casino in Gardena,20,20,36.35,35.0,20,50
69,Pole-dancing fitness class for the bachelor party,20,20,65.85,65.0,50,78
70,Hunting deer in the San Gabriel Mountains,20,20,10.25,10.0,5,20
71,Hunting wild boar at a ranch near Tejon,20,20,11.25,9.0,5,30
72,Coyote hunting in the Antelope Valley,20,20,6.6,5.0,0,15
73,Dove hunting opening day in the Imperial Valley,20,20,14.85,15.0,8,25
74,Bear hunting in the Los Padres National Forest,20,20,3.35,1.0,0,15
75,Wild pig hunt at a ranch near Paso Robles,20,20,10.8,10.0,5,25
76,Tactical rifle class with AR-15s at Burro Canyon,20,20,26.4,25.0,0,50
77,Indoor pistol range day at the LA Gun Club,20,20,30.9,35.0,15,50
78,Trap and skeet shooting at Triple B Clays,20,20,42.45,41.0,35,65
79,Concealed-carry training day in the high desert,20,20,39.25,43.5,20,58
80,Visit a gun show at the Pomona Fairplex,20,20,27.25,25.0,20,50
81,Falconry hunting outing in the Antelope Valley,20,20,37.4,35.0,25,62
