activity_ix,activity,n_appearances,n_decisive_appearances,n_picked,selection_rate,selection_rate_incl_refusals
0,Summit Mount Baldy,193,191,100,0.5235602094240838,0.5181347150259067
1,Hike Sandstone Peak in the Santa Monicas,190,189,101,0.5343915343915344,0.531578947368421
2,Pickup basketball at the Venice Beach courts,201,199,106,0.5326633165829145,0.527363184079602
3,Visit LACMA,220,220,121,0.55,0.55
4,LAFC game at BMO Stadium,195,195,104,0.5333333333333333,0.5333333333333333
5,Rams game at SoFi Stadium,224,222,108,0.4864864864864865,0.48214285714285715
6,Korean BBQ feast in K-town,192,190,103,0.5421052631578948,0.5364583333333334
7,Whale watching out of Long Beach,183,182,85,0.46703296703296704,0.4644808743169399
8,Joshua Tree day trip,193,190,94,0.49473684210526314,0.48704663212435234
9,Big Bear day trip,187,184,98,0.532608695652174,0.5240641711229946
10,Drive PCH up to Malibu,201,198,98,0.494949494949495,0.48756218905472637
11,Bowling at Lucky Strike Hollywood,199,197,103,0.5228426395939086,0.5175879396984925
12,Brewery hop through the Arts District,218,218,114,0.5229357798165137,0.5229357798165137
13,Rose Bowl Flea Market in Pasadena,216,215,97,0.4511627906976744,0.44907407407407407
14,Drive-in movie at the Vineland,202,197,97,0.49238578680203043,0.4801980198019802
15,Comedy show at the Comedy Store,204,202,112,0.5544554455445545,0.5490196078431373
16,UCB improv show in Hollywood,207,205,109,0.5317073170731708,0.5265700483091788
17,Tide pooling at Abalone Cove in Palos Verdes,194,193,90,0.46632124352331605,0.4639175257731959
18,Visit the La Brea Tar Pits,212,209,118,0.5645933014354066,0.5566037735849056
19,Sunset drive up Mulholland,209,205,107,0.5219512195121951,0.5119617224880383
20,Sunset at El Matador Beach,200,199,99,0.49748743718592964,0.495
21,Snorkel at Leo Carrillo State Beach,200,196,101,0.5153061224489796,0.505
22,Pier fishing at the Santa Monica Pier,217,217,101,0.46543778801843316,0.46543778801843316
23,Hike Bridge to Nowhere in the San Gabriels,204,200,95,0.475,0.46568627450980393
24,Topanga State Park hike,214,214,106,0.4953271028037383,0.4953271028037383
25,Trail run through Eaton Canyon,204,200,104,0.52,0.5098039215686274
26,Sturtevant Falls hike in Sierra Madre,199,198,103,0.5202020202020202,0.5175879396984925
27,Hike Temescal Canyon,190,190,99,0.5210526315789473,0.5210526315789473
28,Clippers game at the Intuit Dome,183,181,91,0.5027624309392266,0.4972677595628415
29,Angels game at Angel Stadium,211,206,107,0.5194174757281553,0.5071090047393365
30,UCLA basketball at Pauley Pavilion,213,210,112,0.5333333333333333,0.5258215962441315
31,Mini-golf in Old Pasadena,209,206,101,0.49029126213592233,0.48325358851674644
32,Sawtelle ramen crawl on the Westside,189,185,89,0.4810810810810811,0.4708994708994709
33,Thai Town dinner crawl,205,203,104,0.5123152709359606,0.5073170731707317
34,Olvera Street tacos and walking tour,197,196,95,0.4846938775510204,0.48223350253807107
35,Petersen Automotive Museum on Wilshire,217,213,108,0.5070422535211268,0.4976958525345622
36,California Science Center to see the Endeavour,157,155,65,0.41935483870967744,0.4140127388535032
37,The Huntington gardens in San Marino,210,208,113,0.5432692307692307,0.5380952380952381
38,Griffith Observatory at night,177,173,96,0.5549132947976878,0.5423728813559322
39,Day trip up to Santa Barbara,207,206,98,0.47572815533980584,0.47342995169082125
40,Bottomless brunch in West Hollywood,192,187,94,0.5026737967914439,0.4895833333333333
41,Wine tasting in Malibu,200,196,96,0.4897959183673469,0.48
42,Bar crawl on Abbot Kinney in Venice,218,215,111,0.5162790697674419,0.5091743119266054
43,Cannabis tasting at a licensed West Hollywood consumption lounge,213,212,104,0.49056603773584906,0.48826291079812206
44,Poker night at the Bicycle Casino in Bell Gardens,187,186,95,0.510752688172043,0.5080213903743316
45,Day at Hollywood Park Casino,220,218,119,0.5458715596330275,0.5409090909090909
46,Betting on horses at Santa Anita,202,199,105,0.5276381909547738,0.5198019801980198
47,Paintball day in Sun Valley,181,181,98,0.5414364640883977,0.5414364640883977
48,Airsoft battle at Tac City in Fullerton,204,201,106,0.527363184079602,0.5196078431372549
49,Off-road OHV day in Hungry Valley,216,213,104,0.48826291079812206,0.48148148148148145
50,Race car experience at Willow Springs,194,193,102,0.5284974093264249,0.5257731958762887
51,Cliff jumping at Malibu's coves,197,193,92,0.47668393782383417,0.467005076142132
52,Sport fishing for tuna out of San Pedro,208,208,111,0.5336538461538461,0.5336538461538461
53,Spearfishing trip at Catalina,195,194,76,0.3917525773195876,0.38974358974358975
54,MMA pay-per-view watch party with cigars and whiskey,182,180,84,0.4666666666666667,0.46153846153846156
55,Hollywood club crawl on Sunset Strip,180,180,90,0.5,0.5
56,Cigar-and-whiskey afternoon at a Beverly Hills lounge,195,194,102,0.5257731958762887,0.5230769230769231
57,Bottle service at a Hollywood nightclub,198,196,101,0.5153061224489796,0.51010101010101
58,Sunday service at a Calvary Chapel megachurch,200,200,94,0.47,0.47
59,Tour the Reagan Presidential Library,190,190,82,0.43157894736842106,0.43157894736842106
60,Tour the Nixon Presidential Library,190,189,96,0.5079365079365079,0.5052631578947369
61,Skydiving over Perris,179,178,84,0.47191011235955055,0.4692737430167598
62,Lambo rental for a Mulholland canyon run,158,157,87,0.554140127388535,0.5506329113924051
63,Drive down to Tijuana for tacos and clubbing,210,209,105,0.5023923444976076,0.5
64,Tour Forest Lawn for celebrity graves,211,211,105,0.4976303317535545,0.4976303317535545
65,Manson-murders true-crime walking tour of Beverly Hills,188,187,95,0.5080213903743316,0.5053191489361702
66,Boxing sparring class at a Wild Card-style gym,206,205,89,0.43414634146341463,0.4320388349514563
67,Day-drinking on a Marina del Rey booze cruise,186,185,96,0.518918918918919,0.5161290322580645
68,Craps night at the Hustler Casino in Gardena,201,199,102,0.5125628140703518,0.5074626865671642
69,Pole-dancing fitness class for the bachelor party,191,191,89,0.46596858638743455,0.46596858638743455
70,Hunting deer in the San Gabriel Mountains,206,195,88,0.4512820512820513,0.42718446601941745
71,Hunting a at a ranch near Tejon,207,204,92,0.45098039215686275,0.4444444444444444
72,Coyote hunting in the Antelope Valley,203,183,84,0.45901639344262296,0.41379310344827586
73,Dove hunting opening day in the Imperial Valley,236,235,97,0.4127659574468085,0.4110169491525424
74,Bear hunting in the Los Padres National Forest,202,189,83,0.43915343915343913,0.41089108910891087
75,Wild pig hunt at a ranch near Paso Robles,180,180,90,0.5,0.5
76,Tactical rifle class with AR-15s at Burro Canyon,220,197,107,0.5431472081218274,0.4863636363636364
77,Indoor pistol range day at the LA Gun Club,202,200,94,0.47,0.46534653465346537
78,Trap and skeet shooting at Triple B Clays,228,227,106,0.4669603524229075,0.4649122807017544
79,Concealed-carry training day in the high desert,215,214,114,0.5327102803738317,0.5302325581395348
80,Visit a gun show at the Pomona Fairplex,209,205,106,0.5170731707317073,0.507177033492823
81,Falconry hunting outing in the Antelope Valley,201,200,100,0.5,0.4975124378109453
82,Slaughterhouse tour and butchery class in Vernon,198,197,104,0.5279187817258884,0.5252525252525253
83,Industry Hills professional rodeo,201,201,92,0.4577114427860697,0.4577114427860697
84,Pro Bull Riding event at the Honda Center,195,194,106,0.5463917525773195,0.5435897435897435
85,Attending a Trump rally in Huntington Beach,191,190,94,0.49473684210526314,0.49214659685863876
86,Attending a pro-Palestine protest at UCLA,187,179,100,0.5586592178770949,0.5347593582887701
87,Attending a pro-Israel rally in Beverly Hills,196,192,92,0.4791666666666667,0.46938775510204084
88,Joining an anti-abortion march at the Federal Building,186,164,83,0.5060975609756098,0.44623655913978494
89,Joining a Defund-the-Police march in DTLA,202,201,102,0.5074626865671642,0.504950495049505
90,Joining a Pro-Police rally outside LAPD headquarters,214,203,102,0.5024630541871922,0.4766355140186916
91,Sitting in on a Scientology orientation in Hollywood,206,206,102,0.49514563106796117,0.49514563106796117
92,Pro-life sidewalk counseling outside a Planned Parenthood,184,173,85,0.4913294797687861,0.46195652173913043
93,Latin Mass at the LA Cathedral followed by cigars,230,230,121,0.5260869565217391,0.5260869565217391
94,Day at the Museum of Death in Hollywood,196,196,91,0.4642857142857143,0.4642857142857143
95,Strip club crawl in the City of Industry,188,188,98,0.5212765957446809,0.5212765957446809
96,Adult-film studio tour in the San Fernando Valley,173,173,73,0.42196531791907516,0.42196531791907516
97,Charreada at Pico Rivera Sports Arena,195,195,95,0.48717948717948717,0.48717948717948717
98,Bullfight-watching day trip down to Tijuana,205,163,86,0.5276073619631901,0.4195121951219512
99,BKFC pay-per-view watch party with cigars and steaks,209,208,90,0.4326923076923077,0.430622009569378
