activity_ix,activity,n_appearances,n_decisive_appearances,n_picked,selection_rate,selection_rate_incl_refusals
0,Summit Mount Baldy,193,183,103,0.5628415300546448,0.533678756476684
1,Hike Sandstone Peak in the Santa Monicas,190,180,143,0.7944444444444444,0.7526315789473684
2,Pickup basketball at the Venice Beach courts,201,190,150,0.7894736842105263,0.746268656716418
3,Visit LACMA,220,208,131,0.6298076923076923,0.5954545454545455
4,LAFC game at BMO Stadium,195,191,150,0.7853403141361257,0.7692307692307693
5,Rams game at SoFi Stadium,224,217,145,0.6682027649769585,0.6473214285714286
6,Korean BBQ feast in K-town,192,189,137,0.7248677248677249,0.7135416666666666
7,Whale watching out of Long Beach,183,177,153,0.864406779661017,0.8360655737704918
8,Joshua Tree day trip,193,183,138,0.7540983606557377,0.7150259067357513
9,Big Bear day trip,187,175,116,0.6628571428571428,0.6203208556149733
10,Drive PCH up to Malibu,201,191,148,0.774869109947644,0.736318407960199
11,Bowling at Lucky Strike Hollywood,199,187,100,0.5347593582887701,0.5025125628140703
12,Brewery hop through the Arts District,218,212,125,0.589622641509434,0.573394495412844
13,Rose Bowl Flea Market in Pasadena,216,210,153,0.7285714285714285,0.7083333333333334
14,Drive-in movie at the Vineland,202,193,134,0.694300518134715,0.6633663366336634
15,Comedy show at the Comedy Store,204,199,149,0.7487437185929648,0.7303921568627451
16,UCB improv show in Hollywood,207,196,144,0.7346938775510204,0.6956521739130435
17,Tide pooling at Abalone Cove in Palos Verdes,194,189,164,0.8677248677248677,0.845360824742268
18,Visit the La Brea Tar Pits,212,201,131,0.6517412935323383,0.6179245283018868
19,Sunset drive up Mulholland,209,196,138,0.7040816326530612,0.6602870813397129
20,Sunset at El Matador Beach,200,195,168,0.8615384615384616,0.84
21,Snorkel at Leo Carrillo State Beach,200,191,141,0.7382198952879581,0.705
22,Pier fishing at the Santa Monica Pier,217,206,130,0.6310679611650486,0.5990783410138248
23,Hike Bridge to Nowhere in the San Gabriels,204,194,131,0.6752577319587629,0.6421568627450981
24,Topanga State Park hike,214,200,149,0.745,0.6962616822429907
25,Trail run through Eaton Canyon,204,191,131,0.6858638743455497,0.6421568627450981
26,Sturtevant Falls hike in Sierra Madre,199,194,135,0.6958762886597938,0.678391959798995
27,Hike Temescal Canyon,190,182,122,0.6703296703296703,0.6421052631578947
28,Clippers game at the Intuit Dome,183,174,125,0.7183908045977011,0.6830601092896175
29,Angels game at Angel Stadium,211,200,127,0.635,0.6018957345971564
30,UCLA basketball at Pauley Pavilion,213,205,146,0.7121951219512195,0.6854460093896714
31,Mini-golf in Old Pasadena,209,196,128,0.6530612244897959,0.6124401913875598
32,Sawtelle ramen crawl on the Westside,189,182,131,0.7197802197802198,0.6931216931216931
33,Thai Town dinner crawl,205,196,160,0.8163265306122449,0.7804878048780488
34,Olvera Street tacos and walking tour,197,180,141,0.7833333333333333,0.7157360406091371
35,Petersen Automotive Museum on Wilshire,217,207,122,0.5893719806763285,0.5622119815668203
36,California Science Center to see the Endeavour,157,153,120,0.7843137254901961,0.7643312101910829
37,The Huntington gardens in San Marino,210,197,159,0.8071065989847716,0.7571428571428571
38,Griffith Observatory at night,177,162,138,0.8518518518518519,0.7796610169491526
39,Day trip up to Santa Barbara,207,196,149,0.7602040816326531,0.7198067632850241
