activity_ix,activity,n_appearances,n_decisive_appearances,n_picked,selection_rate,selection_rate_incl_refusals
0,Summit Mount Baldy,193,190,97,0.5105263157894737,0.5025906735751295
1,Hike Sandstone Peak in the Santa Monicas,190,183,94,0.5136612021857924,0.49473684210526314
2,Pickup basketball at the Venice Beach courts,201,195,107,0.5487179487179488,0.5323383084577115
3,Visit LACMA,220,214,104,0.48598130841121495,0.4727272727272727
4,LAFC game at BMO Stadium,195,192,100,0.5208333333333334,0.5128205128205128
5,Rams game at SoFi Stadium,224,220,112,0.509090909090909,0.5
6,Korean BBQ feast in K-town,192,186,104,0.5591397849462365,0.5416666666666666
7,Whale watching out of Long Beach,183,180,92,0.5111111111111111,0.5027322404371585
8,Joshua Tree day trip,193,186,102,0.5483870967741935,0.5284974093264249
9,Big Bear day trip,187,176,95,0.5397727272727273,0.5080213903743316
10,Drive PCH up to Malibu,201,193,95,0.49222797927461137,0.472636815920398
11,Bowling at Lucky Strike Hollywood,199,192,100,0.5208333333333334,0.5025125628140703
12,Brewery hop through the Arts District,218,211,112,0.5308056872037915,0.5137614678899083
13,Rose Bowl Flea Market in Pasadena,216,211,128,0.6066350710900474,0.5925925925925926
14,Drive-in movie at the Vineland,202,196,107,0.5459183673469388,0.5297029702970297
15,Comedy show at the Comedy Store,204,200,112,0.56,0.5490196078431373
16,UCB improv show in Hollywood,207,198,117,0.5909090909090909,0.5652173913043478
17,Tide pooling at Abalone Cove in Palos Verdes,194,191,108,0.5654450261780105,0.5567010309278351
18,Visit the La Brea Tar Pits,212,202,101,0.5,0.47641509433962265
19,Sunset drive up Mulholland,209,198,99,0.5,0.47368421052631576
20,Sunset at El Matador Beach,200,198,96,0.48484848484848486,0.48
21,Snorkel at Leo Carrillo State Beach,200,191,103,0.5392670157068062,0.515
22,Pier fishing at the Santa Monica Pier,217,216,120,0.5555555555555556,0.5529953917050692
23,Hike Bridge to Nowhere in the San Gabriels,204,196,108,0.5510204081632653,0.5294117647058824
24,Topanga State Park hike,214,205,92,0.44878048780487806,0.42990654205607476
25,Trail run through Eaton Canyon,204,198,107,0.5404040404040404,0.5245098039215687
26,Sturtevant Falls hike in Sierra Madre,199,193,91,0.47150259067357514,0.457286432160804
27,Hike Temescal Canyon,190,187,98,0.5240641711229946,0.5157894736842106
28,Clippers game at the Intuit Dome,183,178,88,0.4943820224719101,0.4808743169398907
29,Angels game at Angel Stadium,211,206,111,0.5388349514563107,0.5260663507109005
30,UCLA basketball at Pauley Pavilion,213,210,114,0.5428571428571428,0.5352112676056338
31,Mini-golf in Old Pasadena,209,202,112,0.5544554455445545,0.5358851674641149
