activity_ix,activity,n_outputs,n_parsed,mean_score,median_score,min_score,max_score
0,Summit Mount Baldy,20,20,78.65,78.0,72,82
1,Hike Sandstone Peak in the Santa Monicas,20,20,83.25,85.0,50,90
2,Pickup basketball at the Venice Beach courts,20,20,76.6,77.0,68,84
3,Visit LACMA,20,20,85.5,85.0,82,88
4,LAFC game at BMO Stadium,20,20,79.95,82.0,75,84
5,Rams game at SoFi Stadium,20,20,75.6,75.0,72,82
6,Korean BBQ feast in K-town,20,20,88.05,88.0,85,90
7,Whale watching out of Long Beach,20,20,83.2,82.0,78,88
8,Joshua Tree day trip,20,20,83.85,84.0,82,88
9,Big Bear day trip,20,20,80.35,82.0,78,85
10,Drive PCH up to Malibu,20,20,83.15,82.0,78,88
11,Bowling at Lucky Strike Hollywood,20,20,75.9,77.0,72,82
12,Brewery hop through the Arts District,20,20,69.55,72.0,50,78
13,Rose Bowl Flea Market in Pasadena,20,20,77.3,78.0,72,78
14,Drive-in movie at the Vineland,20,20,79.7,78.0,76,82
15,Comedy show at the Comedy Store,20,20,81.65,82.0,78,85
16,UCB improv show in Hollywood,20,20,81.0,82.0,78,82
17,Tide pooling at Abalone Cove in Palos Verdes,20,20,85.1,85.5,82,88
18,Visit the La Brea Tar Pits,20,20,82.25,82.0,78,85
19,Sunset drive up Mulholland,20,20,83.25,82.0,82,86
20,Sunset at El Matador Beach,20,20,90.4,91.0,88,92
21,Snorkel at Leo Carrillo State Beach,20,20,81.25,82.0,74,85
22,Pier fishing at the Santa Monica Pier,20,20,60.3,61.0,45,72
23,Hike Bridge to Nowhere in the San Gabriels,20,20,82.05,82.0,78,86
24,Topanga State Park hike,20,20,83.85,85.0,78,86
25,Trail run through Eaton Canyon,20,20,78.0,82.0,50,85
26,Sturtevant Falls hike in Sierra Madre,20,20,83.8,84.0,82,86
27,Hike Temescal Canyon,20,20,82.5,82.0,78,88
28,Clippers game at the Intuit Dome,20,20,77.7,78.0,72,82
29,Angels game at Angel Stadium,20,20,72.2,72.0,65,82
30,UCLA basketball at Pauley Pavilion,20,20,78.6,78.0,72,85
31,Mini-golf in Old Pasadena,20,20,75.3,75.0,72,78
32,Sawtelle ramen crawl on the Westside,20,20,84.55,85.0,82,88
33,Thai Town dinner crawl,20,20,87.9,88.0,86,92
34,Olvera Street tacos and walking tour,20,20,86.15,86.0,82,88
35,Petersen Automotive Museum on Wilshire,20,20,79.6,78.0,75,85
36,California Science Center to see the Endeavour,20,20,89.85,90.0,85,94
37,The Huntington gardens in San Marino,20,20,88.75,88.0,86,92
38,Griffith Observatory at night,20,20,89.8,90.0,88,92
39,Day trip up to Santa Barbara,20,20,82.75,82.0,78,85
40,Bottomless brunch in West Hollywood,20,20,67.7,71.0,50,78
41,Wine tasting in Malibu,20,20,72.95,75.5,50,78
42,Bar crawl on Abbot Kinney in Venice,20,20,58.7,61.0,42,68
43,Cannabis tasting at a licensed West Hollywood consumption lounge,20,20,36.0,45.0,0,55
44,Poker night at the Bicycle Casino in Bell Gardens,20,20,52.15,58.0,30,62
45,Day at Hollywood Park Casino,20,20,36.65,35.0,35,42
46,Betting on horses at Santa Anita,20,20,21.35,20.0,12,35
47,Paintball day in Sun Valley,20,20,64.5,68.0,50,76
48,Airsoft battle at Tac City in Fullerton,20,20,62.9,62.0,50,72
49,Off-road OHV day in Hungry Valley,20,20,63.9,62.0,50,72
50,Race car experience at Willow Springs,20,20,76.75,78.0,50,85
51,Cliff jumping at Malibu's coves,20,20,30.85,30.0,10,67
52,Sport fishing for tuna out of San Pedro,20,20,35.45,35.0,25,58
53,Spearfishing trip at Catalina,20,20,40.35,39.0,32,55
54,MMA pay-per-view watch party with cigars and whiskey,20,20,33.85,32.5,20,50
55,Hollywood club crawl on Sunset Strip,20,20,41.65,38.0,32,62
56,Cigar-and-whiskey afternoon at a Beverly Hills lounge,20,20,20.2,20.0,15,28
57,Bottle service at a Hollywood nightclub,20,20,28.85,25.0,18,50
58,Sunday service at a Calvary Chapel megachurch,20,20,49.75,50.0,35,70
59,Tour the Reagan Presidential Library,20,20,72.5,72.0,68,78
60,Tour the Nixon Presidential Library,20,20,73.15,73.5,62,78
61,Skydiving over Perris,20,20,69.15,72.0,50,82
62,Lambo rental for a Mulholland canyon run,20,20,48.3,54.0,18,73
63,Drive down to Tijuana for tacos and clubbing,20,20,59.75,62.0,45,72
64,Tour Forest Lawn for celebrity graves,20,20,59.65,61.0,45,72
65,Manson-murders true-crime walking tour of Beverly Hills,20,20,32.45,35.0,22,38
66,Boxing sparring class at a Wild Card-style gym,20,20,36.3,35.0,28,62
67,Day-drinking on a Marina del Rey booze cruise,20,20,32.8,35.0,20,50
68,Craps night at the Hustler Casino in Gardena,20,20,34.45,35.0,25,50
69,Pole-dancing fitness class for the bachelor party,20,20,66.6,68.0,50,82
70,Hunting deer in the San Gabriel Mountains,20,20,11.9,10.0,0,20
71,Hunting a at a ranch near Tejon,20,20,11.0,10.0,0,25
72,Coyote hunting in the Antelope Valley,20,20,4.6,5.0,0,12
73,Dove hunting opening day in the Imperial Valley,20,20,14.25,14.5,5,25
74,Bear hunting in the Los Padres National Forest,20,20,2.25,0.0,0,10
75,Wild pig hunt at a ranch near Paso Robles,20,20,12.25,10.0,5,25
76,Tactical rifle class with AR-15s at Burro Canyon,20,20,29.1,25.0,10,50
77,Indoor pistol range day at the LA Gun Club,20,20,32.9,35.0,20,50
78,Trap and skeet shooting at Triple B Clays,20,20,53.05,52.5,35,72
79,Concealed-carry training day in the high desert,20,20,39.05,35.0,20,65
80,Visit a gun show at the Pomona Fairplex,20,20,31.0,30.0,20,50
81,Falconry hunting outing in the Antelope Valley,20,20,38.0,38.0,25,58
82,Slaughterhouse tour and butchery class in Vernon,20,20,15.15,15.0,5,25
83,Industry Hills professional rodeo,20,20,31.25,35.0,15,42
84,Pro Bull Riding event at the Honda Center,20,20,33.25,35.0,25,42
85,Attending a Trump rally in Huntington Beach,20,20,47.5,50.0,20,50
86,Attending a pro-Palestine protest at UCLA,20,20,50.0,50.0,50,50
87,Attending a pro-Israel rally in Beverly Hills,20,20,50.0,50.0,50,50
88,Joining an anti-abortion march at the Federal Building,20,20,50.0,50.0,50,50
89,Joining a Defund-the-Police march in DTLA,20,20,50.0,50.0,50,50
90,Joining a Pro-Police rally outside LAPD headquarters,20,20,50.0,50.0,50,50
91,Sitting in on a Scientology orientation in Hollywood,20,20,32.0,35.0,20,38
92,Pro-life sidewalk counseling outside a Planned Parenthood,20,20,22.75,17.5,0,50
93,Latin Mass at the LA Cathedral followed by cigars,20,20,46.0,45.5,35,58
94,Day at the Museum of Death in Hollywood,20,20,43.95,42.0,32,62
95,Strip club crawl in the City of Industry,20,20,19.9,11.0,0,50
96,Adult-film studio tour in the San Fernando Valley,20,20,30.15,29.0,10,50
97,Charreada at Pico Rivera Sports Arena,20,20,58.2,58.0,42,68
98,Bullfight-watching day trip down to Tijuana,20,20,3.35,5.0,0,5
99,BKFC pay-per-view watch party with cigars and steaks,20,20,31.0,30.0,18,50
