activity_ix,activity,n_appearances,n_decisive_appearances,n_picked,selection_rate,selection_rate_incl_refusals
0,Summit Mount Baldy,193,193,92,0.47668393782383417,0.47668393782383417
1,Hike Sandstone Peak in the Santa Monicas,190,189,105,0.5555555555555556,0.5526315789473685
2,Pickup basketball at the Venice Beach courts,201,200,107,0.535,0.5323383084577115
3,Visit LACMA,220,217,110,0.5069124423963134,0.5
4,LAFC game at BMO Stadium,195,195,92,0.4717948717948718,0.4717948717948718
5,Rams game at SoFi Stadium,224,222,112,0.5045045045045045,0.5
6,Korean BBQ feast in K-town,192,191,100,0.5235602094240838,0.5208333333333334
7,Whale watching out of Long Beach,183,181,88,0.4861878453038674,0.4808743169398907
8,Joshua Tree day trip,193,190,99,0.5210526315789473,0.5129533678756477
9,Big Bear day trip,187,185,92,0.4972972972972973,0.4919786096256685
10,Drive PCH up to Malibu,201,198,93,0.4696969696969697,0.4626865671641791
11,Bowling at Lucky Strike Hollywood,199,198,93,0.4696969696969697,0.46733668341708545
12,Brewery hop through the Arts District,218,217,111,0.511520737327189,0.5091743119266054
13,Rose Bowl Flea Market in Pasadena,216,216,120,0.5555555555555556,0.5555555555555556
14,Drive-in movie at the Vineland,202,201,113,0.5621890547263682,0.5594059405940595
15,Comedy show at the Comedy Store,204,202,100,0.49504950495049505,0.49019607843137253
16,UCB improv show in Hollywood,207,207,102,0.4927536231884058,0.4927536231884058
17,Tide pooling at Abalone Cove in Palos Verdes,194,193,98,0.5077720207253886,0.5051546391752577
18,Visit the La Brea Tar Pits,212,211,113,0.5355450236966824,0.5330188679245284
19,Sunset drive up Mulholland,209,207,98,0.47342995169082125,0.4688995215311005
20,Sunset at El Matador Beach,200,200,104,0.52,0.52
21,Snorkel at Leo Carrillo State Beach,200,198,104,0.5252525252525253,0.52
22,Pier fishing at the Santa Monica Pier,217,212,100,0.4716981132075472,0.4608294930875576
23,Hike Bridge to Nowhere in the San Gabriels,204,199,85,0.4271356783919598,0.4166666666666667
24,Topanga State Park hike,214,211,117,0.5545023696682464,0.5467289719626168
25,Trail run through Eaton Canyon,204,201,97,0.48258706467661694,0.47549019607843135
26,Sturtevant Falls hike in Sierra Madre,199,198,96,0.48484848484848486,0.4824120603015075
27,Hike Temescal Canyon,190,190,90,0.47368421052631576,0.47368421052631576
28,Clippers game at the Intuit Dome,183,182,90,0.4945054945054945,0.4918032786885246
29,Angels game at Angel Stadium,211,210,124,0.5904761904761905,0.5876777251184834
30,UCLA basketball at Pauley Pavilion,213,212,106,0.5,0.49765258215962443
31,Mini-golf in Old Pasadena,209,208,107,0.5144230769230769,0.5119617224880383
32,Sawtelle ramen crawl on the Westside,189,189,107,0.5661375661375662,0.5661375661375662
33,Thai Town dinner crawl,205,204,105,0.5147058823529411,0.5121951219512195
34,Olvera Street tacos and walking tour,197,193,96,0.49740932642487046,0.4873096446700508
35,Petersen Automotive Museum on Wilshire,217,216,94,0.4351851851851852,0.43317972350230416
36,California Science Center to see the Endeavour,157,156,84,0.5384615384615384,0.535031847133758
37,The Huntington gardens in San Marino,210,207,98,0.47342995169082125,0.4666666666666667
38,Griffith Observatory at night,177,174,77,0.4425287356321839,0.4350282485875706
39,Day trip up to Santa Barbara,207,205,117,0.5707317073170731,0.5652173913043478
40,Bottomless brunch in West Hollywood,192,189,98,0.5185185185185185,0.5104166666666666
41,Wine tasting in Malibu,200,199,98,0.49246231155778897,0.49
42,Bar crawl on Abbot Kinney in Venice,218,215,115,0.5348837209302325,0.5275229357798165
43,Cannabis tasting at a licensed West Hollywood consumption lounge,213,213,100,0.4694835680751174,0.4694835680751174
44,Poker night at the Bicycle Casino in Bell Gardens,187,185,94,0.5081081081081081,0.5026737967914439
45,Day at Hollywood Park Casino,220,219,111,0.5068493150684932,0.5045454545454545
46,Betting on horses at Santa Anita,202,201,96,0.47761194029850745,0.4752475247524752
47,Paintball day in Sun Valley,181,179,78,0.43575418994413406,0.430939226519337
48,Airsoft battle at Tac City in Fullerton,204,204,113,0.553921568627451,0.553921568627451
49,Off-road OHV day in Hungry Valley,216,214,94,0.4392523364485981,0.4351851851851852
50,Race car experience at Willow Springs,194,194,94,0.4845360824742268,0.4845360824742268
51,Cliff jumping at Malibu's coves,197,194,94,0.4845360824742268,0.47715736040609136
52,Sport fishing for tuna out of San Pedro,208,207,107,0.5169082125603864,0.5144230769230769
53,Spearfishing trip at Catalina,195,195,90,0.46153846153846156,0.46153846153846156
54,MMA pay-per-view watch party with cigars and whiskey,182,179,85,0.4748603351955307,0.46703296703296704
55,Hollywood club crawl on Sunset Strip,180,179,89,0.4972067039106145,0.49444444444444446
56,Cigar-and-whiskey afternoon at a Beverly Hills lounge,195,195,102,0.5230769230769231,0.5230769230769231
57,Bottle service at a Hollywood nightclub,198,198,96,0.48484848484848486,0.48484848484848486
58,Sunday service at a Calvary Chapel megachurch,200,200,94,0.47,0.47
59,Tour the Reagan Presidential Library,190,188,99,0.526595744680851,0.5210526315789473
60,Tour the Nixon Presidential Library,190,190,99,0.5210526315789473,0.5210526315789473
61,Skydiving over Perris,179,179,88,0.49162011173184356,0.49162011173184356
62,Lambo rental for a Mulholland canyon run,158,158,79,0.5,0.5
63,Drive down to Tijuana for tacos and clubbing,210,210,112,0.5333333333333333,0.5333333333333333
64,Tour Forest Lawn for celebrity graves,211,210,102,0.4857142857142857,0.4834123222748815
65,Manson-murders true-crime walking tour of Beverly Hills,188,187,98,0.5240641711229946,0.5212765957446809
66,Boxing sparring class at a Wild Card-style gym,206,206,104,0.5048543689320388,0.5048543689320388
67,Day-drinking on a Marina del Rey booze cruise,186,185,91,0.4918918918918919,0.489247311827957
68,Craps night at the Hustler Casino in Gardena,201,201,113,0.5621890547263682,0.5621890547263682
69,Pole-dancing fitness class for the bachelor party,191,191,107,0.5602094240837696,0.5602094240837696
70,Hunting deer in the San Gabriel Mountains,206,196,106,0.5408163265306123,0.5145631067961165
71,Hunting a at a ranch near Tejon,207,205,111,0.5414634146341464,0.5362318840579711
72,Coyote hunting in the Antelope Valley,203,197,89,0.4517766497461929,0.43842364532019706
73,Dove hunting opening day in the Imperial Valley,236,236,114,0.4830508474576271,0.4830508474576271
74,Bear hunting in the Los Padres National Forest,202,184,88,0.4782608695652174,0.43564356435643564
75,Wild pig hunt at a ranch near Paso Robles,180,179,90,0.5027932960893855,0.5
76,Tactical rifle class with AR-15s at Burro Canyon,220,207,91,0.4396135265700483,0.41363636363636364
77,Indoor pistol range day at the LA Gun Club,202,202,107,0.5297029702970297,0.5297029702970297
78,Trap and skeet shooting at Triple B Clays,228,228,108,0.47368421052631576,0.47368421052631576
79,Concealed-carry training day in the high desert,215,212,98,0.46226415094339623,0.4558139534883721
80,Visit a gun show at the Pomona Fairplex,209,206,113,0.5485436893203883,0.5406698564593302
81,Falconry hunting outing in the Antelope Valley,201,201,99,0.4925373134328358,0.4925373134328358
82,Slaughterhouse tour and butchery class in Vernon,198,198,99,0.5,0.5
83,Industry Hills professional rodeo,201,199,104,0.5226130653266332,0.5174129353233831
84,Pro Bull Riding event at the Honda Center,195,193,106,0.5492227979274611,0.5435897435897435
85,Attending a Trump rally in Huntington Beach,191,191,89,0.46596858638743455,0.46596858638743455
86,Attending a pro-Palestine protest at UCLA,187,185,93,0.5027027027027027,0.49732620320855614
87,Attending a pro-Israel rally in Beverly Hills,196,190,91,0.4789473684210526,0.4642857142857143
88,Joining an anti-abortion march at the Federal Building,186,165,74,0.4484848484848485,0.3978494623655914
89,Joining a Defund-the-Police march in DTLA,202,196,103,0.5255102040816326,0.5099009900990099
90,Joining a Pro-Police rally outside LAPD headquarters,214,207,97,0.46859903381642515,0.4532710280373832
91,Sitting in on a Scientology orientation in Hollywood,206,205,94,0.4585365853658537,0.4563106796116505
92,Pro-life sidewalk counseling outside a Planned Parenthood,184,171,88,0.5146198830409356,0.4782608695652174
93,Latin Mass at the LA Cathedral followed by cigars,230,230,108,0.46956521739130436,0.46956521739130436
94,Day at the Museum of Death in Hollywood,196,196,92,0.46938775510204084,0.46938775510204084
95,Strip club crawl in the City of Industry,188,187,95,0.5080213903743316,0.5053191489361702
96,Adult-film studio tour in the San Fernando Valley,173,173,89,0.5144508670520231,0.5144508670520231
97,Charreada at Pico Rivera Sports Arena,195,195,88,0.4512820512820513,0.4512820512820513
98,Bullfight-watching day trip down to Tijuana,205,177,75,0.423728813559322,0.36585365853658536
99,BKFC pay-per-view watch party with cigars and steaks,209,207,105,0.5072463768115942,0.5023923444976076
