activity_ix,activity,n_appearances,n_decisive_appearances,n_picked,selection_rate,selection_rate_incl_refusals
0,Summit Mount Baldy,193,183,90,0.4918032786885246,0.46632124352331605
1,Hike Sandstone Peak in the Santa Monicas,190,178,143,0.8033707865168539,0.7526315789473684
2,Pickup basketball at the Venice Beach courts,201,189,138,0.7301587301587301,0.6865671641791045
3,Visit LACMA,220,209,136,0.6507177033492823,0.6181818181818182
4,LAFC game at BMO Stadium,195,185,143,0.772972972972973,0.7333333333333333
5,Rams game at SoFi Stadium,224,213,140,0.6572769953051644,0.625
6,Korean BBQ feast in K-town,192,183,139,0.7595628415300546,0.7239583333333334
7,Whale watching out of Long Beach,183,175,149,0.8514285714285714,0.8142076502732241
8,Joshua Tree day trip,193,186,137,0.7365591397849462,0.7098445595854922
9,Big Bear day trip,187,174,121,0.6954022988505747,0.6470588235294118
10,Drive PCH up to Malibu,201,187,147,0.786096256684492,0.7313432835820896
11,Bowling at Lucky Strike Hollywood,199,187,111,0.5935828877005348,0.5577889447236181
12,Brewery hop through the Arts District,218,206,112,0.5436893203883495,0.5137614678899083
13,Rose Bowl Flea Market in Pasadena,216,209,133,0.6363636363636364,0.6157407407407407
14,Drive-in movie at the Vineland,202,190,135,0.7105263157894737,0.6683168316831684
15,Comedy show at the Comedy Store,204,199,148,0.7437185929648241,0.7254901960784313
16,UCB improv show in Hollywood,207,194,143,0.7371134020618557,0.6908212560386473
17,Tide pooling at Abalone Cove in Palos Verdes,194,182,150,0.8241758241758241,0.7731958762886598
18,Visit the La Brea Tar Pits,212,204,148,0.7254901960784313,0.6981132075471698
19,Sunset drive up Mulholland,209,188,140,0.7446808510638298,0.6698564593301436
20,Sunset at El Matador Beach,200,194,167,0.8608247422680413,0.835
21,Snorkel at Leo Carrillo State Beach,200,184,135,0.7336956521739131,0.675
22,Pier fishing at the Santa Monica Pier,217,207,134,0.6473429951690821,0.6175115207373272
23,Hike Bridge to Nowhere in the San Gabriels,204,192,109,0.5677083333333334,0.5343137254901961
24,Topanga State Park hike,214,204,154,0.7549019607843137,0.719626168224299
25,Trail run through Eaton Canyon,204,190,130,0.6842105263157895,0.6372549019607843
26,Sturtevant Falls hike in Sierra Madre,199,189,134,0.708994708994709,0.6733668341708543
27,Hike Temescal Canyon,190,179,128,0.7150837988826816,0.6736842105263158
28,Clippers game at the Intuit Dome,183,177,125,0.7062146892655368,0.6830601092896175
29,Angels game at Angel Stadium,211,200,120,0.6,0.5687203791469194
30,UCLA basketball at Pauley Pavilion,213,204,140,0.6862745098039216,0.6572769953051644
31,Mini-golf in Old Pasadena,209,198,133,0.6717171717171717,0.6363636363636364
32,Sawtelle ramen crawl on the Westside,189,180,127,0.7055555555555556,0.671957671957672
33,Thai Town dinner crawl,205,190,170,0.8947368421052632,0.8292682926829268
34,Olvera Street tacos and walking tour,197,174,134,0.7701149425287356,0.6802030456852792
35,Petersen Automotive Museum on Wilshire,217,205,135,0.6585365853658537,0.6221198156682027
36,California Science Center to see the Endeavour,157,150,107,0.7133333333333334,0.6815286624203821
37,The Huntington gardens in San Marino,210,194,154,0.7938144329896907,0.7333333333333333
38,Griffith Observatory at night,177,165,132,0.8,0.7457627118644068
39,Day trip up to Santa Barbara,207,194,150,0.7731958762886598,0.7246376811594203
40,Bottomless brunch in West Hollywood,192,181,84,0.46408839779005523,0.4375
41,Wine tasting in Malibu,200,190,135,0.7105263157894737,0.675
42,Bar crawl on Abbot Kinney in Venice,218,200,102,0.51,0.46788990825688076
43,Cannabis tasting at a licensed West Hollywood consumption lounge,213,198,54,0.2727272727272727,0.2535211267605634
44,Poker night at the Bicycle Casino in Bell Gardens,187,179,60,0.33519553072625696,0.32085561497326204
45,Day at Hollywood Park Casino,220,212,64,0.3018867924528302,0.2909090909090909
46,Betting on horses at Santa Anita,202,190,47,0.24736842105263157,0.23267326732673269
47,Paintball day in Sun Valley,181,175,108,0.6171428571428571,0.5966850828729282
48,Airsoft battle at Tac City in Fullerton,204,195,121,0.6205128205128205,0.5931372549019608
49,Off-road OHV day in Hungry Valley,216,203,127,0.625615763546798,0.5879629629629629
50,Race car experience at Willow Springs,194,181,151,0.8342541436464088,0.7783505154639175
51,Cliff jumping at Malibu's coves,197,130,5,0.038461538461538464,0.025380710659898477
52,Sport fishing for tuna out of San Pedro,208,205,161,0.7853658536585366,0.7740384615384616
53,Spearfishing trip at Catalina,195,190,136,0.7157894736842105,0.6974358974358974
54,MMA pay-per-view watch party with cigars and whiskey,182,176,55,0.3125,0.3021978021978022
55,Hollywood club crawl on Sunset Strip,180,169,61,0.3609467455621302,0.3388888888888889
56,Cigar-and-whiskey afternoon at a Beverly Hills lounge,195,185,38,0.20540540540540542,0.19487179487179487
57,Bottle service at a Hollywood nightclub,198,186,46,0.24731182795698925,0.23232323232323232
58,Sunday service at a Calvary Chapel megachurch,200,194,62,0.31958762886597936,0.31
59,Tour the Reagan Presidential Library,190,182,83,0.45604395604395603,0.4368421052631579
60,Tour the Nixon Presidential Library,190,180,89,0.49444444444444446,0.46842105263157896
61,Skydiving over Perris,179,171,90,0.5263157894736842,0.5027932960893855
62,Lambo rental for a Mulholland canyon run,158,153,23,0.1503267973856209,0.14556962025316456
63,Drive down to Tijuana for tacos and clubbing,210,205,66,0.32195121951219513,0.3142857142857143
64,Tour Forest Lawn for celebrity graves,211,198,98,0.494949494949495,0.46445497630331756
65,Manson-murders true-crime walking tour of Beverly Hills,188,183,55,0.3005464480874317,0.2925531914893617
66,Boxing sparring class at a Wild Card-style gym,206,198,53,0.2676767676767677,0.25728155339805825
67,Day-drinking on a Marina del Rey booze cruise,186,177,69,0.3898305084745763,0.3709677419354839
68,Craps night at the Hustler Casino in Gardena,201,193,60,0.31088082901554404,0.29850746268656714
69,Pole-dancing fitness class for the bachelor party,191,182,145,0.7967032967032966,0.7591623036649214
70,Hunting deer in the San Gabriel Mountains,206,135,1,0.007407407407407408,0.0048543689320388345
71,Hunting a at a ranch near Tejon,207,196,19,0.09693877551020408,0.09178743961352658
72,Coyote hunting in the Antelope Valley,203,155,3,0.01935483870967742,0.014778325123152709
73,Dove hunting opening day in the Imperial Valley,236,231,36,0.15584415584415584,0.15254237288135594
74,Bear hunting in the Los Padres National Forest,202,96,0,0.0,0.0
75,Wild pig hunt at a ranch near Paso Robles,180,176,23,0.13068181818181818,0.12777777777777777
76,Tactical rifle class with AR-15s at Burro Canyon,220,152,7,0.046052631578947366,0.031818181818181815
77,Indoor pistol range day at the LA Gun Club,202,197,36,0.18274111675126903,0.1782178217821782
78,Trap and skeet shooting at Triple B Clays,228,226,84,0.37168141592920356,0.3684210526315789
79,Concealed-carry training day in the high desert,215,191,30,0.15706806282722513,0.13953488372093023
80,Visit a gun show at the Pomona Fairplex,209,201,27,0.13432835820895522,0.1291866028708134
81,Falconry hunting outing in the Antelope Valley,201,199,82,0.4120603015075377,0.4079601990049751
82,Slaughterhouse tour and butchery class in Vernon,198,188,48,0.2553191489361702,0.24242424242424243
83,Industry Hills professional rodeo,201,195,115,0.5897435897435898,0.572139303482587
84,Pro Bull Riding event at the Honda Center,195,188,142,0.7553191489361702,0.7282051282051282
