activity_ix,activity,n_appearances,n_decisive_appearances,n_picked,selection_rate,selection_rate_incl_refusals
0,Summit Mount Baldy,193,188,100,0.5319148936170213,0.5181347150259067
1,Hike Sandstone Peak in the Santa Monicas,190,182,89,0.489010989010989,0.46842105263157896
2,Pickup basketball at the Venice Beach courts,201,194,99,0.5103092783505154,0.4925373134328358
3,Visit LACMA,220,214,123,0.5747663551401869,0.5590909090909091
4,LAFC game at BMO Stadium,195,192,93,0.484375,0.47692307692307695
5,Rams game at SoFi Stadium,224,216,116,0.5370370370370371,0.5178571428571429
6,Korean BBQ feast in K-town,192,185,105,0.5675675675675675,0.546875
7,Whale watching out of Long Beach,183,179,97,0.5418994413407822,0.5300546448087432
8,Joshua Tree day trip,193,188,106,0.5638297872340425,0.5492227979274611
9,Big Bear day trip,187,179,101,0.5642458100558659,0.5401069518716578
10,Drive PCH up to Malibu,201,190,100,0.5263157894736842,0.4975124378109453
11,Bowling at Lucky Strike Hollywood,199,192,97,0.5052083333333334,0.48743718592964824
12,Brewery hop through the Arts District,218,215,114,0.5302325581395348,0.5229357798165137
13,Rose Bowl Flea Market in Pasadena,216,212,108,0.5094339622641509,0.5
14,Drive-in movie at the Vineland,202,193,103,0.533678756476684,0.5099009900990099
15,Comedy show at the Comedy Store,204,198,102,0.5151515151515151,0.5
16,UCB improv show in Hollywood,207,201,112,0.5572139303482587,0.5410628019323671
17,Tide pooling at Abalone Cove in Palos Verdes,194,190,101,0.531578947368421,0.520618556701031
18,Visit the La Brea Tar Pits,212,206,121,0.587378640776699,0.5707547169811321
19,Sunset drive up Mulholland,209,195,102,0.5230769230769231,0.4880382775119617
20,Sunset at El Matador Beach,200,197,102,0.5177664974619289,0.51
21,Snorkel at Leo Carrillo State Beach,200,190,100,0.5263157894736842,0.5
22,Pier fishing at the Santa Monica Pier,217,207,105,0.5072463768115942,0.4838709677419355
23,Hike Bridge to Nowhere in the San Gabriels,204,195,113,0.5794871794871795,0.553921568627451
24,Topanga State Park hike,214,206,109,0.529126213592233,0.5093457943925234
25,Trail run through Eaton Canyon,204,196,106,0.5408163265306123,0.5196078431372549
26,Sturtevant Falls hike in Sierra Madre,199,192,105,0.546875,0.5276381909547738
27,Hike Temescal Canyon,190,182,107,0.5879120879120879,0.5631578947368421
28,Clippers game at the Intuit Dome,183,176,83,0.4715909090909091,0.453551912568306
29,Angels game at Angel Stadium,211,206,118,0.5728155339805825,0.5592417061611374
30,UCLA basketball at Pauley Pavilion,213,209,109,0.5215311004784688,0.5117370892018779
31,Mini-golf in Old Pasadena,209,202,108,0.5346534653465347,0.5167464114832536
32,Sawtelle ramen crawl on the Westside,189,181,108,0.5966850828729282,0.5714285714285714
33,Thai Town dinner crawl,205,195,101,0.517948717948718,0.4926829268292683
34,Olvera Street tacos and walking tour,197,188,97,0.5159574468085106,0.49238578680203043
35,Petersen Automotive Museum on Wilshire,217,213,112,0.5258215962441315,0.5161290322580645
36,California Science Center to see the Endeavour,157,152,88,0.5789473684210527,0.5605095541401274
37,The Huntington gardens in San Marino,210,200,112,0.56,0.5333333333333333
38,Griffith Observatory at night,177,163,86,0.5276073619631901,0.4858757062146893
39,Day trip up to Santa Barbara,207,197,103,0.5228426395939086,0.4975845410628019
40,Bottomless brunch in West Hollywood,192,181,98,0.5414364640883977,0.5104166666666666
41,Wine tasting in Malibu,200,192,109,0.5677083333333334,0.545
42,Bar crawl on Abbot Kinney in Venice,218,206,119,0.5776699029126213,0.5458715596330275
43,Cannabis tasting at a licensed West Hollywood consumption lounge,213,203,110,0.541871921182266,0.5164319248826291
44,Poker night at the Bicycle Casino in Bell Gardens,187,178,101,0.5674157303370787,0.5401069518716578
45,Day at Hollywood Park Casino,220,216,111,0.5138888888888888,0.5045454545454545
46,Betting on horses at Santa Anita,202,195,100,0.5128205128205128,0.49504950495049505
47,Paintball day in Sun Valley,181,177,91,0.5141242937853108,0.5027624309392266
48,Airsoft battle at Tac City in Fullerton,204,198,83,0.41919191919191917,0.4068627450980392
49,Off-road OHV day in Hungry Valley,216,208,123,0.5913461538461539,0.5694444444444444
50,Race car experience at Willow Springs,194,187,103,0.5508021390374331,0.5309278350515464
51,Cliff jumping at Malibu's coves,197,165,45,0.2727272727272727,0.22842639593908629
52,Sport fishing for tuna out of San Pedro,208,204,108,0.5294117647058824,0.5192307692307693
53,Spearfishing trip at Catalina,195,192,104,0.5416666666666666,0.5333333333333333
54,MMA pay-per-view watch party with cigars and whiskey,182,177,94,0.5310734463276836,0.5164835164835165
55,Hollywood club crawl on Sunset Strip,180,176,100,0.5681818181818182,0.5555555555555556
56,Cigar-and-whiskey afternoon at a Beverly Hills lounge,195,190,91,0.4789473684210526,0.4666666666666667
57,Bottle service at a Hollywood nightclub,198,194,108,0.5567010309278351,0.5454545454545454
58,Sunday service at a Calvary Chapel megachurch,200,198,93,0.4696969696969697,0.465
59,Tour the Reagan Presidential Library,190,185,87,0.4702702702702703,0.45789473684210524
60,Tour the Nixon Presidential Library,190,182,89,0.489010989010989,0.46842105263157896
61,Skydiving over Perris,179,177,94,0.5310734463276836,0.5251396648044693
62,Lambo rental for a Mulholland canyon run,158,153,68,0.4444444444444444,0.43037974683544306
63,Drive down to Tijuana for tacos and clubbing,210,206,106,0.5145631067961165,0.5047619047619047
